slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
0	1	0	0	0	1	0	1789572713184814080	52837748108664	1789572713184815104	52837748109822	1789572713184815104	52837748109822	1789572713184816128	52837748112282	1789572713184816128	52837748114080	1789572713184816128	52837748114201	0	0	0	0
1	2	0	0	0	1	0	1789572713184835584	52837748160842	1789572713184835584	52837748162179	1789572713184835584	52837748162179	1789572713184836608	52837748163955	1789572713184836608	52837748163985	1789572713184836608	52837748164103	0	0	0	0
2	3	0	0	0	1	0	1789572713184838656	52837748169425	1789572713184838656	52837748170753	1789572713184838656	52837748170753	1789572713184839680	52837748172061	1789572713184839680	52837748172092	1789572713184839680	52837748172211	0	0	0	0
3	5	0	0	0	1	0	1789572713184842752	52837748180975	1789572713184843776	52837748183184	1789572713184843776	52837748183184	1789572713184870400	52837748250114	1789572713184870400	52837748250146	1789572713184870400	52837748250290	0	0	0	0
4	0	32	16	16	1	1536	1789572713184911360	52837748351439	1789572713184912384	52837748353916	1789572713184912384	52837748354844	1789572713184929792	52837748399689	1789572713184930816	52837748402374	1789572713184931840	52837748403872	52837748355700	52837748399575	14955	32
5	1	0	0	0	1	0	1789572713184985088	52837748538913	1789572713184986112	52837748540183	1789572713184986112	52837748540183	1789572713184987136	52837748542841	1789572713184988160	52837748544736	1789572713184988160	52837748544856	0	0	0	0
6	2	0	0	0	1	0	1789572713185003520	52837748585327	1789572713185004544	52837748586708	1789572713185004544	52837748586708	1789572713185005568	52837748588791	1789572713185005568	52837748588825	1789572713185005568	52837748589242	0	0	0	0
7	3	0	0	0	1	0	1789572713185007616	52837748595372	1789572713185008640	52837748596879	1789572713185008640	52837748596879	1789572713185008640	52837748598022	1789572713185008640	52837748598055	1789572713185008640	52837748598191	0	0	0	0
8	5	0	0	0	1	0	1789572713185012736	52837748608614	1789572713185013760	52837748610816	1789572713185013760	52837748610816	1789572713185041408	52837748678745	1789572713185041408	52837748678778	1789572713185041408	52837748678910	0	0	0	0
9	0	32	16	16	1	1536	1789572713185081344	52837748779369	1789572713185082368	52837748781967	1789572713185082368	52837748782846	1789572713185096704	52837748819961	1789572713185097728	52837748822599	1789572713185097728	52837748823036	52837748783272	52837748819857	15549	32
10	1	0	0	0	1	0	1789572713184814080	52837748108701	1789572713184815104	52837748109809	1789572713184815104	52837748109809	1789572713184816128	52837748112309	1789572713184816128	52837748114620	1789572713184817152	52837748114737	0	0	0	0
11	2	0	0	0	1	0	1789572713184835584	52837748160848	1789572713184835584	52837748162223	1789572713184835584	52837748162223	1789572713184836608	52837748164003	1789572713184836608	52837748164033	1789572713184836608	52837748164152	0	0	0	0
12	3	0	0	0	1	0	1789572713184838656	52837748169402	1789572713184838656	52837748170858	1789572713184838656	52837748170858	1789572713184839680	52837748171881	1789572713184839680	52837748171914	1789572713184839680	52837748172037	0	0	0	0
13	5	0	0	0	1	0	1789572713184842752	52837748180963	1789572713184843776	52837748183183	1789572713184843776	52837748183183	1789572713184871424	52837748251020	1789572713184871424	52837748251078	1789572713184871424	52837748251216	0	0	0	0
14	0	32	16	16	1	1536	1789572713184911360	52837748352684	1789572713184912384	52837748354288	1789572713184912384	52837748355111	1789572713184929792	52837748400168	1789572713184930816	52837748402530	1789572713184931840	52837748403876	52837748355719	52837748400010	13937	32
15	1	0	0	0	1	0	1789572713184985088	52837748538849	1789572713184986112	52837748540201	1789572713184986112	52837748540201	1789572713184987136	52837748542829	1789572713184988160	52837748544735	1789572713184988160	52837748544861	0	0	0	0
16	2	0	0	0	1	0	1789572713185003520	52837748585271	1789572713185004544	52837748586730	1789572713185004544	52837748586730	1789572713185005568	52837748588528	1789572713185005568	52837748588558	1789572713185005568	52837748588682	0	0	0	0
17	3	0	0	0	1	0	1789572713185007616	52837748595407	1789572713185008640	52837748596883	1789572713185008640	52837748596883	1789572713185008640	52837748598247	1789572713185008640	52837748598283	1789572713185008640	52837748598401	0	0	0	0
18	5	0	0	0	1	0	1789572713185012736	52837748608554	1789572713185013760	52837748610941	1789572713185013760	52837748610941	1789572713185041408	52837748678747	1789572713185041408	52837748678780	1789572713185041408	52837748678941	0	0	0	0
19	0	32	16	16	1	1536	1789572713185081344	52837748780779	1789572713185082368	52837748782057	1789572713185082368	52837748782850	1789572713185096704	52837748819641	1789572713185097728	52837748822677	1789572713185097728	52837748823038	52837748783629	52837748819540	16522	32
20	1	0	0	0	1	0	1789572713184814080	52837748108743	1789572713184815104	52837748109871	1789572713184815104	52837748109871	1789572713184816128	52837748112404	1789572713184816128	52837748114086	1789572713184816128	52837748114206	0	0	0	0
21	2	0	0	0	1	0	1789572713184835584	52837748160965	1789572713184835584	52837748162191	1789572713184835584	52837748162191	1789572713184836608	52837748164022	1789572713184836608	52837748164053	1789572713184836608	52837748164503	0	0	0	0
22	3	0	0	0	1	0	1789572713184838656	52837748169463	1789572713184838656	52837748170790	1789572713184838656	52837748170790	1789572713184839680	52837748171911	1789572713184839680	52837748171949	1789572713184839680	52837748172073	0	0	0	0
23	5	0	0	0	1	0	1789572713184842752	52837748181006	1789572713184843776	52837748183310	1789572713184843776	52837748183310	1789572713184872448	52837748255715	1789572713184873472	52837748255745	1789572713184873472	52837748255861	0	0	0	0
24	0	32	16	16	1	1536	1789572713184911360	52837748352697	1789572713184912384	52837748354452	1789572713184912384	52837748355623	1789572713184929792	52837748399948	1789572713184930816	52837748402805	1789572713184931840	52837748403882	52837748355723	52837748399724	26370	32
25	1	0	0	0	1	0	1789572713184985088	52837748538954	1789572713184986112	52837748540240	1789572713184986112	52837748540240	1789572713184987136	52837748542855	1789572713184988160	52837748544738	1789572713184988160	52837748544860	0	0	0	0
26	2	0	0	0	1	0	1789572713185003520	52837748585356	1789572713185004544	52837748586797	1789572713185004544	52837748586797	1789572713185005568	52837748588704	1789572713185005568	52837748588735	1789572713185005568	52837748588853	0	0	0	0
27	3	0	0	0	1	0	1789572713185007616	52837748595441	1789572713185008640	52837748597008	1789572713185008640	52837748597008	1789572713185008640	52837748598309	1789572713185008640	52837748598340	1789572713185008640	52837748598457	0	0	0	0
28	5	0	0	0	1	0	1789572713185012736	52837748608587	1789572713185013760	52837748611105	1789572713185013760	52837748611105	1789572713185042432	52837748682735	1789572713185042432	52837748682767	1789572713185042432	52837748682883	0	0	0	0
29	0	32	16	16	1	1536	1789572713185081344	52837748780781	1789572713185082368	52837748782452	1789572713185082368	52837748783192	1789572713185096704	52837748820194	1789572713185097728	52837748822912	1789572713185097728	52837748823035	52837748783287	52837748820066	20547	32
30	1	0	0	0	1	0	1789572713184814080	52858648681617	1789572713184815104	52858648682757	1789572713184815104	52858648682757	1789572713184816128	52858648685231	1789572713184816128	52858648687070	1789572713184816128	52858648687194	0	0	0	0
31	2	0	0	0	1	0	1789572713184834560	52858648733828	1789572713184835584	52858648735322	1789572713184835584	52858648735322	1789572713184836608	52858648737047	1789572713184836608	52858648737077	1789572713184836608	52858648737389	0	0	0	0
32	3	0	0	0	1	0	1789572713184838656	52858648742435	1789572713184838656	52858648743216	1789572713184838656	52858648743216	1789572713184839680	52858648744492	1789572713184839680	52858648744550	1789572713184839680	52858648744690	0	0	0	0
33	5	0	0	0	1	0	1789572713184842752	52858648754335	1789572713184843776	52858648756408	1789572713184843776	52858648756408	1789572713184871424	52858648825966	1789572713184871424	52858648826001	1789572713184871424	52858648826122	0	0	0	0
34	0	32	16	16	1	1536	1789572713184911360	52858648924761	1789572713184912384	52858648927135	1789572713184912384	52858648928797	1789572713184930816	52858648974575	1789572713184931840	52858648977165	1789572713184931840	52858648978558	52858648928809	52858648974435	33206	32
35	1	0	0	0	1	0	1789572713184985088	52858649112022	1789572713184986112	52858649113253	1789572713184986112	52858649113253	1789572713184987136	52858649116084	1789572713184988160	52858649118191	1789572713184988160	52858649118308	0	0	0	0
36	2	0	0	0	1	0	1789572713185003520	52858649158962	1789572713185004544	52858649160447	1789572713185004544	52858649160447	1789572713185005568	52858649162419	1789572713185005568	52858649162459	1789572713185005568	52858649162581	0	0	0	0
37	3	0	0	0	1	0	1789572713185007616	52858649168862	1789572713185008640	52858649170335	1789572713185008640	52858649170335	1789572713185008640	52858649171709	1789572713185008640	52858649171741	1789572713185008640	52858649171871	0	0	0	0
38	5	0	0	0	1	0	1789572713185012736	52858649181867	1789572713185013760	52858649184213	1789572713185013760	52858649184213	1789572713185042432	52858649255929	1789572713185042432	52858649255960	1789572713185042432	52858649256082	0	0	0	0
39	0	32	16	16	1	1536	1789572713185081344	52858649354173	1789572713185082368	52858649355569	1789572713185082368	52858649356170	1789572713185097728	52858649394311	1789572713185098752	52858649396884	1789572713185098752	52858649397962	52858649357230	52858649394106	21020	32
40	1	0	0	0	1	0	1789572713184814080	52858648681683	1789572713184815104	52858648682794	1789572713184815104	52858648682794	1789572713184816128	52858648685653	1789572713184816128	52858648687059	1789572713184816128	52858648687189	0	0	0	0
41	2	0	0	0	1	0	1789572713184834560	52858648733826	1789572713184835584	52858648735147	1789572713184835584	52858648735147	1789572713184836608	52858648737115	1789572713184836608	52858648737145	1789572713184836608	52858648737391	0	0	0	0
42	3	0	0	0	1	0	1789572713184838656	52858648742467	1789572713184838656	52858648743588	1789572713184838656	52858648743588	1789572713184839680	52858648744342	1789572713184839680	52858648744381	1789572713184839680	52858648744517	0	0	0	0
43	5	0	0	0	1	0	1789572713184842752	52858648754276	1789572713184843776	52858648756495	1789572713184843776	52858648756495	1789572713184871424	52858648825531	1789572713184871424	52858648825576	1789572713184871424	52858648825695	0	0	0	0
44	0	32	16	16	1	1536	1789572713184911360	52858648926369	1789572713184912384	52858648928504	1789572713184912384	52858648929666	1789572713184930816	52858648974386	1789572713184931840	52858648977564	1789572713184931840	52858648978565	52858648930308	52858648974130	27987	32
45	1	0	0	0	1	0	1789572713184985088	52858649111952	1789572713184986112	52858649113267	1789572713184986112	52858649113267	1789572713184987136	52858649116076	1789572713184987136	52858649117924	1789572713184987136	52858649118044	0	0	0	0
46	2	0	0	0	1	0	1789572713185003520	52858649158903	1789572713185004544	52858649160459	1789572713185004544	52858649160459	1789572713185005568	52858649162426	1789572713185005568	52858649162461	1789572713185005568	52858649162582	0	0	0	0
47	3	0	0	0	1	0	1789572713185007616	52858649168864	1789572713185008640	52858649170412	1789572713185008640	52858649170412	1789572713185008640	52858649171708	1789572713185008640	52858649171738	1789572713185008640	52858649171857	0	0	0	0
48	5	0	0	0	1	0	1789572713185012736	52858649181880	1789572713185013760	52858649184182	1789572713185013760	52858649184182	1789572713185041408	52858649253764	1789572713185041408	52858649253797	1789572713185041408	52858649253950	0	0	0	0
49	0	32	16	16	1	1536	1789572713185081344	52858649352812	1789572713185081344	52858649355226	1789572713185082368	52858649356326	1789572713185097728	52858649394672	1789572713185098752	52858649396836	1789572713185098752	52858649397965	52858649356861	52858649394498	20156	32
50	1	0	0	0	1	0	1789572713184814080	52858648681760	1789572713184815104	52858648682910	1789572713184815104	52858648682910	1789572713184816128	52858648685260	1789572713184816128	52858648687062	1789572713184816128	52858648687194	0	0	0	0
51	2	0	0	0	1	0	1789572713184835584	52858648733942	1789572713184835584	52858648735228	1789572713184835584	52858648735228	1789572713184836608	52858648737154	1789572713184836608	52858648737185	1789572713184836608	52858648737398	0	0	0	0
52	3	0	0	0	1	0	1789572713184838656	52858648742494	1789572713184838656	52858648743413	1789572713184838656	52858648743413	1789572713184839680	52858648744553	1789572713184839680	52858648744593	1789572713184839680	52858648744710	0	0	0	0
53	5	0	0	0	1	0	1789572713184842752	52858648754286	1789572713184843776	52858648756670	1789572713184843776	52858648756670	1789572713184872448	52858648826652	1789572713184872448	52858648826682	1789572713184872448	52858648826896	0	0	0	0
54	0	32	16	16	1	1536	1789572713184911360	52858648926378	1789572713184912384	52858648928596	1789572713184912384	52858648929156	1789572713184930816	52858648974780	1789572713184931840	52858648977432	1789572713184931840	52858648978576	52858648929888	52858648974526	15618	32
55	1	0	0	0	1	0	1789572713184985088	52858649112031	1789572713184986112	52858649113285	1789572713184986112	52858649113285	1789572713184987136	52858649116097	1789572713184988160	52858649118198	1789572713184988160	52858649118314	0	0	0	0
56	2	0	0	0	1	0	1789572713185003520	52858649158968	1789572713185004544	52858649160512	1789572713185004544	52858649160512	1789572713185005568	52858649162389	1789572713185005568	52858649162421	1789572713185005568	52858649162541	0	0	0	0
57	3	0	0	0	1	0	1789572713185007616	52858649168933	1789572713185008640	52858649170488	1789572713185008640	52858649170488	1789572713185008640	52858649171765	1789572713185008640	52858649171797	1789572713185008640	52858649171947	0	0	0	0
58	5	0	0	0	1	0	1789572713185012736	52858649181954	1789572713185013760	52858649184405	1789572713185013760	52858649184405	1789572713185041408	52858649253768	1789572713185041408	52858649253800	1789572713185041408	52858649253948	0	0	0	0
59	0	32	16	16	1	1536	1789572713185081344	52858649354178	1789572713185082368	52858649355892	1789572713185082368	52858649357701	1789572713185097728	52858649394753	1789572713185098752	52858649397400	1789572713185098752	52858649397977	52858649357715	52858649394644	23501	32
60	1	0	0	0	1	0	1789572713184814080	52839671560068	1789572713184815104	52839671561180	1789572713184815104	52839671561180	1789572713184816128	52839671563687	1789572713184816128	52839671565392	1789572713184816128	52839671565520	0	0	0	0
61	2	0	0	0	1	0	1789572713184835584	52839671612414	1789572713184835584	52839671613745	1789572713184835584	52839671613745	1789572713184836608	52839671615676	1789572713184836608	52839671615706	1789572713184836608	52839671616116	0	0	0	0
62	3	0	0	0	1	0	1789572713184838656	52839671621089	1789572713184838656	52839671622409	1789572713184838656	52839671622409	1789572713184839680	52839671623373	1789572713184839680	52839671623403	1789572713184839680	52839671623580	0	0	0	0
63	5	0	0	0	1	0	1789572713184843776	52839671633560	1789572713184844800	52839671635604	1789572713184844800	52839671635604	1789572713184871424	52839671703748	1789572713184871424	52839671703778	1789572713184871424	52839671704008	0	0	0	0
64	0	32	16	16	1	1536	1789572713184911360	52839671803102	1789572713184911360	52839671805487	1789572713184912384	52839671806299	1789572713184930816	52839671852710	1789572713184931840	52839671855231	1789572713184931840	52839671856321	52839671807209	52839671852541	16100	32
