cluster_dim	model	seq	variant	metric	rounds	median	ci_low	ci_high
1	gqa2	4	cluster	notify_ms	25	0.08217599999999997	0.08188800000000002	0.08329600000000004
1	gqa2	4	load_lines	notify_ms	25	0.04921600000000004	0.04806400000000005	0.050368000000000024
1	gqa2	128	cluster	notify_ms	25	0.114336	0.11331199999999997	0.11481600000000003
1	gqa2	128	load_lines	notify_ms	25	0.07356799999999997	0.07231999999999994	0.07433599999999996
1	mha4	4	cluster	notify_ms	25	0.16812799999999994	0.16758400000000007	0.16892799999999997
1	mha4	4	load_lines	notify_ms	25	0.10566399999999998	0.10441599999999995	0.10649600000000004
1	mha4	128	cluster	notify_ms	25	0.28700800000000015	0.28499200000000013	0.28947199999999995
1	mha4	128	load_lines	notify_ms	25	0.1803199999999998	0.17846399999999996	0.18409600000000004
2	gqa2	4	cluster	notify_ms	25	0.08102399999999998	0.08044800000000002	0.08185599999999998
2	gqa2	4	load_lines	notify_ms	25	0.04854400000000003	0.04735999999999996	0.048831999999999987
2	gqa2	128	cluster	notify_ms	25	0.11315200000000003	0.11193600000000004	0.114784
2	gqa2	128	load_lines	notify_ms	25	0.07388800000000006	0.07292799999999999	0.07609600000000005
2	mha4	4	cluster	notify_ms	25	0.16777600000000004	0.16710400000000003	0.16825599999999996
2	mha4	4	load_lines	notify_ms	25	0.10691200000000001	0.10598399999999997	0.10860800000000004
2	mha4	128	cluster	notify_ms	25	0.28611200000000014	0.28438399999999997	0.28822400000000004
2	mha4	128	load_lines	notify_ms	25	0.180736	0.17792000000000008	0.18358399999999997
4	gqa2	4	cluster	notify_ms	25	0.08051199999999997	0.08006400000000002	0.08147199999999999
4	gqa2	4	load_lines	notify_ms	25	0.049472000000000016	0.04832000000000003	0.050559999999999994
4	gqa2	128	cluster	notify_ms	25	0.11449599999999993	0.11392000000000002	0.11561599999999994
4	gqa2	128	load_lines	notify_ms	25	0.07283200000000001	0.07212799999999997	0.07411199999999996
4	mha4	4	cluster	notify_ms	25	0.16668800000000006	0.1664	0.167296
4	mha4	4	load_lines	notify_ms	25	0.10697599999999996	0.10460799999999992	0.10732799999999998
4	mha4	128	cluster	notify_ms	25	0.28659199999999996	0.285312	0.2876160000000001
4	mha4	128	load_lines	notify_ms	25	0.18217600000000012	0.17968000000000006	0.18355200000000016
8	gqa2	4	cluster	notify_ms	25	0.08179199999999998	0.08118399999999998	0.08201600000000003
8	gqa2	4	load_lines	notify_ms	25	0.04867199999999999	0.047456	0.05071999999999999
8	gqa2	128	cluster	notify_ms	25	0.11404799999999993	0.11251199999999995	0.11494399999999994
8	gqa2	128	load_lines	notify_ms	25	0.070272	0.06940800000000003	0.07334399999999996
8	mha4	4	cluster	notify_ms	25	0.17001600000000006	0.16959999999999997	0.17078400000000005
8	mha4	4	load_lines	notify_ms	25	0.10697600000000007	0.10643199999999997	0.10768
8	mha4	128	cluster	notify_ms	25	0.27705599999999997	0.27516799999999986	0.27913600000000005
8	mha4	128	load_lines	notify_ms	25	0.181184	0.17788800000000005	0.18403199999999997
