label,runs,ok,hang,err,hang_rate_pct,timeout_s,timestamp,tileiras,driver
ctrl_grid3,50,50,0,0,0.0,8,2026-08-29T02:10:10+00:00,default,580.65.06
ctrl_grid30,50,50,0,0,0.0,8,2026-08-29T02:10:26+00:00,default,580.65.06
ctrl_grid80,50,50,0,0,0.0,8,2026-08-29T02:10:41+00:00,default,580.65.06
ctrl_grid120,50,50,0,0,0.0,8,2026-08-29T02:10:57+00:00,default,580.65.06
ctrl_grid170,50,50,0,0,0.0,8,2026-08-29T02:11:12+00:00,default,580.65.06
ctrl_grid340,50,50,0,0,0.0,8,2026-08-29T02:11:28+00:00,default,580.65.06
a_grid3,50,50,0,0,0.0,8,2026-08-29T02:11:44+00:00,default,580.65.06
a_grid30,50,50,0,0,0.0,8,2026-08-29T02:11:59+00:00,default,580.65.06
a_grid80,50,50,0,0,0.0,8,2026-08-29T02:12:15+00:00,default,580.65.06
a_grid120,50,50,0,0,0.0,8,2026-08-29T02:12:38+00:00,default,580.65.06
a_grid170,50,50,0,0,0.0,8,2026-08-29T02:12:54+00:00,default,580.65.06
a_grid340,50,50,0,0,0.0,8,2026-08-29T02:13:09+00:00,default,580.65.06
b_grid3,50,0,0,50,0.0,8,2026-08-29T02:13:24+00:00,default,580.65.06
b_grid30,50,34,0,16,0.0,8,2026-08-29T02:13:40+00:00,default,580.65.06
b_grid80,50,8,0,42,0.0,8,2026-08-29T02:13:56+00:00,default,580.65.06
b_grid120,50,3,0,47,0.0,8,2026-08-29T02:14:11+00:00,default,580.65.06
b_grid170,50,0,0,50,0.0,8,2026-08-29T02:14:26+00:00,default,580.65.06
b_grid340,50,0,0,50,0.0,8,2026-08-29T02:14:41+00:00,default,580.65.06
min_grid3,50,50,0,0,0.0,8,2026-08-29T02:14:56+00:00,default,580.65.06
min_grid30,50,50,0,0,0.0,8,2026-08-29T02:15:12+00:00,default,580.65.06
min_grid80,50,50,0,0,0.0,8,2026-08-29T02:15:27+00:00,default,580.65.06
min_grid120,50,0,0,50,0.0,8,2026-08-29T02:15:42+00:00,default,580.65.06
min_grid170,50,0,0,50,0.0,8,2026-08-29T02:15:57+00:00,default,580.65.06
min_grid340,50,0,0,50,0.0,8,2026-08-29T02:16:13+00:00,default,580.65.06
