round	execution_index	model	split	order	seq	past	pass	l2_mismatch	max_abs	task_refs	waits	hash_l05	hash_l1	hash_l2
0	0	gqa2	1	1	1	0	1	0	0	98	119	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e
0	1	gqa2	2	1	1	0	1	0	0	226	257	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e
0	2	gqa2	4	1	1	0	1	0	0	354	465	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e
0	3	gqa2	8	1	1	0	1	0	0	610	881	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e
0	4	gqa2	16	1	1	0	1	0	0	1122	1713	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e	ef08e35b6eb6bd0e
0	5	mha4	1	1	1	0	1	0	0	236	257	81489bf11a6ef144	81489bf11a6ef144	81489bf11a6ef144
0	6	mha4	2	1	1	0	1	0	0	524	565	81489bf11a6ef144	81489bf11a6ef144	81489bf11a6ef144
0	7	mha4	4	1	1	0	1	0	0	812	1013	81489bf11a6ef144	81489bf11a6ef144	81489bf11a6ef144
0	8	mha4	8	1	1	0	1	0	0	1388	1909	658593a9c69ca76d	658593a9c69ca76d	658593a9c69ca76d
0	9	mha4	16	1	1	0	1	0	0	2540	3701	d15a07b011f46772	d15a07b011f46772	d15a07b011f46772
0	10	gqa2	1	1	1	3	1	0	0	98	119	a10b90fbe1618da5	a10b90fbe1618da5	a10b90fbe1618da5
0	11	gqa2	2	1	1	3	1	0	0	226	257	a10b90fbe1618da5	a10b90fbe1618da5	a10b90fbe1618da5
0	12	gqa2	4	1	1	3	1	0	0	354	465	a10b90fbe1618da5	a10b90fbe1618da5	a10b90fbe1618da5
0	13	gqa2	8	1	1	3	1	0	0	610	881	a10b90fbe1618da5	a10b90fbe1618da5	a10b90fbe1618da5
0	14	gqa2	16	1	1	3	1	0	0	1122	1713	a10b90fbe1618da5	a10b90fbe1618da5	a10b90fbe1618da5
0	15	mha4	1	1	1	3	1	0	0	236	257	d032851805c78718	d032851805c78718	d032851805c78718
0	16	mha4	2	1	1	3	1	0	0	524	565	cf48eed071ee02fd	cf48eed071ee02fd	cf48eed071ee02fd
0	17	mha4	4	1	1	3	1	0	0	812	1013	f25a26faffe0527b	f25a26faffe0527b	f25a26faffe0527b
0	18	mha4	8	1	1	3	1	0	0	1388	1909	f25a26faffe0527b	f25a26faffe0527b	f25a26faffe0527b
0	19	mha4	16	1	1	3	1	0	0	2540	3701	f25a26faffe0527b	f25a26faffe0527b	f25a26faffe0527b
0	20	gqa2	1	1	1	512	1	0	0	98	119	e3804e1c16ef73fc	e3804e1c16ef73fc	e3804e1c16ef73fc
0	21	gqa2	2	1	1	512	1	0	0	226	257	6bc12219bad44ae1	6bc12219bad44ae1	6bc12219bad44ae1
0	22	gqa2	4	1	1	512	1	0	0	354	465	6bc12219bad44ae1	6bc12219bad44ae1	6bc12219bad44ae1
0	23	gqa2	8	1	1	512	1	0	0	610	881	6bc12219bad44ae1	6bc12219bad44ae1	6bc12219bad44ae1
0	24	gqa2	16	1	1	512	1	0	0	1122	1713	6bc12219bad44ae1	6bc12219bad44ae1	6bc12219bad44ae1
0	25	mha4	1	1	1	512	1	0	0	236	257	945668ee633ad213	945668ee633ad213	945668ee633ad213
0	26	mha4	2	1	1	512	1	0	0	524	565	aad0f8a388c46dba	aad0f8a388c46dba	aad0f8a388c46dba
0	27	mha4	4	1	1	512	1	0	0	812	1013	aad0f8a388c46dba	aad0f8a388c46dba	aad0f8a388c46dba
0	28	mha4	8	1	1	512	1	0	0	1388	1909	aad0f8a388c46dba	aad0f8a388c46dba	aad0f8a388c46dba
0	29	mha4	16	1	1	512	1	0	0	2540	3701	209e56be7cf744a3	209e56be7cf744a3	209e56be7cf744a3
0	30	gqa2	1	1	4	0	1	0	0	200	500	1dd6f13109b55729	1dd6f13109b55729	1dd6f13109b55729
0	31	gqa2	2	1	4	0	1	0	0	328	638	31afc8ce97f5f040	31afc8ce97f5f040	31afc8ce97f5f040
0	32	gqa2	4	1	4	0	1	0	0	456	1038	4faedf01ecd53c82	4faedf01ecd53c82	4faedf01ecd53c82
0	33	gqa2	8	1	4	0	1	0	0	712	1838	8383bcce07f9cfe7	8383bcce07f9cfe7	8383bcce07f9cfe7
