model	metric	rounds	chunk_median_ms	structured_median_ms	structured_vs_chunk_pct	ci_low	ci_high	wilcoxon_p
gqa2	l05	25	0.575488	0.583616	1.2478	0.7414	1.7889	0.000046642
gqa2	l1	25	0.557248	0.565248	1.4679	1.2868	1.5051	0.000013012
gqa2	l2	25	1.396672	1.206272	-13.5722	-13.6447	-13.5167	0.000013024
mha4	l05	25	1.131584	1.143808	0.9955	0.8123	1.3562	0.000204556
mha4	l1	25	1.113280	1.130496	1.5657	1.3978	1.6542	0.000204692
mha4	l2	25	2.897920	2.425024	-16.3204	-16.3546	-16.2794	0.000013000
