model	metric	rounds	chunk_median_ms	structured_median_ms	structured_vs_chunk_pct	ci_low	ci_high	wilcoxon_p
gqa2	l05	25	0.419840	0.424960	1.2289	0.4890	1.7157	0.000632380
gqa2	l1	25	0.396288	0.401344	1.2429	1.0578	1.3048	0.000013059
gqa2	l2	25	0.499712	0.492544	-1.6327	-1.6427	-1.2615	0.000012977
mha4	l05	25	0.805888	0.814080	0.8766	0.7585	1.0165	0.000038393
mha4	l1	25	0.780448	0.793760	1.7265	1.7060	1.9434	0.000013071
mha4	l2	25	1.009664	0.990080	-1.8782	-2.2307	-1.7103	0.000013024
