model	metric	rounds	chunk_median_ms	rope_tile_median_ms	rope_vs_chunk_pct	ci_low	ci_high	wilcoxon_p
gqa2	l05	25	0.578336	0.578560	0.0000	-0.3044	0.3330	0.819559
gqa2	l1	25	0.558272	0.560928	0.3377	0.1828	0.4079	0.000227437
gqa2	l2	25	1.396736	1.351680	-3.2258	-3.2416	-3.1548	0.0000129532
mha4	l05	25	1.133568	1.135616	0.0903	0.0000	0.3610	0.0657373
mha4	l1	25	1.113280	1.120256	0.6266	0.4879	0.6629	0.0000130588
mha4	l2	25	2.898944	2.713408	-6.3958	-6.4311	-6.3863	0.0000130588
