node	worker	slot
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	16	0
6	17	0
7	18	0
8	19	0
9	20	0
10	21	0
11	22	0
12	23	0
13	24	0
14	25	0
15	26	0
16	27	0
17	28	0
18	29	0
19	30	0
20	31	0
21	32	0
22	33	0
23	34	0
24	35	0
25	36	0
26	37	0
27	38	0
28	39	0
29	40	0
30	41	0
31	42	0
32	43	0
33	44	0
34	45	0
35	46	0
36	47	0
37	0	1
38	1	1
39	2	1
40	3	1
41	4	1
42	5	0
43	6	0
44	7	0
45	8	0
46	9	0
47	10	0
48	11	0
49	12	0
50	13	0
51	14	0
52	15	0
53	48	0
54	49	0
55	50	0
56	51	0
57	52	0
58	53	0
59	54	0
60	55	0
61	56	0
62	57	0
63	58	0
64	59	0
65	60	0
66	61	0
67	62	0
68	63	0
69	36	1
70	37	1
71	38	1
72	39	1
73	32	1
74	33	1
75	34	1
76	35	1
77	28	1
78	29	1
79	30	1
80	31	1
81	24	1
82	25	1
83	26	1
84	27	1
85	10	1
86	11	1
87	12	1
88	13	1
89	0	2
90	1	2
91	2	2
92	3	2
93	4	2
94	5	1
95	6	1
96	7	1
97	8	1
98	9	1
99	0	3
100	1	3
101	2	3
102	3	3
103	4	3
104	5	2
105	6	2
106	7	2
107	8	2
108	9	2
109	14	1
110	15	1
111	16	1
112	17	1
113	18	1
114	19	1
115	20	1
116	21	1
117	22	1
118	23	1
119	16	2
120	17	2
121	18	2
122	19	2
123	12	2
124	13	2
125	14	2
126	15	2
127	8	3
128	9	3
129	10	2
130	11	2
131	4	4
132	5	3
133	6	3
134	7	3
135	0	4
136	1	4
137	2	4
138	3	4
139	0	5
140	1	5
141	2	5
142	3	5
143	4	5
144	5	4
145	6	4
146	7	4
147	8	4
148	9	4
149	10	3
150	11	3
151	12	3
152	13	3
153	14	3
154	15	3
155	16	3
156	17	3
157	18	3
158	19	3
159	20	2
160	21	2
161	22	2
162	23	2
163	24	2
164	25	2
165	26	2
166	27	2
167	28	2
168	29	2
169	30	2
170	31	2
171	0	6
172	1	6
173	2	6
174	3	6
175	4	6
176	0	7
177	1	7
178	2	7
179	3	7
180	4	7
181	5	5
182	6	5
183	7	5
184	8	5
185	9	5
186	10	4
187	11	4
188	12	4
189	13	4
190	14	4
191	15	4
192	16	4
193	17	4
194	18	4
195	19	4
196	20	3
197	21	3
198	22	3
199	23	3
200	24	3
201	25	3
202	26	3
203	27	3
204	28	3
205	29	3
206	30	3
207	31	3
208	32	2
209	33	2
210	34	2
211	35	2
212	36	2
213	37	2
214	38	2
215	39	2
216	40	1
217	41	1
218	42	1
219	43	1
220	44	1
221	45	1
222	46	1
223	47	1
224	48	1
225	49	1
226	50	1
227	51	1
228	52	1
229	53	1
230	54	1
231	55	1
232	56	1
233	57	1
234	58	1
235	59	1
236	60	1
237	61	1
238	62	1
239	63	1
240	64	0
241	65	0
242	66	0
243	67	0
244	68	0
245	69	0
246	70	0
247	71	0
248	72	0
249	73	0
250	74	0
251	75	0
252	76	0
253	77	0
254	78	0
255	79	0
256	80	0
257	81	0
258	82	0
259	83	0
260	84	0
261	85	0
262	86	0
263	87	0
264	88	0
265	89	0
266	90	0
267	91	0
268	92	0
269	93	0
270	94	0
271	95	0
272	96	0
273	97	0
274	98	0
275	99	0
276	100	0
277	101	0
278	102	0
279	103	0
280	104	0
281	105	0
282	106	0
283	107	0
284	108	0
285	109	0
286	110	0
287	111	0
288	112	0
289	113	0
290	114	0
291	115	0
292	116	0
293	117	0
294	118	0
295	119	0
296	120	0
297	121	0
298	122	0
299	123	0
300	124	0
301	125	0
302	126	0
303	127	0
304	0	8
305	1	8
306	2	8
307	3	8
308	4	8
309	0	9
310	1	9
311	2	9
312	3	9
313	4	9
314	5	6
315	6	6
316	7	6
317	8	6
318	9	6
319	10	5
320	11	5
321	12	5
322	13	5
323	14	5
324	15	5
325	16	5
326	17	5
327	18	5
328	19	5
329	20	4
330	21	4
331	22	4
332	23	4
333	24	4
334	25	4
335	26	4
336	27	4
337	28	4
338	29	4
339	30	4
340	31	4
341	0	10
342	1	10
343	2	10
344	3	10
345	4	10
346	16	6
347	17	6
348	18	6
349	19	6
350	20	5
351	21	5
352	22	5
353	23	5
354	24	5
355	25	5
356	26	5
357	27	5
358	28	5
359	29	5
360	30	5
361	31	5
362	32	3
363	33	3
364	34	3
365	35	3
366	36	3
367	37	3
368	38	3
369	39	3
370	40	2
371	41	2
372	42	2
373	43	2
374	44	2
375	45	2
376	46	2
377	47	2
378	0	11
379	1	11
380	2	11
381	3	11
382	4	11
383	5	7
384	6	7
385	7	7
386	8	7
387	9	7
388	10	6
389	11	6
390	12	6
391	13	6
392	14	6
393	15	6
394	48	2
395	49	2
396	50	2
397	51	2
398	52	2
399	53	2
400	54	2
401	55	2
402	56	2
403	57	2
404	58	2
405	59	2
406	60	2
407	61	2
408	62	2
409	63	2
410	36	4
411	37	4
412	38	4
413	39	4
414	32	4
415	33	4
416	34	4
417	35	4
418	28	6
419	29	6
420	30	6
421	31	6
422	24	6
423	25	6
424	26	6
425	27	6
426	10	7
427	11	7
428	12	7
429	13	7
430	0	12
431	1	12
432	2	12
433	3	12
434	4	12
435	5	8
436	6	8
437	7	8
438	8	8
439	9	8
440	0	13
441	1	13
442	2	13
443	3	13
444	4	13
445	5	9
446	6	9
447	7	9
448	8	9
449	9	9
450	14	7
451	15	7
452	16	7
453	17	7
454	18	7
455	19	7
456	20	6
457	21	6
458	22	6
459	23	6
460	16	8
461	17	8
462	18	8
463	19	8
464	12	8
465	13	8
466	14	8
467	15	8
468	8	10
469	9	10
470	10	8
471	11	8
472	4	14
473	5	10
474	6	10
475	7	10
476	0	14
477	1	14
478	2	14
479	3	14
480	0	15
481	1	15
482	2	15
483	3	15
484	4	15
485	5	11
486	6	11
487	7	11
488	8	11
489	9	11
490	10	9
491	11	9
492	12	9
493	13	9
494	14	9
495	15	9
496	16	9
497	17	9
498	18	9
499	19	9
500	20	7
501	21	7
502	22	7
503	23	7
504	24	7
505	25	7
506	26	7
507	27	7
508	28	7
509	29	7
510	30	7
511	31	7
512	0	16
513	1	16
514	2	16
515	3	16
516	4	16
517	0	17
518	1	17
519	2	17
520	3	17
521	4	17
522	5	12
523	6	12
524	7	12
525	8	12
526	9	12
527	10	10
528	11	10
529	12	10
530	13	10
531	14	10
532	15	10
533	16	10
534	17	10
535	18	10
536	19	10
537	20	8
538	21	8
539	22	8
540	23	8
541	24	8
542	25	8
543	26	8
544	27	8
545	28	8
546	29	8
547	30	8
548	31	8
549	32	5
550	33	5
551	34	5
552	35	5
553	36	5
554	37	5
555	38	5
556	39	5
557	40	3
558	41	3
559	42	3
560	43	3
561	44	3
562	45	3
563	46	3
564	47	3
565	48	3
566	49	3
567	50	3
568	51	3
569	52	3
570	53	3
571	54	3
572	55	3
573	56	3
574	57	3
575	58	3
576	59	3
577	60	3
578	61	3
579	62	3
580	63	3
581	64	1
582	65	1
583	66	1
584	67	1
585	68	1
586	69	1
587	70	1
588	71	1
589	72	1
590	73	1
591	74	1
592	75	1
593	76	1
594	77	1
595	78	1
596	79	1
597	80	1
598	81	1
599	82	1
600	83	1
601	84	1
602	85	1
603	86	1
604	87	1
605	88	1
606	89	1
607	90	1
608	91	1
609	92	1
610	93	1
611	94	1
612	95	1
613	96	1
614	97	1
615	98	1
616	99	1
617	100	1
618	101	1
619	102	1
620	103	1
621	104	1
622	105	1
623	106	1
624	107	1
625	108	1
626	109	1
627	110	1
628	111	1
629	112	1
630	113	1
631	114	1
632	115	1
633	116	1
634	117	1
635	118	1
636	119	1
637	120	1
638	121	1
