seq	placement	floor_ns	predicted_ns	error
1	eft	61109.5	130366	
1	rotate	61109.5	138514	
1	wavefront	61109.5	138514	
1	chain	75649.6	152202	
1	legacy_grid_stride	93620	176056	
1	balanced	680643	900521	
2	eft	61135.2	130392	
2	rotate	61135.2	138539	
2	wavefront	61135.2	138539	
2	chain	75675.3	152228	
2	legacy_grid_stride	93645.6	176082	
2	balanced	615180	818153	
3	eft	61160.8	130417	
3	rotate	61160.8	138565	
3	wavefront	61160.8	138565	
3	chain	75700.9	152254	
3	legacy_grid_stride	93671.2	176107	
3	balanced	577631	783443	
4	eft	61186.5	130443	
4	rotate	61186.5	138591	
4	wavefront	61186.5	138591	
4	chain	75726.5	156353	
4	legacy_grid_stride	93696.9	176133	
4	balanced	531997	729293	
5	eft	61212.1	130469	
5	rotate	61212.1	138616	
5	wavefront	61212.1	138616	
5	chain	75752.2	156379	
5	legacy_grid_stride	93722.5	176159	
5	balanced	515206	722476	
