node	worker	slot
0	0	0
1	1	0
2	16	0
3	17	0
4	18	0
5	19	0
6	20	0
7	21	0
8	22	0
9	23	0
10	24	0
11	25	0
12	26	0
13	27	0
14	28	0
15	29	0
16	30	0
17	31	0
18	32	0
19	33	0
20	34	0
21	35	0
22	36	0
23	37	0
24	38	0
25	39	0
26	40	0
27	41	0
28	42	0
29	43	0
30	44	0
31	45	0
32	46	0
33	47	0
34	0	1
35	1	1
36	2	0
37	3	0
38	4	0
39	5	0
40	6	0
41	7	0
42	8	0
43	9	0
44	10	0
45	11	0
46	12	0
47	13	0
48	14	0
49	15	0
50	48	0
51	49	0
52	50	0
53	51	0
54	52	0
55	53	0
56	54	0
57	55	0
58	56	0
59	57	0
60	58	0
61	59	0
62	60	0
63	61	0
64	62	0
65	63	0
66	12	1
67	13	1
68	14	1
69	15	1
70	4	1
71	5	1
72	6	1
73	7	1
74	0	2
75	1	2
76	2	1
77	3	1
78	0	3
79	1	3
80	2	2
81	3	2
82	8	1
83	9	1
84	10	1
85	11	1
86	4	2
87	5	2
88	6	2
89	7	2
90	0	4
91	1	4
92	2	3
93	3	3
94	0	5
95	1	5
96	2	4
97	3	4
98	4	3
99	5	3
100	6	3
101	7	3
102	8	2
103	9	2
104	10	2
105	11	2
106	12	2
107	13	2
108	14	2
109	15	2
110	16	1
111	17	1
112	18	1
113	19	1
114	20	1
115	21	1
116	22	1
117	23	1
118	24	1
119	25	1
120	26	1
121	27	1
122	28	1
123	29	1
124	30	1
125	31	1
126	0	6
127	1	6
128	0	7
129	1	7
130	2	5
131	3	5
132	4	4
133	5	4
134	6	4
135	7	4
136	8	3
137	9	3
138	10	3
139	11	3
140	12	3
141	13	3
142	14	3
143	15	3
144	16	2
145	17	2
146	18	2
147	19	2
148	20	2
149	21	2
150	22	2
151	23	2
152	24	2
153	25	2
154	26	2
155	27	2
156	28	2
157	29	2
158	30	2
159	31	2
160	32	1
161	33	1
162	34	1
163	35	1
164	36	1
165	37	1
166	38	1
167	39	1
168	40	1
169	41	1
170	42	1
171	43	1
172	44	1
173	45	1
174	46	1
175	47	1
176	48	1
177	49	1
178	50	1
179	51	1
180	52	1
181	53	1
182	54	1
183	55	1
184	56	1
185	57	1
186	58	1
187	59	1
188	60	1
189	61	1
190	62	1
191	63	1
192	64	0
193	65	0
194	66	0
195	67	0
196	68	0
197	69	0
198	70	0
199	71	0
200	72	0
201	73	0
202	74	0
203	75	0
204	76	0
205	77	0
206	78	0
207	79	0
208	80	0
209	81	0
210	82	0
211	83	0
212	84	0
213	85	0
214	86	0
215	87	0
216	88	0
217	89	0
218	90	0
219	91	0
220	92	0
221	93	0
222	94	0
223	95	0
224	96	0
225	97	0
226	98	0
227	99	0
228	100	0
229	101	0
230	102	0
231	103	0
232	104	0
233	105	0
234	106	0
235	107	0
236	108	0
237	109	0
238	110	0
239	111	0
240	112	0
241	113	0
242	114	0
243	115	0
244	116	0
245	117	0
246	118	0
247	119	0
248	120	0
249	121	0
250	122	0
251	123	0
252	124	0
253	125	0
254	126	0
255	127	0
256	0	8
257	1	8
258	0	9
259	1	9
260	2	6
261	3	6
262	4	5
263	5	5
264	6	5
265	7	5
266	8	4
267	9	4
268	10	4
269	11	4
270	12	4
271	13	4
272	14	4
273	15	4
274	16	3
275	17	3
276	18	3
277	19	3
278	20	3
279	21	3
280	22	3
281	23	3
282	24	3
283	25	3
284	26	3
285	27	3
286	28	3
287	29	3
288	30	3
289	31	3
290	0	10
291	1	10
292	16	4
293	17	4
294	18	4
295	19	4
296	20	4
297	21	4
298	22	4
299	23	4
300	24	4
301	25	4
302	26	4
303	27	4
304	28	4
305	29	4
306	30	4
307	31	4
308	32	2
309	33	2
310	34	2
311	35	2
312	36	2
313	37	2
314	38	2
315	39	2
316	40	2
317	41	2
318	42	2
319	43	2
320	44	2
321	45	2
322	46	2
323	47	2
324	0	11
325	1	11
326	2	7
327	3	7
328	4	6
329	5	6
330	6	6
331	7	6
332	8	5
333	9	5
334	10	5
335	11	5
336	12	5
337	13	5
338	14	5
339	15	5
340	48	2
341	49	2
342	50	2
343	51	2
344	52	2
345	53	2
346	54	2
347	55	2
348	56	2
349	57	2
350	58	2
351	59	2
352	60	2
353	61	2
354	62	2
355	63	2
356	12	6
357	13	6
358	14	6
359	15	6
360	4	7
361	5	7
362	6	7
363	7	7
364	0	12
365	1	12
366	2	8
367	3	8
368	0	13
369	1	13
370	2	9
371	3	9
372	8	6
373	9	6
374	10	6
375	11	6
376	4	8
377	5	8
378	6	8
379	7	8
380	0	14
381	1	14
382	2	10
383	3	10
384	0	15
385	1	15
386	2	11
387	3	11
388	4	9
389	5	9
390	6	9
391	7	9
392	8	7
393	9	7
394	10	7
395	11	7
396	12	7
397	13	7
398	14	7
399	15	7
400	16	5
401	17	5
402	18	5
403	19	5
404	20	5
405	21	5
406	22	5
407	23	5
408	24	5
409	25	5
410	26	5
411	27	5
412	28	5
413	29	5
414	30	5
415	31	5
416	0	16
417	1	16
418	0	17
419	1	17
420	2	12
421	3	12
422	4	10
423	5	10
424	6	10
425	7	10
426	8	8
427	9	8
428	10	8
429	11	8
430	12	8
431	13	8
432	14	8
433	15	8
434	16	6
435	17	6
436	18	6
437	19	6
438	20	6
439	21	6
440	22	6
441	23	6
442	24	6
443	25	6
444	26	6
445	27	6
446	28	6
447	29	6
448	30	6
449	31	6
450	32	3
451	33	3
452	34	3
453	35	3
454	36	3
455	37	3
456	38	3
457	39	3
458	40	3
459	41	3
460	42	3
461	43	3
462	44	3
463	45	3
464	46	3
465	47	3
466	48	3
467	49	3
468	50	3
469	51	3
470	52	3
471	53	3
472	54	3
473	55	3
474	56	3
475	57	3
476	58	3
477	59	3
478	60	3
479	61	3
480	62	3
481	63	3
482	64	1
483	65	1
484	66	1
485	67	1
486	68	1
487	69	1
488	70	1
489	71	1
490	72	1
491	73	1
492	74	1
493	75	1
494	76	1
495	77	1
496	78	1
497	79	1
498	80	1
499	81	1
500	82	1
501	83	1
502	84	1
503	85	1
504	86	1
505	87	1
506	88	1
507	89	1
508	90	1
509	91	1
510	92	1
511	93	1
512	94	1
513	95	1
514	96	1
515	97	1
516	98	1
517	99	1
518	100	1
519	101	1
520	102	1
521	103	1
522	104	1
523	105	1
524	106	1
525	107	1
526	108	1
527	109	1
528	110	1
529	111	1
530	112	1
531	113	1
532	114	1
533	115	1
534	116	1
535	117	1
536	118	1
537	119	1
538	120	1
539	121	1
540	122	1
541	123	1
542	124	1
543	125	1
544	126	1
545	127	1
546	0	18
547	1	18
548	0	19
549	1	19
550	2	13
551	3	13
552	4	11
553	5	11
554	6	11
555	7	11
556	8	9
557	9	9
558	10	9
559	11	9
560	12	9
561	13	9
562	14	9
563	15	9
564	16	7
565	17	7
566	18	7
567	19	7
568	20	7
569	21	7
570	22	7
571	23	7
572	24	7
573	25	7
574	26	7
575	27	7
576	28	7
577	29	7
578	30	7
579	31	7
