node	worker	slot
0	0	0
1	1	0
2	2	0
3	3	0
4	16	0
5	17	0
6	18	0
7	19	0
8	20	0
9	21	0
10	22	0
11	23	0
12	24	0
13	25	0
14	26	0
15	27	0
16	28	0
17	29	0
18	30	0
19	31	0
20	32	0
21	33	0
22	34	0
23	35	0
24	36	0
25	37	0
26	38	0
27	39	0
28	40	0
29	41	0
30	42	0
31	43	0
32	44	0
33	45	0
34	46	0
35	47	0
36	0	1
37	1	1
38	2	1
39	3	1
40	4	0
41	5	0
42	6	0
43	7	0
44	8	0
45	9	0
46	10	0
47	11	0
48	12	0
49	13	0
50	14	0
51	15	0
52	48	0
53	49	0
54	50	0
55	51	0
56	52	0
57	53	0
58	54	0
59	55	0
60	56	0
61	57	0
62	58	0
63	59	0
64	60	0
65	61	0
66	62	0
67	63	0
68	28	1
69	29	1
70	30	1
71	31	1
72	24	1
73	25	1
74	26	1
75	27	1
76	20	1
77	21	1
78	22	1
79	23	1
80	8	1
81	9	1
82	10	1
83	11	1
84	0	2
85	1	2
86	2	2
87	3	2
88	4	1
89	5	1
90	6	1
91	7	1
92	0	3
93	1	3
94	2	3
95	3	3
96	4	2
97	5	2
98	6	2
99	7	2
100	12	1
101	13	1
102	14	1
103	15	1
104	16	1
105	17	1
106	18	1
107	19	1
108	12	2
109	13	2
110	14	2
111	15	2
112	8	2
113	9	2
114	10	2
115	11	2
116	4	3
117	5	3
118	6	3
119	7	3
120	0	4
121	1	4
122	2	4
123	3	4
124	0	5
125	1	5
126	2	5
127	3	5
128	4	4
129	5	4
130	6	4
131	7	4
132	8	3
133	9	3
134	10	3
135	11	3
136	12	3
137	13	3
138	14	3
139	15	3
140	16	2
141	17	2
142	18	2
143	19	2
144	20	2
145	21	2
146	22	2
147	23	2
148	24	2
149	25	2
150	26	2
151	27	2
152	28	2
153	29	2
154	30	2
155	31	2
156	0	6
157	1	6
158	2	6
159	3	6
160	0	7
161	1	7
162	2	7
163	3	7
164	4	5
165	5	5
166	6	5
167	7	5
168	8	4
169	9	4
170	10	4
171	11	4
172	12	4
173	13	4
174	14	4
175	15	4
176	16	3
177	17	3
178	18	3
179	19	3
180	20	3
181	21	3
182	22	3
183	23	3
184	24	3
185	25	3
186	26	3
187	27	3
188	28	3
189	29	3
190	30	3
191	31	3
192	32	1
193	33	1
194	34	1
195	35	1
196	36	1
197	37	1
198	38	1
199	39	1
200	40	1
201	41	1
202	42	1
203	43	1
204	44	1
205	45	1
206	46	1
207	47	1
208	48	1
209	49	1
210	50	1
211	51	1
212	52	1
213	53	1
214	54	1
215	55	1
216	56	1
217	57	1
218	58	1
219	59	1
220	60	1
221	61	1
222	62	1
223	63	1
224	64	0
225	65	0
226	66	0
227	67	0
228	68	0
229	69	0
230	70	0
231	71	0
232	72	0
233	73	0
234	74	0
235	75	0
236	76	0
237	77	0
238	78	0
239	79	0
240	80	0
241	81	0
242	82	0
243	83	0
244	84	0
245	85	0
246	86	0
247	87	0
248	88	0
249	89	0
250	90	0
251	91	0
252	92	0
253	93	0
254	94	0
255	95	0
256	96	0
257	97	0
258	98	0
259	99	0
260	100	0
261	101	0
262	102	0
263	103	0
264	104	0
265	105	0
266	106	0
267	107	0
268	108	0
269	109	0
270	110	0
271	111	0
272	112	0
273	113	0
274	114	0
275	115	0
276	116	0
277	117	0
278	118	0
279	119	0
280	120	0
281	121	0
282	122	0
283	123	0
284	124	0
285	125	0
286	126	0
287	127	0
288	0	8
289	1	8
290	2	8
291	3	8
292	0	9
293	1	9
294	2	9
295	3	9
296	4	6
297	5	6
298	6	6
299	7	6
300	8	5
301	9	5
302	10	5
303	11	5
304	12	5
305	13	5
306	14	5
307	15	5
308	16	4
309	17	4
310	18	4
311	19	4
312	20	4
313	21	4
314	22	4
315	23	4
316	24	4
317	25	4
318	26	4
319	27	4
320	28	4
321	29	4
322	30	4
323	31	4
324	0	10
325	1	10
326	2	10
327	3	10
328	16	5
329	17	5
330	18	5
331	19	5
332	20	5
333	21	5
334	22	5
335	23	5
336	24	5
337	25	5
338	26	5
339	27	5
340	28	5
341	29	5
342	30	5
343	31	5
344	32	2
345	33	2
346	34	2
347	35	2
348	36	2
349	37	2
350	38	2
351	39	2
352	40	2
353	41	2
354	42	2
355	43	2
356	44	2
357	45	2
358	46	2
359	47	2
360	0	11
361	1	11
362	2	11
363	3	11
364	4	7
365	5	7
366	6	7
367	7	7
368	8	6
369	9	6
370	10	6
371	11	6
372	12	6
373	13	6
374	14	6
375	15	6
376	48	2
377	49	2
378	50	2
379	51	2
380	52	2
381	53	2
382	54	2
383	55	2
384	56	2
385	57	2
386	58	2
387	59	2
388	60	2
389	61	2
390	62	2
391	63	2
392	28	6
393	29	6
394	30	6
395	31	6
396	24	6
397	25	6
398	26	6
399	27	6
400	20	6
401	21	6
402	22	6
403	23	6
404	8	7
405	9	7
406	10	7
407	11	7
408	0	12
409	1	12
410	2	12
411	3	12
412	4	8
413	5	8
414	6	8
415	7	8
416	0	13
417	1	13
418	2	13
419	3	13
420	4	9
421	5	9
422	6	9
423	7	9
424	12	7
425	13	7
426	14	7
427	15	7
428	16	6
429	17	6
430	18	6
431	19	6
432	12	8
433	13	8
434	14	8
435	15	8
436	8	8
437	9	8
438	10	8
439	11	8
440	4	10
441	5	10
442	6	10
443	7	10
444	0	14
445	1	14
446	2	14
447	3	14
448	0	15
449	1	15
450	2	15
451	3	15
452	4	11
453	5	11
454	6	11
455	7	11
456	8	9
457	9	9
458	10	9
459	11	9
460	12	9
461	13	9
462	14	9
463	15	9
464	16	7
465	17	7
466	18	7
467	19	7
468	20	7
469	21	7
470	22	7
471	23	7
472	24	7
473	25	7
474	26	7
475	27	7
476	28	7
477	29	7
478	30	7
479	31	7
480	0	16
481	1	16
482	2	16
483	3	16
484	0	17
485	1	17
486	2	17
487	3	17
488	4	12
489	5	12
490	6	12
491	7	12
492	8	10
493	9	10
494	10	10
495	11	10
496	12	10
497	13	10
498	14	10
499	15	10
500	16	8
501	17	8
502	18	8
503	19	8
504	20	8
505	21	8
506	22	8
507	23	8
508	24	8
509	25	8
510	26	8
511	27	8
512	28	8
513	29	8
514	30	8
515	31	8
516	32	3
517	33	3
518	34	3
519	35	3
520	36	3
521	37	3
522	38	3
523	39	3
524	40	3
525	41	3
526	42	3
527	43	3
528	44	3
529	45	3
530	46	3
531	47	3
532	48	3
533	49	3
534	50	3
535	51	3
536	52	3
537	53	3
538	54	3
539	55	3
540	56	3
541	57	3
542	58	3
543	59	3
544	60	3
545	61	3
546	62	3
547	63	3
548	64	1
549	65	1
550	66	1
551	67	1
552	68	1
553	69	1
554	70	1
555	71	1
556	72	1
557	73	1
558	74	1
559	75	1
560	76	1
561	77	1
562	78	1
563	79	1
564	80	1
565	81	1
566	82	1
567	83	1
568	84	1
569	85	1
570	86	1
571	87	1
572	88	1
573	89	1
574	90	1
575	91	1
576	92	1
577	93	1
578	94	1
579	95	1
580	96	1
581	97	1
582	98	1
583	99	1
584	100	1
585	101	1
586	102	1
587	103	1
588	104	1
589	105	1
590	106	1
591	107	1
592	108	1
593	109	1
594	110	1
595	111	1
596	112	1
597	113	1
598	114	1
599	115	1
600	116	1
601	117	1
602	118	1
603	119	1
604	120	1
605	121	1
606	122	1
607	123	1
608	124	1
609	125	1
610	126	1
611	127	1
612	0	18
613	1	18
614	2	18
615	3	18
616	0	19
617	1	19
618	2	19
619	3	19
620	4	13
621	5	13
622	6	13
623	7	13
624	8	11
625	9	11
626	10	11
627	11	11
628	12	11
629	13	11
630	14	11
631	15	11
632	16	9
633	17	9
634	18	9
635	19	9
636	20	9
637	21	9
638	22	9
