slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789821504474077184	7687494987097	1789821504474078208	7687494990835	1789821504474078208	7687494990835	1789821504474079232	7687494993248	1789821504474079232	7687494994105	1789821504474080256	7687494994222	0	0	0	0	1992	1
1	0	32	16	16	1	1536	1789821504474081280	7687494999380	1789821504474082304	7687495002596	1789821504474083328	7687495003280	1789821504474090496	7687495023931	1789821504474091520	7687495026596	1789821504474091520	7687495026714	7687495003291	7687495023820	11550	32	722	0
2	2	0	0	0	1	0	1789821504474094592	7687495035204	1789821504474095616	7687495037567	1789821504474095616	7687495037567	1789821504474096640	7687495039289	1789821504474096640	7687495039323	1789821504474096640	7687495039705	0	0	0	0	1015	0
3	2	0	0	0	1	0	1789821504474098688	7687495045839	1789821504474099712	7687495048217	1789821504474099712	7687495048217	1789821504474099712	7687495049880	1789821504474099712	7687495049910	1789821504474099712	7687495050028	0	0	0	0	1020	0
4	3	0	0	0	1	0	1789821504474101760	7687495055388	1789821504474102784	7687495058319	1789821504474102784	7687495058319	1789821504474103808	7687495059591	1789821504474103808	7687495059623	1789821504474103808	7687495059777	0	0	0	0	1058	0
5	5	0	0	0	1	0	1789821504474107904	7687495070357	1789821504474108928	7687495073220	1789821504474108928	7687495073220	1789821504474132480	7687495138148	1789821504474132480	7687495138178	1789821504474132480	7687495138316	0	0	0	0	987	0
6	0	32	16	16	1	1536	1789821504474137600	7687495152854	1789821504474139648	7687495157775	1789821504474139648	7687495158391	1789821504474148864	7687495183715	1789821504474149888	7687495187033	1789821504474149888	7687495187164	7687495158747	7687495183623	12144	32	1791	0
7	1	0	0	0	1	0	1789821504474151936	7687495193615	1789821504474153984	7687495197886	1789821504474153984	7687495197886	1789821504474155008	7687495200393	1789821504474155008	7687495201445	1789821504474155008	7687495201562	0	0	0	0	2559	1
8	0	32	16	16	1	1536	1789821504474157056	7687495207230	1789821504474158080	7687495210708	1789821504474159104	7687495211339	1789821504474167296	7687495234223	1789821504474168320	7687495236627	1789821504474168320	7687495236881	7687495211389	7687495234105	12452	32	489	0
9	4	0	0	0	1	0	1789821504474172416	7687495248367	1789821504474172416	7687495250587	1789821504474172416	7687495250587	1789821504474175488	7687495257089	1789821504474175488	7687495257121	1789821504474175488	7687495257246	0	0	0	0	961	0
10	0	32	16	16	1	1536	1789821504474177536	7687495262419	1789821504474178560	7687495265755	1789821504474178560	7687495266415	1789821504474192896	7687495307244	1789821504474194944	7687495311393	1789821504474194944	7687495311510	7687495266435	7687495307114	24532	64	810	0
11	1	0	0	0	1	0	1789821504474196992	7687495317353	1789821504474198016	7687495321588	1789821504474198016	7687495321588	1789821504474199040	7687495324007	1789821504474200064	7687495324852	1789821504474200064	7687495324975	0	0	0	0	2984	1
12	0	32	16	16	1	1536	1789821504474201088	7687495330008	1789821504474203136	7687495333213	1789821504474203136	7687495333813	1789821504474210304	7687495353793	1789821504474211328	7687495356104	1789821504474211328	7687495356354	7687495334034	7687495353680	10715	32	914	0
13	2	0	0	0	1	0	1789821504474214400	7687495366543	1789821504474216448	7687495370102	1789821504474216448	7687495370102	1789821504474216448	7687495372083	1789821504474216448	7687495372132	1789821504474216448	7687495372415	0	0	0	0	495	0
14	2	0	0	0	1	0	1789821504474218496	7687495378373	1789821504474219520	7687495380604	1789821504474219520	7687495380604	1789821504474220544	7687495382629	1789821504474220544	7687495382659	1789821504474220544	7687495383105	0	0	0	0	962	0
15	3	0	0	0	1	0	1789821504474222592	7687495389420	1789821504474223616	7687495391695	1789821504474223616	7687495391695	1789821504474224640	7687495392981	1789821504474224640	7687495393012	1789821504474224640	7687495393132	0	0	0	0	499	0
16	5	0	0	0	1	0	1789821504474229760	7687495407798	1789821504474230784	7687495410542	1789821504474230784	7687495410542	1789821504474254336	7687495475373	1789821504474254336	7687495475409	1789821504474254336	7687495475526	0	0	0	0	785	0
17	0	32	16	16	1	1536	1789821504474258432	7687495488673	1789821504474259456	7687495491404	1789821504474260480	7687495492098	1789821504474269696	7687495519378	1789821504474270720	7687495522427	1789821504474270720	7687495522717	7687495492184	7687495519222	15716	32	547	0
18	1	0	0	0	1	0	1789821504474273792	7687495529198	1789821504474274816	7687495533523	1789821504474274816	7687495533523	1789821504474275840	7687495536336	1789821504474276864	7687495537381	1789821504474276864	7687495537497	0	0	0	0	2586	1
19	0	32	16	16	1	1536	1789821504474277888	7687495542668	1789821504474279936	7687495545975	1789821504474279936	7687495546591	1789821504474288128	7687495570928	1789821504474289152	7687495573529	1789821504474289152	7687495573749	7687495547015	7687495570740	13013	32	879	0
20	4	0	0	0	1	0	1789821504474292224	7687495580769	1789821504474293248	7687495583236	1789821504474293248	7687495583236	1789821504474295296	7687495590173	1789821504474295296	7687495590203	1789821504474295296	7687495590320	0	0	0	0	460	0
21	0	32	16	16	1	1536	1789821504474297344	7687495596038	1789821504474298368	7687495599253	1789821504474299392	7687495599938	1789821504474313728	7687495641752	1789821504474315776	7687495645576	1789821504474315776	7687495645693	7687495599965	7687495641591	25079	64	721	0
22	1	0	0	0	1	0	1789821504474317824	7687495650909	1789821504474318848	7687495655046	1789821504474318848	7687495655046	1789821504474319872	7687495657803	1789821504474319872	7687495658597	1789821504474319872	7687495658715	0	0	0	0	2366	1
23	0	32	16	16	1	1536	1789821504474321920	7687495663854	1789821504474322944	7687495667075	1789821504474323968	7687495667732	1789821504474331136	7687495689904	1789821504474332160	7687495692372	1789821504474332160	7687495692692	7687495667749	7687495689768	13366	32	511	0
24	2	0	0	0	1	0	1789821504474337280	7687495706612	1789821504474338304	7687495708899	1789821504474338304	7687495708899	1789821504474339328	7687495710798	1789821504474339328	7687495710828	1789821504474339328	7687495710946	0	0	0	0	543	0
25	2	0	0	0	1	0	1789821504474341376	7687495717238	1789821504474342400	7687495719123	1789821504474342400	7687495719123	1789821504474342400	7687495721027	1789821504474342400	7687495721063	1789821504474342400	7687495721195	0	0	0	0	291	0
26	3	0	0	0	1	0	1789821504474344448	7687495726614	1789821504474345472	7687495728745	1789821504474345472	7687495728745	1789821504474346496	7687495730036	1789821504474346496	7687495730083	1789821504474346496	7687495730243	0	0	0	0	354	0
27	5	0	0	0	1	0	1789821504474351616	7687495744532	1789821504474352640	7687495747458	1789821504474352640	7687495747458	1789821504474375168	7687495811034	1789821504474375168	7687495811064	1789821504474375168	7687495811187	0	0	0	0	869	0
