family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	512	97	97	1	1	1	1	1	1	24	PASS
wavefront	512	98	98	1	1	1	1	1	1	24	PASS
wavefront	512	99	99	1	1	1	1	1	1	24	PASS
wavefront	512	100	100	1	1	1	1	1	1	24	PASS
wavefront	512	101	101	1	1	1	1	1	1	24	PASS
wavefront	512	102	102	1	1	1	1	1	1	24	PASS
wavefront	512	103	103	1	1	1	1	1	1	24	PASS
wavefront	512	104	104	1	1	1	1	1	1	24	PASS
wavefront	512	105	105	1	1	1	1	1	1	24	PASS
wavefront	512	106	106	1	1	1	1	1	1	24	PASS
wavefront	512	107	107	1	1	1	1	1	1	24	PASS
wavefront	512	108	108	1	1	1	1	1	1	24	PASS
wavefront	512	109	109	1	1	1	1	1	1	24	PASS
wavefront	512	110	110	1	1	1	1	1	1	24	PASS
wavefront	512	111	111	1	1	1	1	1	1	24	PASS
wavefront	512	112	112	1	1	1	1	1	1	24	PASS
