slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles
0	1	0	0	0	1	0	1789563765536022528	47970139048130	1789563765536023552	47970139049848	1789563765536023552	47970139049848	1789563765536027648	47970139061565	1789563765536032768	47970139073194	1789563765536032768	47970139073323
1	0	32	128	64	16	20480	1789563765536034816	47970139079337	1789563765536035840	47970139081434	1789563765536041984	47970139096264	1789563765536057344	47970139134037	1789563765536058368	47970139137234	1789563765536058368	47970139137479
2	0	32	128	64	16	20480	1789563765536059392	47970139141090	1789563765536061440	47970139145773	1789563765536065536	47970139155658	1789563765536078848	47970139188917	1789563765536079872	47970139192182	1789563765536079872	47970139192578
3	0	32	128	64	16	20480	1789563765536081920	47970139197643	1789563765536084992	47970139204637	1789563765536087040	47970139210631	1789563765536098304	47970139238328	1789563765536100352	47970139242298	1789563765536100352	47970139243025
4	6	0	0	0	1	0	1789563765536104448	47970139252925	1789563765536104448	47970139254650	1789563765536104448	47970139254650	1789563765536110592	47970139268200	1789563765536110592	47970139268231	1789563765536110592	47970139268370
5	2	0	0	0	1	0	1789563765536112640	47970139274282	1789563765536113664	47970139275475	1789563765536113664	47970139275475	1789563765536113664	47970139277206	1789563765536113664	47970139277236	1789563765536113664	47970139277373
6	3	0	0	0	1	0	1789563765536115712	47970139281032	1789563765536115712	47970139282785	1789563765536115712	47970139282785	1789563765536116736	47970139283495	1789563765536116736	47970139283525	1789563765536116736	47970139283654
7	5	0	0	0	1	0	1789563765536118784	47970139289573	1789563765536119808	47970139291716	1789563765536119808	47970139291716	1789563765536122880	47970139300132	1789563765536122880	47970139300162	1789563765536122880	47970139300294
8	0	32	128	64	16	20480	1789563765536124928	47970139305708	1789563765536125952	47970139308002	1789563765536130048	47970139317903	1789563765536145408	47970139357463	1789563765536147456	47970139361205	1789563765536147456	47970139361703
9	0	32	128	64	16	20480	1789563765536148480	47970139365347	1789563765536149504	47970139367340	1789563765536154624	47970139379038	1789563765536167936	47970139413960	1789563765536169984	47970139417762	1789563765536169984	47970139417917
10	6	0	0	0	1	0	1789563765536172032	47970139423733	1789563765536172032	47970139424953	1789563765536172032	47970139424953	1789563765536179200	47970139440509	1789563765536179200	47970139440539	1789563765536179200	47970139440669
11	1	0	0	0	1	0	1789563765536185344	47970139457205	1789563765536186368	47970139458929	1789563765536186368	47970139458929	1789563765536190464	47970139470218	1789563765536198656	47970139489702	1789563765536198656	47970139489831
12	0	32	128	64	16	20480	1789563765536200704	47970139494829	1789563765536200704	47970139496565	1789563765536203776	47970139504448	1789563765536221184	47970139546587	1789563765536222208	47970139549749	1789563765536222208	47970139550102
13	0	32	128	64	16	20480	1789563765536223232	47970139552924	1789563765536225280	47970139556559	1789563765536228352	47970139565788	1789563765536240640	47970139596950	1789563765536241664	47970139599846	1789563765536241664	47970139600255
14	0	32	128	64	16	20480	1789563765536244736	47970139605852	1789563765536246784	47970139612219	1789563765536249856	47970139620005	1789563765536260096	47970139644535	1789563765536261120	47970139648468	1789563765536261120	47970139648601
15	0	32	128	64	16	20480	1789563765536263168	47970139652809	1789563765536266240	47970139660061	1789563765536268288	47970139666419	1789563765536276480	47970139687225	1789563765536278528	47970139692582	1789563765536278528	47970139692738
16	0	32	128	64	16	20480	1789563765536283648	47970139704045	1789563765536284672	47970139706828	1789563765536286720	47970139713221	1789563765536294912	47970139733247	1789563765536296960	47970139738163	1789563765536296960	47970139739608
17	0	32	128	64	16	20480	1789563765536301056	47970139748948	1789563765536302080	47970139750964	1789563765536304128	47970139756416	1789563765536312320	47970139776204	1789563765536313344	47970139779721	1789563765536313344	47970139780108
18	0	32	128	64	16	20480	1789563765536316416	47970139787937	1789563765536319488	47970139796155	1789563765536321536	47970139800198	1789563765536329728	47970139821279	1789563765536330752	47970139823209	1789563765536330752	47970139823338
19	0	32	128	64	16	20480	1789563765536333824	47970139832367	1789563765536336896	47970139837966	1789563765536340992	47970139849928	1789563765536350208	47970139871800	1789563765536351232	47970139873700	1789563765536351232	47970139873831
20	0	32	128	64	16	20480	1789563765536353280	47970139879742	1789563765536354304	47970139882053	1789563765536356352	47970139889077	1789563765536367616	47970139916614	1789563765536368640	47970139919547	1789563765536368640	47970139919676
21	0	32	128	64	16	20480	1789563765536370688	47970139924194	1789563765536371712	47970139925523	1789563765536373760	47970139930894	1789563765536384000	47970139956745	1789563765536385024	47970139960633	1789563765536385024	47970139960955
22	0	32	128	64	16	20480	1789563765536387072	47970139964561	1789563765536389120	47970139970076	1789563765536391168	47970139975472	1789563765536402432	47970140003549	1789563765536403456	47970140007388	1789563765536403456	47970140007589
23	0	32	128	64	16	20480	1789563765536405504	47970140012108	1789563765536408576	47970140020453	1789563765536410624	47970140024171	1789563765536421888	47970140053347	1789563765536423936	47970140057951	1789563765536423936	47970140058502
24	0	32	128	64	16	20480	1789563765536425984	47970140063707	1789563765536429056	47970140071425	1789563765536431104	47970140075641	1789563765536441344	47970140102638	1789563765536443392	47970140106295	1789563765536443392	47970140106565
25	0	32	128	64	16	20480	1789563765536445440	47970140112369	1789563765536446464	47970140114762	1789563765536448512	47970140119667	1789563765536459776	47970140147518	1789563765536460800	47970140151048	1789563765536460800	47970140151505
26	6	0	0	0	1	0	1789563765536464896	47970140161222	1789563765536465920	47970140162824	1789563765536465920	47970140162824	1789563765536474112	47970140185426	1789563765536474112	47970140185456	1789563765536474112	47970140185585
27	4	0	0	0	1	0	1789563765536489472	47970140223598	1789563765536490496	47970140225372	1789563765536490496	47970140225372	1789563765536524288	47970140310070	1789563765536524288	47970140310103	1789563765536524288	47970140310232
28	0	32	128	64	16	20480	1789563765536526336	47970140315498	1789563765536527360	47970140318126	1789563765536531456	47970140328949	1789563765536590848	47970140477995	1789563765536591872	47970140480456	1789563765536591872	47970140480915
29	0	32	128	64	16	20480	1789563765536593920	47970140484725	1789563765536594944	47970140487148	1789563765536595968	47970140490497	1789563765536653312	47970140635659	1789563765536655360	47970140639556	1789563765536655360	47970140639689
30	6	0	0	0	1	0	1789563765536657408	47970140646879	1789563765536658432	47970140648791	1789563765536658432	47970140648791	1789563765536664576	47970140663444	1789563765536664576	47970140663474	1789563765536664576	47970140663605
31	1	0	0	0	1	0	1789563765536675840	47970140691450	1789563765536675840	47970140693093	1789563765536675840	47970140693093	1789563765536680960	47970140704559	1789563765536689152	47970140724619	1789563765536689152	47970140724748
32	0	32	128	64	16	20480	1789563765536690176	47970140729508	1789563765536692224	47970140732438	1789563765536693248	47970140735723	1789563765536711680	47970140781143	1789563765536712704	47970140785716	1789563765536712704	47970140786146
33	0	32	128	64	16	20480	1789563765536714752	47970140789971	1789563765536715776	47970140792021	1789563765536717824	47970140798563	1789563765536731136	47970140832045	1789563765536733184	47970140836501	1789563765536733184	47970140836799
34	0	32	128	64	16	20480	1789563765536736256	47970140843527	1789563765536736256	47970140845332	1789563765536739328	47970140851949	1789563765536749568	47970140878122	1789563765536751616	47970140882125	1789563765536751616	47970140882459
35	6	0	0	0	1	0	1789563765536759808	47970140904559	1789563765536760832	47970140905648	1789563765536760832	47970140905648	1789563765536765952	47970140919160	1789563765536765952	47970140919190	1789563765536765952	47970140919319
36	2	0	0	0	1	0	1789563765536768000	47970140924706	1789563765536769024	47970140926839	1789563765536769024	47970140926839	1789563765536770048	47970140928434	1789563765536770048	47970140928467	1789563765536770048	47970140928601
37	3	0	0	0	1	0	1789563765536771072	47970140930988	1789563765536771072	47970140932054	1789563765536771072	47970140932054	1789563765536771072	47970140933013	1789563765536771072	47970140933044	1789563765536771072	47970140933173
38	5	0	0	0	1	0	1789563765536775168	47970140941408	1789563765536775168	47970140943450	1789563765536775168	47970140943450	1789563765536779264	47970140953395	1789563765536779264	47970140953425	1789563765536779264	47970140953554
39	0	32	128	64	16	20480	1789563765536781312	47970140958687	1789563765536782336	47970140961089	1789563765536786432	47970140971675	1789563765536801792	47970141008926	1789563765536802816	47970141012924	1789563765536802816	47970141013119
40	0	32	128	64	16	20480	1789563765536804864	47970141016883	1789563765536805888	47970141019459	1789563765536808960	47970141027951	1789563765536823296	47970141063712	1789563765536824320	47970141066904	1789563765536824320	47970141067101
41	6	0	0	0	1	0	1789563765536827392	47970141073102	1789563765536827392	47970141074435	1789563765536827392	47970141074435	1789563765536833536	47970141089980	1789563765536833536	47970141090010	1789563765536833536	47970141090139
42	1	0	0	0	1	0	1789563765536839680	47970141105255	1789563765536840704	47970141106668	1789563765536840704	47970141106668	1789563765536844800	47970141118770	1789563765536852992	47970141138501	1789563765536852992	47970141138796
43	0	32	128	64	16	20480	1789563765536855040	47970141144319	1789563765536856064	47970141146614	1789563765536861184	47970141158823	1789563765536876544	47970141197328	1789563765536877568	47970141200293	1789563765536877568	47970141200593
