seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	0	8	1	88	1400	1160	88
1	3	8	1	88	1464	1224	88
1	512	8	1	88	17752	3176	144
4	0	8	1	88	2144	3200	88
4	3	8	1	88	2144	3200	88
4	512	8	1	88	18400	5120	144
128	0	8	1	88	34048	66304	156
128	3	8	1	88	34048	66304	156
128	512	8	1	88	46336	66304	204
512	0	8	1	88	136192	214528	532
512	3	8	1	88	136192	214528	532
512	512	8	1	88	136192	214528	532
2048	0	8	1	88	544768	797440	2128
2048	3	8	1	88	544768	797440	2128
2048	512	8	1	88	544768	797440	2128
