model	split	fp32_partials	round	pass	mismatch	max_abs	partial_bytes	l05_ms	l1_ms	l2_ms
gqa2	1	0	0	1	0	0.03125	0	0.560320	0.532256	0.576512
gqa2	1	1	0	1	0	0.03125	0	0.559392	0.535776	0.573216
gqa2	2	0	0	0	2	0.09375	4194304	1.258976	1.210272	1.272800
gqa2	2	1	0	1	0	0.03125	8388608	1.322624	1.274016	1.336864
gqa2	4	0	0	0	1	0.0625	8388608	0.972448	0.925664	0.982560
gqa2	4	1	0	1	0	0.03125	16777216	1.065280	1.015776	1.070816
gqa2	8	0	0	1	0	0.0625	16777216	0.953600	0.919616	0.966240
gqa2	8	1	0	1	0	0.03125	33554432	1.083840	1.036672	1.089568
gqa2	16	0	0	0	3	0.09375	33554432	1.016384	1.000512	1.017696
gqa2	16	1	0	1	0	0.03125	67108864	1.246848	1.211584	1.246336
mha4	1	0	0	1	0	0.03125	0	1.118112	1.070144	1.165248
mha4	1	1	0	1	0	0.03125	0	1.126240	1.070976	1.173568
mha4	2	0	0	0	64	0.078125	9437184	2.514720	2.419072	2.562176
mha4	2	1	0	1	0	0.046875	18874368	2.635648	2.552896	2.690784
mha4	4	0	0	0	75	0.078125	18874368	1.944896	1.853120	1.981504
mha4	4	1	0	1	0	0.03125	37748736	2.144352	2.046752	2.177472
mha4	8	0	0	0	71	0.09375	37748736	1.897472	1.835264	1.951744
mha4	8	1	0	1	0	0.046875	75497472	2.214016	2.127808	2.263712
mha4	16	0	0	0	67	0.09375	75497472	2.035520	2.015232	2.064352
mha4	16	1	0	1	0	0.03125	150994944	2.636000	2.565216	2.657152
gqa2	1	1	1	1	0	0.03125	0	0.559904	0.533152	0.571776
gqa2	2	0	1	0	2	0.09375	4194304	1.254240	1.209408	1.271904
gqa2	2	1	1	1	0	0.03125	8388608	1.319360	1.274112	1.336256
gqa2	4	0	1	0	1	0.0625	8388608	0.974720	0.924800	0.981376
gqa2	4	1	1	1	0	0.03125	16777216	1.061888	1.014688	1.071072
gqa2	8	0	1	1	0	0.0625	16777216	0.952800	0.919872	0.965184
gqa2	8	1	1	1	0	0.03125	33554432	1.081632	1.036768	1.089536
gqa2	16	0	1	0	3	0.09375	33554432	1.016448	1.002048	1.017824
gqa2	16	1	1	1	0	0.03125	67108864	1.242784	1.211360	1.247328
mha4	1	0	1	1	0	0.03125	0	1.114336	1.069056	1.167872
mha4	1	1	1	1	0	0.03125	0	1.125856	1.071008	1.171488
mha4	2	0	1	0	64	0.078125	9437184	2.506464	2.420928	2.560672
mha4	2	1	1	1	0	0.046875	18874368	2.634272	2.548576	2.689152
mha4	4	0	1	0	75	0.078125	18874368	1.943040	1.849664	1.978336
mha4	4	1	1	1	0	0.03125	37748736	2.142240	2.046656	2.177344
mha4	8	0	1	0	71	0.09375	37748736	1.900416	1.833952	1.952320
mha4	8	1	1	1	0	0.046875	75497472	2.210560	2.128096	2.263808
mha4	16	0	1	0	67	0.09375	75497472	2.038688	2.020480	2.066560
mha4	16	1	1	1	0	0.03125	150994944	2.631776	2.563072	2.657312
gqa2	1	0	1	1	0	0.03125	0	0.558912	0.535104	0.575936
gqa2	2	0	2	0	2	0.09375	4194304	1.252544	1.209280	1.272384
gqa2	2	1	2	1	0	0.03125	8388608	1.318656	1.274912	1.335552
gqa2	4	0	2	0	1	0.0625	8388608	0.974656	0.923904	0.981600
gqa2	4	1	2	1	0	0.03125	16777216	1.063584	1.014432	1.070720
gqa2	8	0	2	1	0	0.0625	16777216	0.952448	0.917664	0.964608
gqa2	8	1	2	1	0	0.03125	33554432	1.083840	1.036480	1.087712
gqa2	16	0	2	0	3	0.09375	33554432	1.015808	1.001888	1.016544
gqa2	16	1	2	1	0	0.03125	67108864	1.243392	1.211552	1.247456
mha4	1	0	2	1	0	0.03125	0	1.115328	1.069408	1.167456
mha4	1	1	2	1	0	0.03125	0	1.122944	1.070912	1.169472
mha4	2	0	2	0	64	0.078125	9437184	2.507072	2.415296	2.556384
mha4	2	1	2	1	0	0.046875	18874368	2.631648	2.548096	2.687584
mha4	4	0	2	0	75	0.078125	18874368	1.943616	1.849184	1.978656
mha4	4	1	2	1	0	0.03125	37748736	2.140192	2.045344	2.174688
mha4	8	0	2	0	71	0.09375	37748736	1.899200	1.835008	1.951904
