model	arm	l1_ms	l2_ms	pass	status
gqa2	stage	0.167936	0.183296	60/60	PASS
gqa2	k1	0.167936	0.627712	60/60	PASS
gqa2	k2	0.168704	0.411520	60/60	PASS
gqa2	k4	0.168448	0.301056	60/60	PASS
gqa2	k8	0.168192	0.247808	60/60	PASS
gqa2	k16	0.168160	0.222208	60/60	PASS
gqa2	k32	0.168192	0.209776	60/60	PASS
gqa2	k64	0.168144	0.203776	60/60	PASS
gqa2	k128	0.168928	0.201616	60/60	PASS
gqa2	k256	0.168208	0.200608	60/60	PASS
gqa2	nosync	0.106896	0.183456	0/60	MISMATCH
mha4	stage	0.324736	0.357712	60/60	PASS
mha4	k1	0.324832	1.360896	60/60	PASS
mha4	k2	0.324864	0.874224	60/60	PASS
mha4	k4	0.324848	0.626624	60/60	PASS
mha4	k8	0.324848	0.502928	60/60	PASS
mha4	k16	0.324608	0.445584	60/60	PASS
mha4	k32	0.324608	0.418608	60/60	PASS
mha4	k64	0.324672	0.404480	60/60	PASS
mha4	k128	0.324608	0.397040	60/60	PASS
mha4	k256	0.324736	0.395264	60/60	PASS
mha4	nosync	0.207632	0.357376	0/60	MISMATCH
