model	arm	l1_ms	l2_ms	pass	status
gqa2	stage	0.166912	0.183328	60/60	PASS
gqa2	k1	0.167088	0.618560	60/60	PASS
gqa2	k2	0.166912	0.406464	60/60	PASS
gqa2	k4	0.166912	0.297984	60/60	PASS
gqa2	k8	0.166912	0.244928	60/60	PASS
gqa2	k16	0.166912	0.219136	60/60	PASS
gqa2	k32	0.166992	0.206848	60/60	PASS
gqa2	k64	0.167104	0.201728	60/60	PASS
gqa2	k128	0.167040	0.198800	60/60	PASS
gqa2	k256	0.167136	0.197632	60/60	PASS
gqa2	nosync	0.107520	0.183520	0/60	MISMATCH
mha4	stage	0.324608	0.355328	60/60	PASS
mha4	k1	0.324864	1.337488	60/60	PASS
mha4	k2	0.325088	0.857952	60/60	PASS
mha4	k4	0.324832	0.613376	60/60	PASS
mha4	k8	0.324864	0.492544	60/60	PASS
mha4	k16	0.325424	0.435200	60/60	PASS
mha4	k32	0.325392	0.406448	60/60	PASS
mha4	k64	0.325600	0.395200	60/60	PASS
mha4	k128	0.325632	0.385248	60/60	PASS
mha4	k256	0.325088	0.385024	60/60	PASS
mha4	nosync	0.205552	0.356112	0/60	MISMATCH
