placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	kappa	grouping_model	status
eft	1	134848.443049	65592	65592	65592	784	128	1	projected_events_and_sigma_lifting	ok
rotate	1	142996.259878	65592	65592	25824	784	128	1	projected_events_and_sigma_lifting	ok
wavefront	1	142996.259878	65592	65592	65336	784	128	1	projected_events_and_sigma_lifting	ok
chain	1	161844.993477	65592	65592	27216	784	128	1	projected_events_and_sigma_lifting	ok
legacy_grid_stride	0	90392	90392	65592	90392	784	128	1	projected_events_and_sigma_lifting	ok
balanced	0	95744	95744	65592	95744	784	128	1	projected_events_and_sigma_lifting	ok
