model	config	input_equal	legacy_total	bound_cg_total
gqa2	16x32x16s2k1	1	225383.88955263374	225383.88955263374
gqa2	16x32x16s2k2	1	161743.92164724757	161743.92164724757
gqa2	16x32x16s2k4	1	119284.55376296245	119284.55376296245
gqa2	16x32x16s2k8	1	103440.19217180504	103440.19217180504
gqa2	16x32x16s2k16	1	101608.45041608511	101608.45041608511
gqa2	16x32x16s3k1	1	226459.65423243993	226459.65423243993
gqa2	16x32x16s3k2	1	162819.68632705376	162819.68632705376
gqa2	16x32x16s3k4	1	120360.31844276862	120360.31844276862
gqa2	16x32x16s3k8	1	104515.95685161122	104515.95685161122
gqa2	16x32x16s3k16	1	102991.57643297873	102991.57643297873
gqa2	16x32x16s4k1	1	227535.41891224612	227535.41891224612
gqa2	16x32x16s4k2	1	163895.45100685989	163895.45100685989
gqa2	16x32x16s4k4	1	121436.08312257478	121436.08312257478
gqa2	16x32x16s4k8	1	105591.7215314174	105591.7215314174
gqa2	16x32x16s4k16	1	104374.70244987239	104374.70244987239
gqa2	16x32x16s5k1	1	228611.18359205226	228611.18359205226
gqa2	16x32x16s5k2	1	164971.21568666608	164971.21568666608
gqa2	16x32x16s5k4	1	122511.84780238094	122511.84780238094
gqa2	16x32x16s5k8	1	106667.48621122356	106667.48621122356
gqa2	16x32x16s5k16	1	105757.82846676602	105757.82846676602
gqa2	16x32x32s2k1	1	227535.41891224612	227535.41891224612
gqa2	16x32x32s2k2	1	163895.45100685989	163895.45100685989
gqa2	16x32x32s2k4	1	121436.08312257478	121436.08312257478
gqa2	16x32x32s2k8	1	105591.7215314174	105591.7215314174
gqa2	16x32x32s2k16	1	104374.70244987239	104374.70244987239
gqa2	16x32x32s3k1	1	229686.94827185839	229686.94827185839
gqa2	16x32x32s3k2	1	166046.98036647221	166046.98036647221
gqa2	16x32x32s3k4	1	123587.61248218712	123587.61248218712
gqa2	16x32x32s3k8	1	107743.25089102972	107743.25089102972
gqa2	16x32x32s3k16	1	107140.95448365968	107140.95448365968
gqa2	16x32x32s4k1	1	231838.47763147077	231838.47763147077
gqa2	16x32x32s4k2	1	168198.50972608454	168198.50972608454
gqa2	16x32x32s4k4	1	125739.14184179943	125739.14184179943
gqa2	16x32x32s4k8	1	109894.78025064204	109894.78025064204
gqa2	16x32x32s4k16	1	109907.20651744695	109907.20651744695
gqa2	16x32x32s5k1	1	233990.00699108309	233990.00699108309
gqa2	16x32x32s5k2	1	170350.03908569689	170350.03908569689
gqa2	16x32x32s5k4	1	127890.67120141178	127890.67120141178
gqa2	16x32x32s5k8	1	112046.30961025439	112046.30961025439
gqa2	16x32x32s5k16	1	112673.45855123425	112673.45855123425
gqa2	16x64x16s2k1	1	326169.09798998729	326169.09798998729
