model	begin	end	ctas_per_sm	gemm	tile_m	tile_n	tile_k	stages	split
gqa2	1	16	2	0	16	64	16	2	16
gqa2	1	16	2	1	16	64	16	2	16
gqa2	1	16	2	2	16	64	16	2	16
gqa2	1	16	2	3	16	64	16	2	16
gqa2	1	16	2	4	16	64	16	2	16
gqa2	1	16	2	5	16	64	16	2	16
gqa2	1	16	2	6	16	64	16	2	16
gqa2	1	16	2	7	16	64	16	2	16
gqa2	1	16	2	8	16	64	16	2	16
gqa2	1	16	2	9	16	64	16	2	16
gqa2	1	16	2	10	16	64	16	2	16
gqa2	1	16	2	11	16	64	16	2	16
gqa2	1	16	2	12	16	64	16	2	16
gqa2	1	16	2	13	16	64	16	2	16
mha4	1	16	2	0	16	64	16	2	16
mha4	1	16	2	1	16	64	16	2	16
mha4	1	16	2	2	16	64	16	2	16
mha4	1	16	2	3	16	64	16	2	16
mha4	1	16	2	4	16	64	16	2	16
mha4	1	16	2	5	16	64	16	2	16
mha4	1	16	2	6	16	64	16	2	16
mha4	1	16	2	7	16	64	16	2	16
mha4	1	16	2	8	16	64	16	2	16
mha4	1	16	2	9	16	64	16	2	16
mha4	1	16	2	10	16	64	16	2	16
mha4	1	16	2	11	16	64	16	2	16
mha4	1	16	2	12	16	64	16	2	16
mha4	1	16	2	13	16	64	16	2	16
mha4	1	16	2	14	16	64	16	2	16
mha4	1	16	2	15	16	64	16	2	16
mha4	1	16	2	16	16	64	16	2	16
mha4	1	16	2	17	16	64	16	2	16
mha4	1	16	2	18	16	64	16	2	16
mha4	1	16	2	19	16	64	16	2	16
mha4	1	16	2	20	16	64	16	2	16
mha4	1	16	2	21	16	64	16	2	16
mha4	1	16	2	22	16	64	16	2	16
mha4	1	16	2	23	16	64	16	2	16
mha4	1	16	2	24	16	64	16	2	16
mha4	1	16	2	25	16	64	16	2	16
mha4	1	16	2	26	16	64	16	2	16
mha4	1	16	2	27	16	64	16	2	16
