model	config	input_equal	legacy_total	bound_cg_total
gqa2	32x16x16s2k1	1	89464.755650065577	89464.755650065577
gqa2	32x16x16s2k2	1	108939.98957955014	108939.98957955014
gqa2	32x16x16s2k4	1	105292.15919490044	105292.15919490044
gqa2	32x16x16s2k8	1	104765.72925309811	104765.72925309811
gqa2	32x16x16s2k16	1	105152.86854962932	105152.86854962932
gqa2	32x16x16s3k1	1	90003.217193161938	90003.217193161938
gqa2	32x16x16s3k2	1	109478.4511226465	109478.4511226465
gqa2	32x16x16s3k4	1	105830.6207379968	105830.6207379968
gqa2	32x16x16s3k8	1	105304.19079619448	105304.19079619448
gqa2	32x16x16s3k16	1	105845.17624789607	105845.17624789607
gqa2	32x16x16s4k1	1	90541.678736258298	90541.678736258298
gqa2	32x16x16s4k2	1	110016.91266574286	110016.91266574286
gqa2	32x16x16s4k4	1	106369.08228109316	106369.08228109316
gqa2	32x16x16s4k8	1	105842.65233929083	105842.65233929083
gqa2	32x16x16s4k16	1	106537.48394616281	106537.48394616281
gqa2	32x16x16s5k1	1	91080.140279354644	91080.140279354644
gqa2	32x16x16s5k2	1	110555.37420883922	110555.37420883922
gqa2	32x16x16s5k4	1	106907.54382418952	106907.54382418952
gqa2	32x16x16s5k8	1	106381.11388238719	106381.11388238719
gqa2	32x16x16s5k16	1	107229.79164442956	107229.79164442956
gqa2	32x16x32s2k1	1	90541.678736258298	90541.678736258298
gqa2	32x16x32s2k2	1	110016.91266574286	110016.91266574286
gqa2	32x16x32s2k4	1	106369.08228109316	106369.08228109316
gqa2	32x16x32s2k8	1	105842.65233929083	105842.65233929083
gqa2	32x16x32s2k16	1	106537.48394616281	106537.48394616281
gqa2	32x16x32s3k1	1	91618.601822451004	91618.601822451004
gqa2	32x16x32s3k2	1	111093.83575193558	111093.83575193558
gqa2	32x16x32s3k4	1	107446.00536728588	107446.00536728588
gqa2	32x16x32s3k8	1	106919.57542548355	106919.57542548355
gqa2	32x16x32s3k16	1	107922.09934269631	107922.09934269631
gqa2	32x16x32s4k1	1	92695.524908643725	92695.524908643725
gqa2	32x16x32s4k2	1	112170.7588381283	112170.7588381283
gqa2	32x16x32s4k4	1	108522.92845347858	108522.92845347858
gqa2	32x16x32s4k8	1	107996.49851167627	107996.49851167627
gqa2	32x16x32s4k16	1	109306.71473922979	109306.71473922979
