model	begin	end	ctas_per_sm	gemm	tile_m	tile_n	tile_k	stages	split
gqa2	1	7	2	0	32	128	32	3	16
gqa2	1	7	2	1	32	128	32	3	16
gqa2	1	7	2	2	32	128	32	3	16
gqa2	1	7	2	3	32	128	32	3	16
gqa2	1	7	2	4	32	128	32	3	16
gqa2	1	7	2	5	32	128	32	3	16
gqa2	1	7	2	6	32	128	32	3	16
gqa2	1	7	2	7	32	128	32	3	16
gqa2	1	7	2	8	32	128	32	3	16
gqa2	1	7	2	9	32	128	32	3	16
gqa2	1	7	2	10	32	128	32	3	16
gqa2	1	7	2	11	32	128	32	3	16
gqa2	1	7	2	12	32	128	32	3	16
gqa2	1	7	2	13	32	128	32	3	16
gqa2	8	16	6	0	32	16	16	2	1
gqa2	8	16	6	1	32	16	16	2	1
gqa2	8	16	6	2	32	16	16	2	1
gqa2	8	16	6	3	32	16	16	2	1
gqa2	8	16	6	4	32	16	16	2	1
gqa2	8	16	6	5	32	16	16	2	1
gqa2	8	16	6	6	32	16	16	2	1
gqa2	8	16	6	7	32	16	16	2	1
gqa2	8	16	6	8	32	16	16	2	1
gqa2	8	16	6	9	32	16	16	2	1
gqa2	8	16	6	10	32	16	16	2	1
gqa2	8	16	6	11	32	16	16	2	1
gqa2	8	16	6	12	32	16	16	2	1
gqa2	8	16	6	13	32	16	16	2	1
mha4	1	6	2	0	32	128	32	3	16
mha4	1	6	2	1	32	128	32	3	16
mha4	1	6	2	2	32	128	32	3	16
mha4	1	6	2	3	32	128	32	3	16
mha4	1	6	2	4	32	128	32	3	16
mha4	1	6	2	5	32	128	32	3	16
mha4	1	6	2	6	32	128	32	3	16
mha4	1	6	2	7	32	128	32	3	16
mha4	1	6	2	8	32	128	32	3	16
mha4	1	6	2	9	32	128	32	3	16
mha4	1	6	2	10	32	128	32	3	16
mha4	1	6	2	11	32	128	32	3	16
mha4	1	6	2	12	32	128	32	3	16
mha4	1	6	2	13	32	128	32	3	16
mha4	1	6	2	14	32	128	32	3	16
mha4	1	6	2	15	32	128	32	3	16
mha4	1	6	2	16	32	128	32	3	16
mha4	1	6	2	17	32	128	32	3	16
mha4	1	6	2	18	32	128	32	3	16
mha4	1	6	2	19	32	128	32	3	16
mha4	1	6	2	20	32	128	32	3	16
mha4	1	6	2	21	32	128	32	3	16
mha4	1	6	2	22	32	128	32	3	16
mha4	1	6	2	23	32	128	32	3	16
mha4	1	6	2	24	32	128	32	3	16
mha4	1	6	2	25	32	128	32	3	16
mha4	1	6	2	26	32	128	32	3	16
mha4	1	6	2	27	32	128	32	3	16
mha4	7	16	6	0	32	16	16	2	1
mha4	7	16	6	1	32	16	16	2	1
mha4	7	16	6	2	32	16	16	2	1
mha4	7	16	6	3	32	16	16	2	1
mha4	7	16	6	4	32	16	16	2	1
mha4	7	16	6	5	32	16	16	2	1
mha4	7	16	6	6	32	16	16	2	1
mha4	7	16	6	7	32	16	16	2	1
mha4	7	16	6	8	32	16	16	2	1
mha4	7	16	6	9	32	16	16	2	1
mha4	7	16	6	10	32	16	16	2	1
mha4	7	16	6	11	32	16	16	2	1
mha4	7	16	6	12	32	16	16	2	1
mha4	7	16	6	13	32	16	16	2	1
mha4	7	16	6	14	32	16	16	2	1
mha4	7	16	6	15	32	16	16	2	1
mha4	7	16	6	16	32	16	16	2	1
mha4	7	16	6	17	32	16	16	2	1
mha4	7	16	6	18	32	16	16	2	1
mha4	7	16	6	19	32	16	16	2	1
mha4	7	16	6	20	32	16	16	2	1
mha4	7	16	6	21	32	16	16	2	1
mha4	7	16	6	22	32	16	16	2	1
mha4	7	16	6	23	32	16	16	2	1
mha4	7	16	6	24	32	16	16	2	1
mha4	7	16	6	25	32	16	16	2	1
mha4	7	16	6	26	32	16	16	2	1
mha4	7	16	6	27	32	16	16	2	1
