model	variant	arm	seq	past	round	pass	l1_ms	l2_ms	l05_ms	reg	ctas_per_sm	grid	block	task_smem	occupancy_smem	static_smem	regs_per_sm	smem_per_sm	threads_per_sm	l1_reg	l05_reg	l1_ctas	l2_ctas	min_blocks	warp_size	l05_spill_stores	l05_spill_loads	l1_spill_stores	l1_spill_loads	l2_spill_stores	l2_spill_loads	f40_ctas	f40_binding
gqa2	occ1	full	4	3	0	1	0.335552	0.372512	0.340640	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	0	1	0.336192	0.370080	0.339744	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	1	1	0.335936	0.374336	0.339328	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	1	1	0.336160	0.370080	0.339840	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	2	1	0.336256	0.372192	0.339776	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	2	1	0.335840	0.372800	0.339872	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	3	1	0.336320	0.371872	0.340192	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	3	1	0.335520	0.370560	0.339840	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	4	1	0.335680	0.370752	0.340640	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	4	1	0.335136	0.372224	0.341216	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	5	1	0.336192	0.372064	0.339776	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	5	1	0.334880	0.373472	0.340384	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	6	1	0.334784	0.372800	0.339456	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	6	1	0.335040	0.369312	0.339808	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	7	1	0.336928	0.372672	0.339616	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	7	1	0.334720	0.369984	0.339552	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	8	1	0.336352	0.371200	0.340160	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	8	1	0.336032	0.374208	0.340288	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	9	1	0.334688	0.370656	0.339520	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	9	1	0.336064	0.372288	0.340032	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	10	1	0.336256	0.370976	0.340128	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	10	1	0.336640	0.370752	0.340256	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	11	1	0.336512	0.371104	0.340256	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	11	1	0.335872	0.370624	0.339968	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	12	1	0.336192	0.370784	0.340128	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	12	1	0.336192	0.372736	0.340096	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	13	1	0.335360	0.371616	0.339744	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	13	1	0.337472	0.374400	0.339808	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	14	1	0.334816	0.369312	0.339904	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	14	1	0.335264	0.371712	0.339840	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	15	1	0.336192	0.369792	0.340320	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	15	1	0.335808	0.373152	0.340864	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	16	1	0.334272	0.370944	0.339552	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	16	1	0.335680	0.375296	0.339904	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	17	1	0.335712	0.370304	0.340256	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	17	1	0.336192	0.370976	0.339232	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	18	1	0.335968	0.371936	0.340000	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	18	1	0.336224	0.372288	0.339456	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	19	1	0.335936	0.372704	0.340000	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	19	1	0.336320	0.370816	0.340000	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	20	1	0.336096	0.368960	0.339616	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	20	1	0.336032	0.370688	0.339776	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	21	1	0.336128	0.370880	0.340032	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	21	1	0.336256	0.372192	0.339808	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	22	1	0.334432	0.370528	0.342464	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	22	1	0.335872	0.370720	0.339776	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	23	1	0.336256	0.369056	0.339584	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	23	1	0.336032	0.371328	0.339456	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	24	1	0.335776	0.370880	0.339744	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	24	1	0.336384	0.370848	0.339392	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	25	1	0.333792	0.370464	0.340320	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	25	1	0.336448	0.372384	0.339776	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ1	full	4	3	26	1	0.335296	0.374336	0.339936	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	26	1	0.335456	0.369984	0.339712	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
gqa2	occ2	full	4	3	27	1	0.336256	0.371392	0.340064	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	2	32	0	0	0	0	0	0	2	registers
