candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
64x128x16s2split8kappa1	-	numerical exclusion: docs/experiments/MODELS/covered_llama/correctness/r0.log: one final residual element fails fixed CPU golden tolerance; L05=L1=L2	0	0	0	0	0	1
64x128x16s2split8kappa2	-	numerical exclusion: docs/experiments/MODELS/covered_llama/correctness/r0.log: one final residual element fails fixed CPU golden tolerance; L05=L1=L2	0	0	0	0	0	2
64x128x16s2split8kappa4	-	numerical exclusion: docs/experiments/MODELS/covered_llama/correctness/r0.log: one final residual element fails fixed CPU golden tolerance; L05=L1=L2	0	0	0	0	0	4
64x128x16s2split4kappa1r1	eft	ok	2.99165e+06	129266	2.99165e+06	3.36456e+06	128	1
64x128x16s2split4kappa1r1	chain	ok	2.99998e+06	129266	2.99998e+06	3.36869e+06	128	1
64x128x16s2split4kappa1r1	wavefront	ok	3.11503e+06	129266	3.11503e+06	3.46271e+06	128	1
64x128x16s2split4kappa1r1	rotate	ok	3.37652e+06	129266	3.04461e+06	3.87038e+06	128	1
64x128x16s2split4kappa1r1	balanced	ok	4.56193e+06	129266	4.52601e+06	4.93165e+06	128	1
64x128x16s2split4kappa1r1	legacy_grid_stride	ok	4.70307e+06	129266	4.70307e+06	5.37394e+06	128	1
64x128x16s2split4kappa1r2	eft	ok	2.45873e+06	204056	2.45826e+06	2.69344e+06	256	1
64x128x16s2split4kappa1r2	chain	ok	2.46333e+06	204056	2.45836e+06	2.76342e+06	256	1
64x128x16s2split4kappa1r2	wavefront	ok	2.57044e+06	204056	2.56618e+06	2.77805e+06	256	1
64x128x16s2split4kappa1r2	rotate	ok	3.16461e+06	204056	2.52981e+06	3.50742e+06	256	1
64x128x16s2split4kappa1r2	legacy_grid_stride	ok	6.10213e+06	204056	6.10213e+06	6.7082e+06	256	1
64x128x16s2split4kappa1r2	balanced	ok	7.17483e+06	204056	7.12996e+06	7.44144e+06	256	1
64x128x16s2split4kappa1r3	eft	ok	2.29662e+06	278845	2.29395e+06	2.44849e+06	384	1
64x128x16s2split4kappa1r3	chain	ok	2.30163e+06	278845	2.29669e+06	2.50857e+06	384	1
64x128x16s2split4kappa1r3	wavefront	ok	3.32207e+06	278845	3.25339e+06	3.45389e+06	384	1
64x128x16s2split4kappa1r3	rotate	ok	3.59587e+06	278845	2.69805e+06	3.86399e+06	384	1
64x128x16s2split4kappa1r3	legacy_grid_stride	ok	8.25702e+06	278845	8.25702e+06	8.85596e+06	384	1
64x128x16s2split4kappa1r3	balanced	ok	9.49807e+06	278845	9.45822e+06	9.71169e+06	384	1
64x128x16s2split4kappa2r1	eft	ok	2.99165e+06	129266	2.99165e+06	3.37304e+06	128	2
64x128x16s2split4kappa2r1	chain	ok	2.99998e+06	129266	2.99998e+06	3.38573e+06	128	2
64x128x16s2split4kappa2r1	wavefront	ok	3.11503e+06	129266	3.11503e+06	3.54566e+06	128	2
64x128x16s2split4kappa2r1	rotate	ok	3.37652e+06	129266	3.04461e+06	3.87146e+06	128	2
64x128x16s2split4kappa2r1	balanced	ok	4.56193e+06	129266	4.52601e+06	4.9397e+06	128	2
64x128x16s2split4kappa2r1	legacy_grid_stride	ok	4.70307e+06	129266	4.70307e+06	5.53636e+06	128	2
64x128x16s2split4kappa2r2	eft	ok	2.45873e+06	204056	2.45826e+06	2.71268e+06	256	2
64x128x16s2split4kappa2r2	chain	ok	2.46689e+06	204056	2.45836e+06	2.767e+06	256	2
64x128x16s2split4kappa2r2	wavefront	ok	2.57044e+06	204056	2.56618e+06	2.8496e+06	256	2
64x128x16s2split4kappa2r2	rotate	ok	3.16461e+06	204056	2.52981e+06	3.50849e+06	256	2
64x128x16s2split4kappa2r2	legacy_grid_stride	ok	6.10213e+06	204056	6.10213e+06	6.87063e+06	256	2
64x128x16s2split4kappa2r2	balanced	ok	7.17483e+06	204056	7.12996e+06	7.46454e+06	256	2
