slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
0	1	0	0	0	1	0	1789572743298711552	52847643144203	1789572743298711552	52847643145813	1789572743298711552	52847643145813	1789572743298722816	52847643172092	1789572743298726912	52847643184362	1789572743298726912	52847643184478	0	0	0	0
1	0	64	128	16	1	6144	1789572743298728960	52847643189118	1789572743298729984	52847643191396	1789572743298729984	52847643192271	1789572743298857984	52847643511754	1789572743298861056	52847643518134	1789572743298861056	52847643518443	52847643192282	52847643511664	128145	256
2	2	0	0	0	1	0	1789572743298865152	52847643528078	1789572743298866176	52847643529935	1789572743298866176	52847643529935	1789572743298866176	52847643532376	1789572743298867200	52847643532406	1789572743298867200	52847643532793	0	0	0	0
3	2	0	0	0	1	0	1789572743298868224	52847643535530	1789572743298868224	52847643536693	1789572743298868224	52847643536693	1789572743298869248	52847643538207	1789572743298869248	52847643538237	1789572743298869248	52847643538353	0	0	0	0
4	2	0	0	0	1	0	1789572743298870272	52847643541032	1789572743298871296	52847643542766	1789572743298871296	52847643542766	1789572743298871296	52847643544365	1789572743298871296	52847643544395	1789572743298871296	52847643544511	0	0	0	0
5	2	0	0	0	1	0	1789572743298872320	52847643547079	1789572743298873344	52847643548263	1789572743298873344	52847643548263	1789572743298873344	52847643549881	1789572743298873344	52847643549912	1789572743298873344	52847643550029	0	0	0	0
6	2	0	0	0	1	0	1789572743298874368	52847643552810	1789572743298875392	52847643554603	1789572743298875392	52847643554603	1789572743298876416	52847643556256	1789572743298876416	52847643556286	1789572743298876416	52847643556402	0	0	0	0
7	2	0	0	0	1	0	1789572743298877440	52847643559791	1789572743298878464	52847643561696	1789572743298878464	52847643561696	1789572743298878464	52847643562973	1789572743298878464	52847643563003	1789572743298878464	52847643563121	0	0	0	0
8	2	0	0	0	1	0	1789572743298879488	52847643565568	1789572743298880512	52847643567319	1789572743298880512	52847643567319	1789572743298881536	52847643568889	1789572743298881536	52847643568921	1789572743298881536	52847643569038	0	0	0	0
9	2	0	0	0	1	0	1789572743298882560	52847643571724	1789572743298882560	52847643573169	1789572743298882560	52847643573169	1789572743298883584	52847643574775	1789572743298883584	52847643574805	1789572743298883584	52847643574921	0	0	0	0
10	2	0	0	0	1	0	1789572743298884608	52847643577576	1789572743298884608	52847643578727	1789572743298884608	52847643578727	1789572743298885632	52847643580296	1789572743298885632	52847643580329	1789572743298885632	52847643580445	0	0	0	0
11	2	0	0	0	1	0	1789572743298886656	52847643583218	1789572743298886656	52847643584004	1789572743298886656	52847643584004	1789572743298887680	52847643585817	1789572743298887680	52847643585847	1789572743298887680	52847643585964	0	0	0	0
12	2	0	0	0	1	0	1789572743298888704	52847643588793	1789572743298889728	52847643589949	1789572743298889728	52847643589949	1789572743298889728	52847643591521	1789572743298889728	52847643591551	1789572743298889728	52847643591667	0	0	0	0
13	2	0	0	0	1	0	1789572743298890752	52847643594280	1789572743298891776	52847643595702	1789572743298891776	52847643595702	1789572743298892800	52847643597277	1789572743298892800	52847643597308	1789572743298892800	52847643597425	0	0	0	0
14	2	0	0	0	1	0	1789572743298893824	52847643600077	1789572743298893824	52847643601823	1789572743298893824	52847643601823	1789572743298894848	52847643603414	1789572743298894848	52847643603444	1789572743298894848	52847643603560	0	0	0	0
15	2	0	0	0	1	0	1789572743298895872	52847643605956	1789572743298896896	52847643607691	1789572743298896896	52847643607691	1789572743298896896	52847643608985	1789572743298896896	52847643609017	1789572743298896896	52847643609133	0	0	0	0
16	2	0	0	0	1	0	1789572743298897920	52847643612042	1789572743298898944	52847643613744	1789572743298898944	52847643613744	1789572743298899968	52847643615308	1789572743298899968	52847643615338	1789572743298899968	52847643615454	0	0	0	0
17	2	0	0	0	1	0	1789572743298900992	52847643618079	1789572743298900992	52847643619733	1789572743298900992	52847643619733	1789572743298902016	52847643621304	1789572743298902016	52847643621334	1789572743298902016	52847643621454	0	0	0	0
18	2	0	0	0	1	0	1789572743298904064	52847643626867	1789572743298905088	52847643628628	1789572743298905088	52847643628628	1789572743298905088	52847643630201	1789572743298905088	52847643630231	1789572743298906112	52847643630579	0	0	0	0
19	2	0	0	0	1	0	1789572743298907136	52847643635441	1789572743298908160	52847643636537	1789572743298908160	52847643636537	1789572743298908160	52847643638086	1789572743298908160	52847643638117	1789572743298909184	52847643638235	0	0	0	0
20	2	0	0	0	1	0	1789572743298910208	52847643641065	1789572743298910208	52847643643074	1789572743298910208	52847643643074	1789572743298911232	52847643644643	1789572743298911232	52847643644673	1789572743298911232	52847643644789	0	0	0	0
21	2	0	0	0	1	0	1789572743298912256	52847643647448	1789572743298913280	52847643648713	1789572743298913280	52847643648713	1789572743298913280	52847643650514	1789572743298913280	52847643650545	1789572743298913280	52847643650673	0	0	0	0
22	3	0	0	0	1	0	1789572743298915328	52847643655871	1789572743298916352	52847643657713	1789572743298916352	52847643657713	1789572743298916352	52847643658397	1789572743298916352	52847643658427	1789572743298916352	52847643658543	0	0	0	0
23	3	0	0	0	1	0	1789572743298918400	52847643661916	1789572743298918400	52847643662516	1789572743298918400	52847643662516	1789572743298918400	52847643663476	1789572743298918400	52847643663508	1789572743298918400	52847643663634	0	0	0	0
24	3	0	0	0	1	0	1789572743298920448	52847643666623	1789572743298920448	52847643668589	1789572743298920448	52847643668589	1789572743298921472	52847643669823	1789572743298921472	52847643669853	1789572743298921472	52847643669970	0	0	0	0
25	3	0	0	0	1	0	1789572743298922496	52847643673669	1789572743298923520	52847643674444	1789572743298923520	52847643674444	1789572743298923520	52847643675649	1789572743298923520	52847643675679	1789572743298923520	52847643675810	0	0	0	0
26	3	0	0	0	1	0	1789572743298924544	52847643679047	1789572743298925568	52847643680312	1789572743298925568	52847643680312	1789572743298925568	52847643681254	1789572743298925568	52847643681284	1789572743298925568	52847643681400	0	0	0	0
27	3	0	0	0	1	0	1789572743298926592	52847643684310	1789572743298927616	52847643686824	1789572743298927616	52847643686824	1789572743298928640	52847643688045	1789572743298928640	52847643688075	1789572743298928640	52847643688191	0	0	0	0
28	3	0	0	0	1	0	1789572743298929664	52847643691147	1789572743298930688	52847643692599	1789572743298930688	52847643692599	1789572743298930688	52847643693554	1789572743298930688	52847643693584	1789572743298930688	52847643693700	0	0	0	0
29	3	0	0	0	1	0	1789572743298931712	52847643696895	1789572743298931712	52847643697487	1789572743298931712	52847643697487	1789572743298932736	52847643698449	1789572743298932736	52847643698479	1789572743298932736	52847643698598	0	0	0	0
30	5	0	0	0	1	0	1789572743298939904	52847643716519	1789572743298940928	52847643718564	1789572743298940928	52847643718564	1789572743298962432	52847643772666	1789572743298962432	52847643772696	1789572743298962432	52847643772813	0	0	0	0
31	5	0	0	0	1	0	1789572743298963456	52847643775613	1789572743298964480	52847643777827	1789572743298964480	52847643777827	1789572743298984960	52847643829011	1789572743298984960	52847643829042	1789572743298984960	52847643829160	0	0	0	0
32	5	0	0	0	1	0	1789572743298985984	52847643831863	1789572743298987008	52847643834017	1789572743298987008	52847643834017	1789572743299007488	52847643885696	1789572743299007488	52847643885727	1789572743299007488	52847643885844	0	0	0	0
33	5	0	0	0	1	0	1789572743299008512	52847643888880	1789572743299009536	52847643890206	1789572743299009536	52847643890206	1789572743299030016	52847643943721	1789572743299030016	52847643943751	1789572743299030016	52847643943867	0	0	0	0
34	5	0	0	0	1	0	1789572743299032064	52847643946715	1789572743299032064	52847643948896	1789572743299032064	52847643948896	1789572743299053568	52847644000717	1789572743299053568	52847644000748	1789572743299053568	52847644000870	0	0	0	0
35	5	0	0	0	1	0	1789572743299054592	52847644005081	1789572743299055616	52847644006854	1789572743299055616	52847644006854	1789572743299076096	52847644057758	1789572743299076096	52847644057790	1789572743299076096	52847644057912	0	0	0	0
36	5	0	0	0	1	0	1789572743299077120	52847644061159	1789572743299078144	52847644063530	1789572743299078144	52847644063530	1789572743299098624	52847644115663	1789572743299098624	52847644115705	1789572743299098624	52847644115832	0	0	0	0
37	5	0	0	0	1	0	1789572743299099648	52847644118522	1789572743299100672	52847644120162	1789572743299100672	52847644120162	1789572743299121152	52847644172476	1789572743299121152	52847644172506	1789572743299121152	52847644172622	0	0	0	0
38	5	0	0	0	1	0	1789572743299122176	52847644175083	1789572743299123200	52847644177536	1789572743299123200	52847644177536	1789572743299144704	52847644230377	1789572743299144704	52847644230407	1789572743299144704	52847644230524	0	0	0	0
39	5	0	0	0	1	0	1789572743299145728	52847644233482	1789572743299146752	52847644235754	1789572743299146752	52847644235754	1789572743299168256	52847644289420	1789572743299168256	52847644289450	1789572743299168256	52847644289566	0	0	0	0
40	5	0	0	0	1	0	1789572743299169280	52847644292471	1789572743299170304	52847644295170	1789572743299170304	52847644295170	1789572743299190784	52847644347428	1789572743299190784	52847644347458	1789572743299190784	52847644347582	0	0	0	0
41	5	0	0	0	1	0	1789572743299192832	52847644350538	1789572743299192832	52847644352407	1789572743299192832	52847644352407	1789572743299215360	52847644407295	1789572743299215360	52847644407326	1789572743299215360	52847644407443	0	0	0	0
