stage	logical_stage	combine	task_ns	count
0	0	0	2144	2048
1	1	0	5848	2048
2	2	0	5536	2048
3	3	0	6056	2048
4	4	0	1126	8192
5	5	0	1024	8192
6	6	0	684	8192
7	7	0	774	8192
8	8	0	19156	8192
9	9	0	14216	2048
10	10	0	2048	2048
11	11	0	6522	4096
12	12	0	6110	4096
13	13	0	3072	2048
14	14	0	15400	2048
15	15	0	2048	2048
16	16	0	5772	2048
17	17	0	5592	2048
18	18	0	5772	2048
19	19	0	1094	8192
20	20	0	1030	8192
21	21	0	762	8192
22	22	0	820	8192
23	23	0	19274	8192
24	24	0	14784	2048
25	25	0	2048	2048
26	26	0	6550	4096
27	27	0	6332	4096
28	28	0	3072	2048
29	29	0	15144	2048
30	30	0	2048	2048
31	31	0	6244	2048
32	32	0	5772	2048
33	33	0	5772	2048
34	34	0	1152	8192
35	35	0	1020	8192
36	36	0	692	8192
37	37	0	824	8192
38	38	0	19322	8192
39	39	0	14208	2048
40	40	0	2048	2048
41	41	0	6352	4096
42	42	0	6474	4096
43	43	0	3072	2048
44	44	0	14832	2048
45	45	0	2048	2048
46	46	0	5536	2048
47	47	0	5772	2048
48	48	0	6244	2048
49	49	0	1106	8192
50	50	0	1020	8192
51	51	0	710	8192
52	52	0	822	8192
53	53	0	19110	8192
54	54	0	13932	2048
55	55	0	2048	2048
56	56	0	6508	4096
57	57	0	6522	4096
58	58	0	3072	2048
59	59	0	15068	2048
