slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789821436786466816	7636644814669	1789821436786467840	7636644816702	1789821436786467840	7636644816702	1789821436786468864	7636644820242	1789821436786468864	7636644821080	1789821436786468864	7636644821197	0	0	0	0	262	1
1	0	32	16	16	1	1536	1789821436786470912	7636644826078	1789821436786471936	7636644829503	1789821436786471936	7636644830133	1789821436786480128	7636644850277	1789821436786480128	7636644852340	1789821436786481152	7636644852531	7636644830182	7636644850177	10867	32	991	0
2	2	0	0	0	1	0	1789821436786484224	7636644861232	1789821436786485248	7636644863868	1789821436786485248	7636644863868	1789821436786485248	7636644865549	1789821436786485248	7636644865583	1789821436786485248	7636644866003	0	0	0	0	1128	0
3	2	0	0	0	1	0	1789821436786487296	7636644872078	1789821436786488320	7636644874601	1789821436786488320	7636644874601	1789821436786489344	7636644876486	1789821436786489344	7636644876517	1789821436786489344	7636644876636	0	0	0	0	951	0
4	3	0	0	0	1	0	1789821436786491392	7636644882536	1789821436786492416	7636644885211	1789821436786492416	7636644885211	1789821436786493440	7636644886510	1789821436786493440	7636644886558	1789821436786493440	7636644886676	0	0	0	0	431	0
5	5	0	0	0	1	0	1789821436786497536	7636644899846	1789821436786498560	7636644902888	1789821436786498560	7636644902888	1789821436786522112	7636644967494	1789821436786522112	7636644967524	1789821436786522112	7636644967645	0	0	0	0	1044	0
6	0	32	16	16	1	1536	1789821436786527232	7636644979881	1789821436786529280	7636644987744	1789821436786530304	7636644988370	1789821436786538496	7636645012796	1789821436786539520	7636645016258	1789821436786540544	7636645016376	7636644988614	7636645012698	11587	32	5147	0
7	1	0	0	0	1	0	1789821436786542592	7636645023777	1789821436786543616	7636645027574	1789821436786543616	7636645027574	1789821436786544640	7636645029783	1789821436786545664	7636645030886	1789821436786545664	7636645031011	0	0	0	0	542	1
8	0	32	16	16	1	1536	1789821436786547712	7636645036532	1789821436786548736	7636645040157	1789821436786548736	7636645040812	1789821436786557952	7636645064818	1789821436786558976	7636645067352	1789821436786558976	7636645067470	7636645041101	7636645064651	11653	32	1098	0
9	4	0	0	0	1	0	1789821436786563072	7636645079037	1789821436786564096	7636645081523	1789821436786564096	7636645081523	1789821436786566144	7636645088291	1789821436786566144	7636645088322	1789821436786566144	7636645088440	0	0	0	0	366	0
