slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
0	1	0	0	0	1	0	1789821321546490880	7535653355086	1789821321546490880	7535653356269	1789821321546490880	7535653356269	1789821321546491904	7535653358875	1789821321546492928	7535653360731	1789821321546492928	7535653360854	0	0	0	0
1	0	32	16	16	1	1536	1789821321546494976	7535653366052	1789821321546494976	7535653368404	1789821321546496000	7535653369092	1789821321546504192	7535653391312	1789821321546504192	7535653393524	1789821321546505216	7535653393820	7535653369103	7535653391151	10995	32
2	2	0	0	0	1	0	1789821321546507264	7535653401381	1789821321546508288	7535653402809	1789821321546508288	7535653402809	1789821321546508288	7535653404796	1789821321546508288	7535653404829	1789821321546509312	7535653404947	0	0	0	0
3	2	0	0	0	1	0	1789821321546511360	7535653410687	1789821321546511360	7535653412159	1789821321546511360	7535653412159	1789821321546512384	7535653413798	1789821321546512384	7535653413838	1789821321546512384	7535653413962	0	0	0	0
4	3	0	0	0	1	0	1789821321546514432	7535653419851	1789821321546514432	7535653421450	1789821321546514432	7535653421450	1789821321546515456	7535653422698	1789821321546515456	7535653422730	1789821321546515456	7535653422853	0	0	0	0
5	5	0	0	0	1	0	1789821321546520576	7535653437810	1789821321546521600	7535653439732	1789821321546521600	7535653439732	1789821321546544128	7535653502833	1789821321546544128	7535653502864	1789821321546544128	7535653502984	0	0	0	0
6	0	32	16	16	1	1536	1789821321546549248	7535653517278	1789821321546550272	7535653519103	1789821321546550272	7535653519814	1789821321546559488	7535653544828	1789821321546560512	7535653548247	1789821321546560512	7535653548372	7535653519848	7535653544731	16901	32
7	1	0	0	0	1	0	1789821321546563584	7535653555505	1789821321546563584	7535653556832	1789821321546563584	7535653556832	1789821321546564608	7535653559653	1789821321546565632	7535653561143	1789821321546565632	7535653561268	0	0	0	0
8	0	32	16	16	1	1536	1789821321546567680	7535653568138	1789821321546568704	7535653570478	1789821321546568704	7535653571123	1789821321546576896	7535653593045	1789821321546577920	7535653595474	1789821321546577920	7535653595638	7535653571134	7535653592903	10907	32
9	4	0	0	0	1	0	1789821321546582016	7535653608361	1789821321546583040	7535653610309	1789821321546583040	7535653610309	1789821321546585088	7535653616855	1789821321546585088	7535653616885	1789821321546586112	7535653617003	0	0	0	0
