m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_sum_ns	register_seed	key
32	16	16	2	1	1	1	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	88	32x16x16s2k1_k1_r1
32	16	16	2	1	1	2	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	88	32x16x16s2k1_k1_r2
32	16	16	2	1	1	5	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	88	32x16x16s2k1_k1_r5
32	16	16	2	1	2	1	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	88	32x16x16s2k1_k2_r1
32	16	16	2	1	2	2	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	88	32x16x16s2k1_k2_r2
32	16	16	2	1	2	5	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	88	32x16x16s2k1_k2_r5
32	16	16	2	1	4	1	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	88	32x16x16s2k1_k4_r1
32	16	16	2	1	4	2	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	88	32x16x16s2k1_k4_r2
32	16	16	2	1	4	5	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	88	32x16x16s2k1_k4_r5
32	16	32	2	1	1	1	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	88	32x16x32s2k1_k1_r1
32	16	32	2	1	1	2	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	88	32x16x32s2k1_k1_r2
32	16	32	2	1	1	5	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	88	32x16x32s2k1_k1_r5
32	16	32	2	1	2	1	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	88	32x16x32s2k1_k2_r1
32	16	32	2	1	2	2	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	88	32x16x32s2k1_k2_r2
32	16	32	2	1	2	5	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	88	32x16x32s2k1_k2_r5
32	16	32	2	1	4	1	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	88	32x16x32s2k1_k4_r1
32	16	32	2	1	4	2	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	88	32x16x32s2k1_k4_r2
32	16	32	2	1	4	5	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	88	32x16x32s2k1_k4_r5
32	16	64	2	1	1	1	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	0	32x16x64s2k1_k1_r1
32	16	64	2	1	1	2	project	254.20024242424242	0.0	180124.000001	5369728.0	180124.0	0	32x16x64s2k1_k1_r2
32	16	64	2	1	2	1	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	0	32x16x64s2k1_k2_r1
32	16	64	2	1	2	2	project	254.20024242424242	0.0	180124.000002	5369728.0	180124.0	0	32x16x64s2k1_k2_r2
32	16	64	2	1	4	1	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	0	32x16x64s2k1_k4_r1
32	16	64	2	1	4	2	project	254.20024242424242	0.0	180124.000004	5369728.0	180124.0	0	32x16x64s2k1_k4_r2
128	128	16	3	1	1	1	project	254.20024242424242	0.0	693632.000001	3761152.0	693632.0	220	128x128x16s3k1_k1_r1
128	128	16	3	1	1	2	project	254.20024242424242	0.0	693632.000001	3761152.0	693632.0	220	128x128x16s3k1_k1_r2
128	128	16	3	1	2	1	project	254.20024242424242	0.0	693632.000002	3761152.0	693632.0	220	128x128x16s3k1_k2_r1
128	128	16	3	1	2	2	project	254.20024242424242	0.0	693632.000002	3761152.0	693632.0	220	128x128x16s3k1_k2_r2
128	128	16	3	1	4	1	project	254.20024242424242	0.0	693632.000004	3761152.0	693632.0	220	128x128x16s3k1_k4_r1
128	128	16	3	1	4	2	project	254.20024242424242	0.0	693632.000004	3761152.0	693632.0	220	128x128x16s3k1_k4_r2
