config	nodes	split	tile_m	tile_n	tile_k	operand_bytes	load_mean_ns	load_p50_ns	load_mean_cycles	cp_load_share	cp_total_ns
32x128x64s2k16_k1_r2	21504	16	32	128	64	20480	2951.3809523809523	3072.0	7369.499860491072	0.07740585774058577	978944
32x128x64s2k1_k1_r2	1344	1	32	128	64	20480	3334.095238095238	3072.0	8262.421130952382	0.010402024177677818	3642368
