k	points	spearman	actual_top1_rank	reference_max_batch_us	real_max_batch_us	simulated_calibration_points
1	18	0.6388028895768834	1	130423.51	135914.176	9
2	18	0.8513931888544891	1	264432.114	264140.262	10
3	18	0.8348813209494325	1	535620.932	403279.352	12
4	18	0.8802889576883385	1	530402.513	674077.949	17
5	18	0.8802889576883385	1	646983.419	683941.622	18
