model	seq	arm	cp_corrected_ns	cp_corrected_nodes	queue_lb_ns	measured_l2_ms	cp_corrected_path
gqa2	4	control	228352	20	38912	0.269312	0:0,2:0,5:0,6:0,8:0,9:0,10:0,11:0,13:0,14:0,15:0,17:0,20:0,21:0,23:9,24:0,25:0,26:0,28:0,29:0
gqa2	4	top3	89088	20	83968	0.128	0:0,2:0,5:0,6:0,8:0,9:9,10:1,11:0,13:0,14:4,15:0,17:0,20:0,21:0,23:0,24:10,25:0,26:0,28:1,29:2
gqa2	128	control	320512	20	143360	0.4144	0:0,2:0,5:0,6:0,8:108,9:0,10:0,11:0,13:0,14:0,15:0,17:0,20:0,21:0,23:117,24:0,25:0,26:0,28:0,29:0
gqa2	128	top2	190464	19	168960	0.231424	0:2,1:9,4:331,8:331,9:66,10:75,12:190,13:65,14:68,15:64,17:35,20:0,21:0,23:319,24:84,25:66,27:171,28:64,29:68
mha4	4	control	452608	40	77824	0.52928	0:0,2:1,5:0,6:0,8:0,9:0,10:0,11:1,13:0,14:0,15:0,17:0,20:0,21:0,23:0,24:0,25:0,26:0,28:0,29:0,30:0,32:0,35:0,36:0,38:0,39:0,40:0,41:0,43:0,44:0,45:0,47:0,50:0,51:0,53:0,54:0,55:0,56:0,58:0,59:0
mha4	4	top3	185344	40	167936	0.252768	0:0,2:8,5:0,6:0,8:2,9:5,10:2,11:5,13:0,14:4,15:2,17:4,20:0,21:0,23:3,24:0,25:0,26:13,28:3,29:0,30:3,32:4,35:0,36:0,38:0,39:0,40:3,41:6,43:0,44:6,45:2,47:0,50:0,51:0,53:2,54:0,55:0,56:0,58:0,59:1
mha4	128	control	645120	40	275456	0.84864	0:0,2:0,5:0,6:0,8:100,9:0,10:19,11:0,13:0,14:0,15:0,17:0,20:0,21:0,23:126,24:2,25:0,26:0,28:0,29:0,30:0,32:0,35:0,36:0,38:101,39:1,40:16,41:0,43:0,44:0,45:0,47:0,50:0,51:0,53:119,54:3,55:0,56:0,58:0,59:0
mha4	128	top3	393216	40	364544	0.48512	0:72,2:78,5:0,6:0,8:251,9:33,10:32,11:116,13:33,14:36,15:32,17:33,20:6,21:6,23:319,24:78,25:67,27:151,28:64,29:66,30:67,32:81,35:1,36:1,38:309,39:71,40:64,41:188,43:67,44:69,45:64,47:65,50:4,51:4,53:335,54:69,55:64,56:149,58:64,59:65
