block	smid	globaltimer_ns	clock64	delta_from_min_ns
0	0	1789192902839479296	1938654082528	0
1	2	1789192902839479296	1939700436420	0
2	4	1789192902839479296	1939235898544	0
3	6	1789192902839479296	1939227604806	0
4	8	1789192902839479296	1939823600066	0
5	10	1789192902839479296	1937024653254	0
6	12	1789192902839479296	1938687705004	0
7	14	1789192902839479296	1939258817060	0
8	16	1789192902839479296	1936279086387	0
9	18	1789192902839479296	1938575985061	0
10	20	1789192902839479296	1939461206508	0
11	22	1789192902839479296	1938654082517	0
12	24	1789192902839479296	1939700436395	0
13	26	1789192902839479296	1939235898547	0
14	28	1789192902839479296	1939227604827	0
15	30	1789192902839479296	1939823599721	0
16	32	1789192902839479296	1937024653256	0
17	34	1789192902839479296	1938687705000	0
18	36	1789192902839479296	1939258817062	0
19	38	1789192902839479296	1936279086300	0
20	40	1789192902839479296	1938575984936	0
21	42	1789192902839479296	1939461206327	0
22	44	1789192902839479296	1938654082510	0
23	46	1789192902839479296	1939700436622	0
24	48	1789192902839479296	1939235898335	0
25	50	1789192902839479296	1939227604709	0
26	52	1789192902839479296	1939823599868	0
27	54	1789192902839479296	1937024653478	0
28	56	1789192902839479296	1938687705241	0
29	58	1789192902839479296	1939258817281	0
30	60	1789192902839479296	1936279086196	0
31	62	1789192902839479296	1938575985126	0
32	64	1789192902839479296	1939461206563	0
33	66	1789192902839479296	1938654082527	0
34	68	1789192902839479296	1939700436399	0
35	70	1789192902839479296	1939235898550	0
36	72	1789192902839479296	1939227604826	0
37	74	1789192902839479296	1939823600079	0
38	76	1789192902839479296	1937024653258	0
39	78	1789192902839479296	1938687705004	0
40	80	1789192902839479296	1939258817064	0
41	82	1789192902839479296	1936279086398	0
42	84	1789192902839479296	1938575984975	0
43	86	1789192902839479296	1939461206426	0
44	88	1789192902839479296	1938654082514	0
45	90	1789192902839479296	1939700436722	0
46	92	1789192902839479296	1939235898461	0
47	94	1789192902839479296	1939227604728	0
48	96	1789192902839479296	1939823599984	0
49	98	1789192902839479296	1937024653574	0
50	100	1789192902839479296	1938687704965	0
51	102	1789192902839479296	1939258817376	0
52	104	1789192902839479296	1936279086320	0
53	106	1789192902839479296	1938575984935	0
54	108	1789192902839479296	1939461206353	0
55	110	1789192902839479296	1938654082511	0
56	112	1789192902839479296	1939700436632	0
57	114	1789192902839479296	1939235898349	0
58	116	1789192902839479296	1939227604708	0
59	118	1789192902839479296	1939823599897	0
60	120	1789192902839479296	1937024653485	0
61	122	1789192902839479296	1938687705252	0
62	124	1789192902839479296	1939258817288	0
63	126	1789192902839479296	1936279086216	0
64	1	1789192902839479296	1938654082521	0
65	3	1789192902839479296	1939700436391	0
66	5	1789192902839479296	1939235898224	0
67	7	1789192902839479296	1939227604893	0
68	9	1789192902839479296	1939823599744	0
69	11	1789192902839479296	1937024653271	0
70	13	1789192902839479296	1938687705016	0
71	15	1789192902839479296	1939258817078	0
72	17	1789192902839479296	1936279086441	0
73	19	1789192902839479296	1938575985124	0
74	21	1789192902839479296	1939461206178	0
75	23	1789192902839479296	1938654082515	0
76	25	1789192902839479296	1939700436412	0
77	27	1789192902839479296	1939235898227	0
78	29	1789192902839479296	1939227604912	0
79	31	1789192902839479296	1939823599746	0
80	33	1789192902839479296	1937024653269	0
81	35	1789192902839479296	1938687705011	0
82	37	1789192902839479296	1939258817076	0
83	39	1789192902839479296	1936279086383	0
84	41	1789192902839479296	1938575984972	0
85	43	1789192902839479296	1939461206423	0
86	45	1789192902839479296	1938654082510	0
87	47	1789192902839479296	1939700436358	0
88	49	1789192902839479296	1939235898458	0
89	51	1789192902839479296	1939227604725	0
90	53	1789192902839479296	1939823599977	0
91	55	1789192902839479296	1937024653216	0
92	57	1789192902839479296	1938687704965	0
93	59	1789192902839479296	1939258817022	0
94	61	1789192902839479296	1936279086312	0
95	63	1789192902839479296	1938575985046	0
96	65	1789192902839479296	1939461206502	0
97	67	1789192902839479296	1938654082520	0
98	69	1789192902839479296	1939700436416	0
99	71	1789192902839479296	1939235898228	0
100	73	1789192902839479296	1939227604907	0
101	75	1789192902839479296	1939823599748	0
102	77	1789192902839479296	1937024653272	0
103	79	1789192902839479296	1938687705018	0
104	81	1789192902839479296	1939258817080	0
105	83	1789192902839479296	1936279086458	0
106	85	1789192902839479296	1938575985070	0
107	87	1789192902839479296	1939461206507	0
108	89	1789192902839479296	1938654082511	0
109	91	1789192902839479296	1939700436394	0
110	93	1789192902839479296	1939235898548	0
111	95	1789192902839479296	1939227604836	0
112	97	1789192902839479296	1939823599722	0
113	99	1789192902839479296	1937024653255	0
114	101	1789192902839479296	1938687704999	0
115	103	1789192902839479296	1939258817061	0
116	105	1789192902839479296	1936279086394	0
117	107	1789192902839479296	1938575984981	0
118	109	1789192902839479296	1939461206431	0
119	111	1789192902839479296	1938654082510	0
120	113	1789192902839479296	1939700436361	0
121	115	1789192902839479296	1939235898463	0
122	117	1789192902839479296	1939227604726	0
123	119	1789192902839479296	1939823599991	0
124	121	1789192902839479296	1937024653219	0
125	123	1789192902839479296	1938687704969	0
126	125	1789192902839479296	1939258817025	0
127	127	1789192902839479296	1936279086111	0
