block	smid	anchors	ns_per_cycle	implied_mhz	clk0	t0_ns	residual_rms_ns	residual_max_ns
0	0	256	0.396814283	2520.071	1939032778822	1789192903089406976	300.8	525.2
1	2	256	0.396820823	2520.029	1940079136828	1789192903089406976	294.6	511.8
2	4	256	0.396823873	2520.010	1939614598152	1789192903089406976	295.6	516.0
3	6	256	0.396826720	2519.992	1939606297203	1789192903089406976	299.1	520.0
4	8	256	0.396821018	2520.028	1940202290402	1789192903089406976	293.7	532.3
5	10	256	0.396820039	2520.034	1937403352741	1789192903089406976	293.7	516.2
6	12	256	0.396823240	2520.014	1939066405149	1789192903089406976	297.3	518.8
7	14	256	0.396821293	2520.026	1939637505070	1789192903089406976	295.2	511.1
8	16	256	0.396826500	2519.993	1936657779019	1789192903089406976	298.2	519.8
9	18	256	0.396830673	2519.966	1938954676348	1789192903089406976	300.5	518.4
10	20	256	0.396829111	2519.976	1939839904932	1789192903089406976	296.6	525.7
11	22	256	0.396820715	2520.030	1939032779079	1789192903089406976	296.6	515.7
12	24	256	0.396818030	2520.047	1940079136833	1789192903089406976	294.6	512.4
13	26	256	0.396838655	2519.916	1939614598143	1789192903089406976	297.7	544.8
14	28	256	0.396821543	2520.024	1939606297434	1789192903089406976	295.2	520.1
15	30	256	0.396822623	2520.018	1940202290391	1789192903089406976	295.9	506.9
16	32	256	0.396833610	2519.948	1937403352744	1789192903089406976	294.0	555.4
17	34	256	0.396831026	2519.964	1939066405146	1789192903089406976	296.9	515.9
18	36	256	0.396825732	2519.998	1939637505310	1789192903089406976	296.0	512.5
19	38	256	0.396819813	2520.035	1936657779001	1789192903089406976	296.6	515.8
20	40	256	0.396826555	2519.993	1938954676323	1789192903089406976	296.5	505.9
21	42	256	0.396826740	2519.991	1939839904893	1789192903089406976	294.2	522.3
22	44	256	0.396826358	2519.994	1939032779028	1789192903089406976	293.3	516.5
23	46	256	0.396818835	2520.042	1940079137125	1789192903089406976	298.6	519.5
24	48	256	0.396828496	2519.980	1939614598076	1789192903089406976	298.8	508.3
25	50	256	0.396820549	2520.031	1939606297402	1789192903089406976	296.6	507.4
26	52	256	0.396830280	2519.969	1940202290324	1789192903089406976	293.8	522.0
27	54	256	0.396822143	2520.021	1937403353031	1789192903089406976	298.6	516.9
28	56	256	0.396828871	2519.978	1939066405071	1789192903089406976	296.8	511.4
29	58	256	0.396824736	2520.004	1939637505260	1789192903089406976	297.5	508.5
30	60	256	0.396826951	2519.990	1936657778965	1789192903089406976	300.4	514.1
31	62	256	0.396833939	2519.946	1938954676371	1789192903089406976	297.4	525.4
32	64	256	0.396817950	2520.047	1939839904958	1789192903089406976	298.8	520.4
33	66	256	0.396824487	2520.006	1939032778799	1789192903089406976	295.5	510.5
34	68	256	0.396824883	2520.003	1940079136838	1789192903089406976	297.5	510.9
35	70	256	0.396818198	2520.046	1939614598161	1789192903089406976	297.3	516.4
36	72	256	0.396828942	2519.977	1939606297509	1789192903089406976	296.1	519.0
37	74	256	0.396830989	2519.964	1940202290411	1789192903089406976	290.5	522.5
38	76	256	0.396823662	2520.011	1937403352758	1789192903089406976	296.1	517.3
39	78	256	0.396837333	2519.924	1939066404804	1789192903089406976	297.2	533.6
40	80	256	0.396824975	2520.003	1939637505040	1789192903089406976	294.4	515.3
41	82	256	0.396824245	2520.007	1936657779021	1789192903089406976	296.7	520.1
42	84	256	0.396826837	2519.991	1938954676352	1789192903089406976	296.6	503.7
43	86	256	0.396814781	2520.067	1939839904939	1789192903089406976	290.8	548.6
44	88	256	0.396816116	2520.059	1939032779084	1789192903089406976	295.3	525.1
45	90	256	0.396819293	2520.039	1940079136843	1789192903089406976	298.6	540.4
46	92	256	0.396829906	2519.971	1939614598152	1789192903089406976	296.5	508.3
47	94	256	0.396822200	2520.020	1939606297440	1789192903089406976	300.2	520.2
48	96	256	0.396825294	2520.001	1940202290056	1789192903089406976	293.2	525.4
49	98	256	0.396818264	2520.045	1937403352750	1789192903089406976	296.9	525.3
50	100	256	0.396821273	2520.026	1939066404807	1789192903089406976	296.2	521.8
51	102	256	0.396823698	2520.011	1939637505315	1789192903089406976	298.6	510.7
52	104	256	0.396826036	2519.996	1936657779005	1789192903089406976	294.6	509.7
53	106	256	0.396819665	2520.036	1938954676322	1789192903089406976	297.6	519.7
54	108	256	0.396826784	2519.991	1939839904892	1789192903089406976	296.0	520.8
55	110	256	0.396828244	2519.982	1939032779030	1789192903089406976	302.2	519.4
56	112	256	0.396828380	2519.981	1940079137129	1789192903089406976	296.2	522.1
57	114	256	0.396821907	2520.022	1939614598080	1789192903089406976	297.9	512.7
58	116	256	0.396822332	2520.019	1939606297405	1789192903089406976	295.6	538.8
59	118	256	0.396827917	2519.984	1940202290331	1789192903089406976	290.5	526.7
60	120	256	0.396821338	2520.026	1937403353030	1789192903089406976	293.4	510.3
61	122	256	0.396828514	2519.980	1939066405078	1789192903089406976	295.8	517.1
62	124	256	0.396817311	2520.051	1939637505263	1789192903089406976	299.5	515.1
63	126	256	0.396816644	2520.056	1936657778995	1789192903089406976	298.7	532.8
64	1	256	0.396828044	2519.983	1939032778772	1789192903089406976	297.1	513.3
65	3	256	0.396821352	2520.026	1940079136865	1789192903089406976	292.2	523.2
66	5	256	0.396831370	2519.962	1939614597842	1789192903089406976	297.8	525.6
67	7	256	0.396833105	2519.951	1939606297479	1789192903089406976	296.5	518.8
68	9	256	0.396822302	2520.020	1940202290090	1789192903089406976	295.0	515.5
69	11	256	0.396826989	2519.990	1937403352780	1789192903089406976	295.3	521.0
70	13	256	0.396826819	2519.991	1939066404834	1789192903089406976	296.8	539.4
71	15	256	0.396821811	2520.023	1939637505354	1789192903089406976	288.8	525.2
72	17	256	0.396828833	2519.978	1936657779031	1789192903089406976	293.9	503.4
73	19	256	0.396835031	2519.939	1938954676355	1789192903089406976	293.1	530.6
74	21	256	0.396823226	2520.014	1939839904956	1789192903089406976	295.1	519.9
75	23	256	0.396825985	2519.996	1939032778777	1789192903089406976	299.1	521.1
76	25	256	0.396824609	2520.005	1940079136863	1789192903089406976	295.3	520.2
77	27	256	0.396827835	2519.985	1939614597829	1789192903089406976	294.9	521.0
78	29	256	0.396826992	2519.990	1939606297470	1789192903089406976	299.4	521.4
79	31	256	0.396828823	2519.978	1940202290083	1789192903089406976	295.0	516.2
80	33	256	0.396824652	2520.005	1937403352775	1789192903089406976	297.5	518.2
81	35	256	0.396820924	2520.028	1939066404840	1789192903089406976	296.7	525.2
82	37	256	0.396819719	2520.036	1939637505348	1789192903089406976	297.8	522.9
83	39	256	0.396826508	2519.993	1936657779030	1789192903089406976	297.0	514.3
84	41	256	0.396829670	2519.973	1938954676315	1789192903089406976	296.8	526.3
85	43	256	0.396825553	2519.999	1939839904895	1789192903089406976	296.2	505.9
86	45	256	0.396822440	2520.019	1939032779046	1789192903089406976	300.1	509.4
87	47	256	0.396826473	2519.993	1940079136814	1789192903089406976	296.9	516.4
88	49	256	0.396830580	2519.967	1939614598112	1789192903089406976	299.8	524.3
89	51	256	0.396828733	2519.979	1939606297407	1789192903089406976	297.9	534.2
90	53	256	0.396827072	2519.989	1940202290363	1789192903089406976	297.3	512.9
91	55	256	0.396828362	2519.981	1937403352729	1789192903089406976	294.3	512.8
92	57	256	0.396823996	2520.009	1939066405110	1789192903089406976	298.9	533.1
93	59	256	0.396828839	2519.978	1939637505275	1789192903089406976	293.3	516.7
94	61	256	0.396827758	2519.985	1936657778962	1789192903089406976	295.7	528.6
95	63	256	0.396832675	2519.954	1938954676361	1789192903089406976	296.4	508.1
96	65	256	0.396824882	2520.003	1939839904967	1789192903089406976	297.6	509.4
97	67	256	0.396816963	2520.054	1939032778808	1789192903089406976	294.8	519.9
98	69	256	0.396821870	2520.022	1940079136869	1789192903089406976	298.5	527.8
99	71	256	0.396819515	2520.037	1939614597844	1789192903089406976	296.3	520.3
100	73	256	0.396820645	2520.030	1939606297191	1789192903089406976	303.1	513.1
101	75	256	0.396833531	2519.948	1940202290099	1789192903089406976	294.7	526.1
102	77	256	0.396830915	2519.965	1937403352783	1789192903089406976	300.5	522.4
103	79	256	0.396837344	2519.924	1939066404848	1789192903089406976	297.5	539.0
104	81	256	0.396828748	2519.979	1939637505057	1789192903089406976	299.7	513.4
105	83	256	0.396828659	2519.979	1936657779043	1789192903089406976	293.2	512.3
106	85	256	0.396830241	2519.969	1938954676354	1789192903089406976	302.0	512.6
107	87	256	0.396827636	2519.986	1939839904955	1789192903089406976	295.5	525.9
108	89	256	0.396826942	2519.990	1939032778776	1789192903089406976	297.7	513.1
109	91	256	0.396824552	2520.005	1940079136862	1789192903089406976	295.2	522.7
110	93	256	0.396830685	2519.966	1939614597834	1789192903089406976	295.4	526.7
111	95	256	0.396834847	2519.940	1939606297474	1789192903089406976	296.6	524.3
112	97	256	0.396823302	2520.013	1940202290094	1789192903089406976	294.4	524.1
113	99	256	0.396821242	2520.026	1937403352398	1789192903089406976	294.5	516.7
114	101	256	0.396832900	2519.952	1939066404844	1789192903089406976	298.0	531.3
115	103	256	0.396826951	2519.990	1939637505351	1789192903089406976	298.1	515.6
116	105	256	0.396823384	2520.013	1936657779033	1789192903089406976	294.1	527.3
117	107	256	0.396823180	2520.014	1938954676315	1789192903089406976	296.8	513.3
118	109	256	0.396826461	2519.993	1939839904907	1789192903089406976	297.8	514.6
119	111	256	0.396822949	2520.016	1939032779056	1789192903089406976	296.7	512.5
120	113	256	0.396825650	2519.998	1940079136819	1789192903089406976	298.0	515.0
121	115	256	0.396831079	2519.964	1939614598126	1789192903089406976	299.6	525.3
122	117	256	0.396826918	2519.990	1939606297411	1789192903089406976	298.0	528.0
123	119	256	0.396821511	2520.025	1940202290376	1789192903089406976	296.9	519.7
124	121	256	0.396832077	2519.958	1937403352734	1789192903089406976	296.3	524.1
125	123	256	0.396818876	2520.041	1939066405121	1789192903089406976	303.8	530.0
126	125	256	0.396824735	2520.004	1939637505282	1789192903089406976	296.8	514.4
127	127	256	0.396828279	2519.982	1936657778959	1789192903089406976	294.8	525.4
