workers=340
worker	slot	stage	logical_task
0	0	0	0
0	1	6	4
0	2	11	8
0	3	15	28
0	4	17	48
0	5	20	36
0	6	23	104
0	7	32	12
0	8	34	96
0	9	37	244
0	10	40	8
1	0	0	1
1	1	6	5
1	2	11	9
1	3	15	29
1	4	17	49
1	5	20	37
1	6	23	105
1	7	32	13
1	8	34	97
1	9	37	245
1	10	40	9
2	0	0	2
2	1	6	6
2	2	11	10
2	3	15	30
2	4	17	50
2	5	20	38
2	6	23	106
2	7	32	14
2	8	34	98
2	9	37	246
2	10	40	10
3	0	0	3
3	1	6	7
3	2	11	11
3	3	15	31
3	4	17	51
3	5	20	39
3	6	23	107
3	7	32	15
3	8	34	99
3	9	37	247
3	10	40	11
4	0	0	4
4	1	6	8
4	2	11	12
4	3	15	32
4	4	17	52
4	5	20	40
4	6	23	108
4	7	32	16
4	8	34	100
4	9	37	248
4	10	40	12
5	0	0	5
5	1	6	9
5	2	11	13
5	3	15	33
5	4	17	53
5	5	20	41
5	6	23	109
5	7	32	17
5	8	34	101
5	9	37	249
5	10	40	13
6	0	0	6
6	1	6	10
6	2	11	14
6	3	15	34
6	4	17	54
6	5	20	42
6	6	23	110
6	7	32	18
6	8	34	102
6	9	37	250
6	10	40	14
7	0	0	7
7	1	6	11
7	2	11	15
7	3	15	35
7	4	17	55
7	5	20	43
7	6	23	111
7	7	32	19
7	8	34	103
7	9	37	251
7	10	40	15
8	0	0	8
8	1	6	12
8	2	11	16
8	3	15	36
8	4	17	56
8	5	20	44
8	6	23	112
8	7	32	20
8	8	34	104
8	9	37	252
8	10	40	16
9	0	0	9
9	1	6	13
9	2	11	17
9	3	15	37
9	4	17	57
9	5	20	45
9	6	23	113
9	7	32	21
9	8	34	105
9	9	37	253
9	10	40	17
10	0	0	10
10	1	6	14
10	2	11	18
10	3	15	38
10	4	17	58
10	5	20	46
10	6	23	114
10	7	32	22
10	8	34	106
10	9	37	254
10	10	40	18
11	0	0	11
11	1	6	15
11	2	11	19
11	3	15	39
11	4	17	59
11	5	20	47
11	6	23	115
11	7	32	23
11	8	34	107
11	9	37	255
11	10	40	19
12	0	0	12
12	1	8	0
12	2	11	20
12	3	15	40
12	4	17	60
12	5	20	48
12	6	23	116
12	7	32	24
12	8	34	108
12	9	38	0
12	10	40	20
13	0	0	13
13	1	8	1
13	2	11	21
13	3	15	41
13	4	17	61
13	5	20	49
13	6	23	117
13	7	32	25
13	8	34	109
13	9	38	1
13	10	40	21
14	0	0	14
14	1	8	2
14	2	11	22
14	3	15	42
14	4	17	62
14	5	20	50
14	6	23	118
14	7	32	26
14	8	34	110
14	9	38	2
14	10	40	22
15	0	0	15
15	1	8	3
15	2	11	23
15	3	15	43
15	4	17	63
15	5	20	51
15	6	23	119
15	7	32	27
15	8	34	111
15	9	38	3
15	10	40	23
16	0	0	16
16	1	8	4
16	2	11	24
16	3	15	44
16	4	17	64
16	5	20	52
16	6	23	120
16	7	32	28
16	8	34	112
16	9	38	4
16	10	40	24
17	0	0	17
17	1	8	5
17	2	11	25
17	3	15	45
17	4	17	65
17	5	20	53
17	6	23	121
17	7	32	29
17	8	34	113
17	9	38	5
17	10	40	25
18	0	0	18
18	1	8	6
18	2	11	26
18	3	15	46
18	4	17	66
18	5	20	54
18	6	23	122
18	7	32	30
18	8	34	114
18	9	38	6
18	10	40	26
19	0	0	19
19	1	8	7
19	2	11	27
19	3	15	47
19	4	17	67
19	5	20	55
19	6	23	123
19	7	32	31
19	8	34	115
19	9	38	7
19	10	40	27
20	0	0	20
20	1	8	8
20	2	11	28
20	3	15	48
20	4	17	68
20	5	20	56
20	6	23	124
20	7	32	32
20	8	34	116
20	9	38	8
20	10	40	28
21	0	0	21
21	1	8	9
21	2	11	29
21	3	15	49
21	4	17	69
21	5	20	57
21	6	23	125
21	7	32	33
21	8	34	117
21	9	38	9
21	10	40	29
22	0	0	22
22	1	8	10
22	2	11	30
22	3	15	50
22	4	17	70
22	5	20	58
22	6	23	126
22	7	32	34
22	8	34	118
22	9	38	10
22	10	40	30
23	0	0	23
23	1	8	11
23	2	11	31
23	3	15	51
23	4	17	71
23	5	20	59
23	6	23	127
23	7	32	35
23	8	34	119
23	9	38	11
23	10	40	31
24	0	0	24
24	1	8	12
24	2	11	32
24	3	15	52
24	4	17	72
24	5	20	60
24	6	24	0
