workers=256
worker	slot	stage	logical_task
0	0	0	0
0	1	3	160
0	2	1	176
0	3	2	48
0	4	6	16
0	5	7	32
0	6	7	288
0	7	10	160
0	8	11	32
0	9	11	288
0	10	12	160
0	11	13	32
0	12	15	96
0	13	15	352
0	14	15	608
0	15	16	96
0	16	17	160
0	17	17	416
0	18	17	672
0	19	18	160
0	20	20	128
0	21	21	0
0	22	25	64
0	23	23	80
0	24	23	336
0	25	27	112
0	26	30	128
0	27	29	192
0	28	32	64
0	29	31	128
0	30	33	192
0	31	34	64
0	32	34	320
0	33	37	0
0	34	37	256
0	35	37	512
0	36	38	0
0	37	39	64
0	38	39	320
0	39	39	576
0	40	40	64
0	41	42	32
0	42	42	288
1	0	0	1
1	1	3	161
1	2	1	177
1	3	2	49
1	4	6	17
1	5	7	33
1	6	7	289
1	7	10	161
1	8	11	33
1	9	11	289
1	10	12	161
1	11	13	33
1	12	15	97
1	13	15	353
1	14	15	609
1	15	16	97
1	16	17	161
1	17	17	417
1	18	17	673
1	19	18	161
1	20	20	129
1	21	21	1
1	22	25	65
1	23	23	81
1	24	23	337
1	25	27	113
1	26	30	129
1	27	29	193
1	28	32	65
1	29	31	129
1	30	33	193
1	31	34	65
1	32	34	321
1	33	37	1
1	34	37	257
1	35	37	513
1	36	38	1
1	37	39	65
1	38	39	321
1	39	39	577
1	40	40	65
1	41	42	33
1	42	42	289
2	0	0	2
2	1	3	162
2	2	1	178
2	3	2	50
2	4	6	18
2	5	7	34
2	6	7	290
2	7	10	162
2	8	11	34
2	9	11	290
2	10	12	162
2	11	13	34
2	12	15	98
2	13	15	354
2	14	15	610
2	15	16	98
2	16	17	162
2	17	17	418
2	18	17	674
2	19	18	162
2	20	20	130
2	21	21	2
2	22	25	66
2	23	23	82
2	24	23	338
2	25	27	114
2	26	30	130
2	27	29	194
2	28	32	66
2	29	31	130
2	30	33	194
2	31	34	66
2	32	34	322
2	33	37	2
2	34	37	258
2	35	37	514
2	36	38	2
2	37	39	66
2	38	39	322
2	39	39	578
2	40	40	66
2	41	42	34
2	42	42	290
3	0	0	3
3	1	3	163
3	2	1	179
3	3	2	51
3	4	6	19
3	5	7	35
3	6	7	291
3	7	10	163
3	8	11	35
3	9	11	291
3	10	12	163
3	11	13	35
3	12	15	99
3	13	15	355
3	14	15	611
3	15	16	99
3	16	17	163
3	17	17	419
3	18	17	675
3	19	18	163
3	20	20	131
3	21	21	3
3	22	25	67
3	23	23	83
3	24	23	339
3	25	27	115
3	26	30	131
3	27	29	195
3	28	32	67
3	29	31	131
3	30	33	195
3	31	34	67
3	32	34	323
3	33	37	3
3	34	37	259
3	35	37	515
3	36	38	3
3	37	39	67
3	38	39	323
