stage	event_offset	event_flags
0	0	2
1	3	1
2	4	1
3	5	1
4	6	2
5	18	2
6	24	1
7	25	1
8	26	2
9	38	2
10	70	2
11	73	2
12	137	2
13	201	2
14	204	2
15	236	2
16	239	1
17	240	1
18	241	1
19	242	2
20	254	2
21	260	1
22	261	1
23	262	2
24	274	2
25	306	2
26	309	2
27	373	2
28	437	2
29	440	0
