stage	event_offset	event_flags
0	0	2
1	1	1
2	2	1
3	3	1
4	4	2
5	8	2
6	10	1
7	11	1
8	12	2
9	16	2
10	48	2
11	49	2
12	113	2
13	177	2
14	178	2
15	210	2
16	211	1
17	212	1
18	213	1
19	214	2
20	218	2
21	220	1
22	221	1
23	222	2
24	226	2
25	258	2
26	259	2
27	323	2
28	387	2
29	388	0
