worker	slot	stage	logical_task	dependency_begin	dependency_count	wait_begin	wait_count
20	3	14	20	16	2	659	1
20	4	16	4	19	1	660	1
20	5	24	20	29	2	661	4
20	6	26	20	32	1	665	1
20	7	29	20	36	2	666	1
21	0	1	5	0	1	667	1
21	1	9	21	10	1	668	4
21	2	11	21	12	1	672	1
21	3	14	21	16	2	673	1
21	4	16	5	19	1	674	1
21	5	24	21	29	2	675	4
21	6	26	21	32	1	679	1
21	7	29	21	36	2	680	1
22	0	1	6	0	1	681	1
22	1	9	22	10	1	682	4
22	2	11	22	12	1	686	1
22	3	14	22	16	2	687	1
22	4	16	6	19	1	688	1
22	5	24	22	29	2	689	4
22	6	26	22	32	1	693	1
22	7	29	22	36	2	694	1
23	0	1	7	0	1	695	1
23	1	9	23	10	1	696	4
23	2	11	23	12	1	700	1
23	3	14	23	16	2	701	1
23	4	16	7	19	1	702	1
23	5	24	23	29	2	703	4
23	6	26	23	32	1	707	1
23	7	29	23	36	2	708	1
24	0	1	8	0	1	709	1
24	1	9	24	10	1	710	4
24	2	11	24	12	1	714	1
24	3	14	24	16	2	715	1
24	4	16	8	19	1	716	1
24	5	24	24	29	2	717	4
24	6	26	24	32	1	721	1
24	7	29	24	36	2	722	1
25	0	1	9	0	1	723	1
25	1	9	25	10	1	724	4
25	2	11	25	12	1	728	1
25	3	14	25	16	2	729	1
25	4	16	9	19	1	730	1
25	5	24	25	29	2	731	4
25	6	26	25	32	1	735	1
25	7	29	25	36	2	736	1
26	0	1	10	0	1	737	1
26	1	9	26	10	1	738	4
26	2	11	26	12	1	742	1
26	3	14	26	16	2	743	1
26	4	16	10	19	1	744	1
26	5	24	26	29	2	745	4
26	6	26	26	32	1	749	1
26	7	29	26	36	2	750	1
27	0	1	11	0	1	751	1
27	1	9	27	10	1	752	4
27	2	11	27	12	1	756	1
27	3	14	27	16	2	757	1
27	4	16	11	19	1	758	1
27	5	24	27	29	2	759	4
27	6	26	27	32	1	763	1
27	7	29	27	36	2	764	1
28	0	1	12	0	1	765	1
28	1	9	28	10	1	766	4
28	2	11	28	12	1	770	1
28	3	14	28	16	2	771	1
28	4	16	12	19	1	772	1
28	5	24	28	29	2	773	4
28	6	26	28	32	1	777	1
28	7	29	28	36	2	778	1
29	0	1	13	0	1	779	1
29	1	9	29	10	1	780	4
29	2	11	29	12	1	784	1
29	3	14	29	16	2	785	1
29	4	16	13	19	1	786	1
29	5	24	29	29	2	787	4
29	6	26	29	32	1	791	1
29	7	29	29	36	2	792	1
30	0	1	14	0	1	793	1
30	1	9	30	10	1	794	4
30	2	11	30	12	1	798	1
30	3	14	30	16	2	799	1
30	4	16	14	19	1	800	1
30	5	24	30	29	2	801	4
30	6	26	30	32	1	805	1
30	7	29	30	36	2	806	1
31	0	1	15	0	1	807	1
31	1	9	31	10	1	808	4
31	2	11	31	12	1	812	1
31	3	14	31	16	2	813	1
31	4	16	15	19	1	814	1
31	5	24	31	29	2	815	4
31	6	26	31	32	1	819	1
31	7	29	31	36	2	820	1
32	0	1	16	0	1	821	1
32	1	11	32	12	1	822	1
32	2	16	16	19	1	823	1
32	3	26	32	32	1	824	1
33	0	1	17	0	1	825	1
33	1	11	33	12	1	826	1
33	2	16	17	19	1	827	1
33	3	26	33	32	1	828	1
34	0	1	18	0	1	829	1
34	1	11	34	12	1	830	1
34	2	16	18	19	1	831	1
34	3	26	34	32	1	832	1
35	0	1	19	0	1	833	1
35	1	11	35	12	1	834	1
35	2	16	19	19	1	835	1
35	3	26	35	32	1	836	1
36	0	1	20	0	1	837	1
36	1	11	36	12	1	838	1
36	2	16	20	19	1	839	1
36	3	26	36	32	1	840	1
37	0	1	21	0	1	841	1
37	1	11	37	12	1	842	1
37	2	16	21	19	1	843	1
37	3	26	37	32	1	844	1
38	0	1	22	0	1	845	1
38	1	11	38	12	1	846	1
38	2	16	22	19	1	847	1
38	3	26	38	32	1	848	1
39	0	1	23	0	1	849	1
39	1	11	39	12	1	850	1
39	2	16	23	19	1	851	1
39	3	26	39	32	1	852	1
40	0	1	24	0	1	853	1
40	1	11	40	12	1	854	1
40	2	16	24	19	1	855	1
40	3	26	40	32	1	856	1
41	0	1	25	0	1	857	1
41	1	11	41	12	1	858	1
41	2	16	25	19	1	859	1
41	3	26	41	32	1	860	1
42	0	1	26	0	1	861	1
42	1	11	42	12	1	862	1
42	2	16	26	19	1	863	1
42	3	26	42	32	1	864	1
43	0	1	27	0	1	865	1
43	1	11	43	12	1	866	1
43	2	16	27	19	1	867	1
43	3	26	43	32	1	868	1
44	0	1	28	0	1	869	1
44	1	11	44	12	1	870	1
44	2	16	28	19	1	871	1
44	3	26	44	32	1	872	1
45	0	1	29	0	1	873	1
45	1	11	45	12	1	874	1
45	2	16	29	19	1	875	1
45	3	26	45	32	1	876	1
46	0	1	30	0	1	877	1
46	1	11	46	12	1	878	1
46	2	16	30	19	1	879	1
46	3	26	46	32	1	880	1
47	0	1	31	0	1	881	1
47	1	11	47	12	1	882	1
47	2	16	31	19	1	883	1
47	3	26	47	32	1	884	1
48	0	3	0	2	1	885	1
48	1	11	48	12	1	886	1
48	2	18	0	21	1	887	1
48	3	26	48	32	1	888	1
49	0	3	1	2	1	889	1
49	1	11	49	12	1	890	1
49	2	18	1	21	1	891	1
49	3	26	49	32	1	892	1
50	0	3	2	2	1	893	1
50	1	11	50	12	1	894	1
50	2	18	2	21	1	895	1
50	3	26	50	32	1	896	1
51	0	3	3	2	1	897	1
51	1	11	51	12	1	898	1
51	2	18	3	21	1	899	1
51	3	26	51	32	1	900	1
52	0	3	4	2	1	901	1
52	1	11	52	12	1	902	1
52	2	18	4	21	1	903	1
52	3	26	52	32	1	904	1
53	0	3	5	2	1	905	1
53	1	11	53	12	1	906	1
53	2	18	5	21	1	907	1
53	3	26	53	32	1	908	1
54	0	3	6	2	1	909	1
54	1	11	54	12	1	910	1
54	2	18	6	21	1	911	1
54	3	26	54	32	1	912	1
55	0	3	7	2	1	913	1
55	1	11	55	12	1	914	1
55	2	18	7	21	1	915	1
55	3	26	55	32	1	916	1
56	0	3	8	2	1	917	1
56	1	11	56	12	1	918	1
56	2	18	8	21	1	919	1
56	3	26	56	32	1	920	1
57	0	3	9	2	1	921	1
57	1	11	57	12	1	922	1
57	2	18	9	21	1	923	1
57	3	26	57	32	1	924	1
58	0	3	10	2	1	925	1
58	1	11	58	12	1	926	1
58	2	18	10	21	1	927	1
58	3	26	58	32	1	928	1
59	0	3	11	2	1	929	1
59	1	11	59	12	1	930	1
59	2	18	11	21	1	931	1
59	3	26	59	32	1	932	1
60	0	3	12	2	1	933	1
60	1	11	60	12	1	934	1
60	2	18	12	21	1	935	1
60	3	26	60	32	1	936	1
61	0	3	13	2	1	937	1
61	1	11	61	12	1	938	1
61	2	18	13	21	1	939	1
61	3	26	61	32	1	940	1
62	0	3	14	2	1	941	1
62	1	11	62	12	1	942	1
62	2	18	14	21	1	943	1
62	3	26	62	32	1	944	1
63	0	3	15	2	1	945	1
63	1	11	63	12	1	946	1
63	2	18	15	21	1	947	1
63	3	26	63	32	1	948	1
64	0	12	0	13	1	949	1
64	1	27	0	33	1	950	1
65	0	12	1	13	1	951	1
65	1	27	1	33	1	952	1
66	0	12	2	13	1	953	1
66	1	27	2	33	1	954	1
67	0	12	3	13	1	955	1
67	1	27	3	33	1	956	1
68	0	12	4	13	1	957	1
68	1	27	4	33	1	958	1
69	0	12	5	13	1	959	1
69	1	27	5	33	1	960	1
70	0	12	6	13	1	961	1
70	1	27	6	33	1	962	1
71	0	12	7	13	1	963	1
71	1	27	7	33	1	964	1
72	0	12	8	13	1	965	1
72	1	27	8	33	1	966	1
73	0	12	9	13	1	967	1
73	1	27	9	33	1	968	1
74	0	12	10	13	1	969	1
74	1	27	10	33	1	970	1
75	0	12	11	13	1	971	1
75	1	27	11	33	1	972	1
76	0	12	12	13	1	973	1
76	1	27	12	33	1	974	1
77	0	12	13	13	1	975	1
77	1	27	13	33	1	976	1
78	0	12	14	13	1	977	1
78	1	27	14	33	1	978	1
79	0	12	15	13	1	979	1
79	1	27	15	33	1	980	1
80	0	12	16	13	1	981	1
80	1	27	16	33	1	982	1
81	0	12	17	13	1	983	1
81	1	27	17	33	1	984	1
82	0	12	18	13	1	985	1
82	1	27	18	33	1	986	1
83	0	12	19	13	1	987	1
83	1	27	19	33	1	988	1
84	0	12	20	13	1	989	1
84	1	27	20	33	1	990	1
85	0	12	21	13	1	991	1
85	1	27	21	33	1	992	1
86	0	12	22	13	1	993	1
86	1	27	22	33	1	994	1
87	0	12	23	13	1	995	1
87	1	27	23	33	1	996	1
88	0	12	24	13	1	997	1
88	1	27	24	33	1	998	1
89	0	12	25	13	1	999	1
89	1	27	25	33	1	1000	1
90	0	12	26	13	1	1001	1
90	1	27	26	33	1	1002	1
91	0	12	27	13	1	1003	1
91	1	27	27	33	1	1004	1
92	0	12	28	13	1	1005	1
92	1	27	28	33	1	1006	1
93	0	12	29	13	1	1007	1
93	1	27	29	33	1	1008	1
94	0	12	30	13	1	1009	1
94	1	27	30	33	1	1010	1
95	0	12	31	13	1	1011	1
95	1	27	31	33	1	1012	1
96	0	12	32	13	1	1013	1
96	1	27	32	33	1	1014	1
97	0	12	33	13	1	1015	1
97	1	27	33	33	1	1016	1
98	0	12	34	13	1	1017	1
98	1	27	34	33	1	1018	1
99	0	12	35	13	1	1019	1
99	1	27	35	33	1	1020	1
100	0	12	36	13	1	1021	1
100	1	27	36	33	1	1022	1
101	0	12	37	13	1	1023	1
101	1	27	37	33	1	1024	1
102	0	12	38	13	1	1025	1
102	1	27	38	33	1	1026	1
103	0	12	39	13	1	1027	1
103	1	27	39	33	1	1028	1
104	0	12	40	13	1	1029	1
104	1	27	40	33	1	1030	1
105	0	12	41	13	1	1031	1
105	1	27	41	33	1	1032	1
106	0	12	42	13	1	1033	1
106	1	27	42	33	1	1034	1
107	0	12	43	13	1	1035	1
107	1	27	43	33	1	1036	1
108	0	12	44	13	1	1037	1
108	1	27	44	33	1	1038	1
109	0	12	45	13	1	1039	1
109	1	27	45	33	1	1040	1
110	0	12	46	13	1	1041	1
110	1	27	46	33	1	1042	1
111	0	12	47	13	1	1043	1
111	1	27	47	33	1	1044	1
112	0	12	48	13	1	1045	1
112	1	27	48	33	1	1046	1
113	0	12	49	13	1	1047	1
113	1	27	49	33	1	1048	1
114	0	12	50	13	1	1049	1
114	1	27	50	33	1	1050	1
