slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles
0	1	0	0	0	1	0	1789561885608928256	47542546241918	1789561885608929280	47542546243213	1789561885608929280	47542546243213	1789561885608929280	47542546245439	1789561885608930304	47542546247158	1789561885608930304	47542546247288
1	0	32	16	64	1	6144	1789561885608932352	47542546251796	1789561885608932352	47542546253885	1789561885608933376	47542546255244	1789561885608937472	47542546267228	1789561885608938496	47542546268448	1789561885608938496	47542546268578
2	2	0	0	0	1	0	1789561885608939520	47542546273929	1789561885608940544	47542546275149	1789561885608940544	47542546275149	1789561885608940544	47542546276688	1789561885608940544	47542546276718	1789561885608940544	47542546276847
3	3	0	0	0	1	0	1789561885608941568	47542546279651	1789561885608942592	47542546280688	1789561885608942592	47542546280688	1789561885608942592	47542546281609	1789561885608942592	47542546281639	1789561885608942592	47542546281769
4	5	0	0	0	1	0	1789561885608944640	47542546287028	1789561885608945664	47542546288635	1789561885608945664	47542546288635	1789561885608947712	47542546296821	1789561885608947712	47542546296852	1789561885608948736	47542546296982
5	0	32	16	64	1	6144	1789561885608949760	47542546302100	1789561885608950784	47542546304221	1789561885608951808	47542546305707	1789561885608955904	47542546317931	1789561885608956928	47542546320076	1789561885608956928	47542546320205
6	1	0	0	0	1	0	1789561885608957952	47542546325389	1789561885608958976	47542546326616	1789561885608958976	47542546326616	1789561885608960000	47542546328974	1789561885608960000	47542546330705	1789561885608960000	47542546330835
7	0	32	16	64	1	6144	1789561885608962048	47542546336300	1789561885608963072	47542546338445	1789561885608964096	47542546339870	1789561885608968192	47542546351977	1789561885608968192	47542546352978	1789561885608968192	47542546353108
8	4	0	0	0	1	0	1789561885608971264	47542546361000	1789561885608971264	47542546362233	1789561885608971264	47542546362233	1789561885608974336	47542546368665	1789561885608974336	47542546368696	1789561885608974336	47542546368826
9	0	32	16	64	1	6144	1789561885608975360	47542546373602	1789561885608976384	47542546375741	1789561885608977408	47542546377249	1789561885608985600	47542546401735	1789561885608986624	47542546403957	1789561885608986624	47542546404087
10	1	0	0	0	1	0	1789561885608988672	47542546409263	1789561885608988672	47542546410514	1789561885608988672	47542546410514	1789561885608989696	47542546412866	1789561885608990720	47542546414626	1789561885608990720	47542546414756
11	0	32	16	64	1	6144	1789561885608991744	47542546419230	1789561885608992768	47542546421369	1789561885608993792	47542546423176	1789561885608997888	47542546435472	1789561885608998912	47542546437007	1789561885608998912	47542546437267
12	2	0	0	0	1	0	1789561885609000960	47542546442463	1789561885609000960	47542546443644	1789561885609000960	47542546443644	1789561885609001984	47542546445215	1789561885609001984	47542546445245	1789561885609001984	47542546445603
13	3	0	0	0	1	0	1789561885609003008	47542546448194	1789561885609003008	47542546449269	1789561885609003008	47542546449269	1789561885609003008	47542546450101	1789561885609003008	47542546450131	1789561885609003008	47542546450261
14	5	0	0	0	1	0	1789561885609005056	47542546455504	1789561885609006080	47542546457075	1789561885609006080	47542546457075	1789561885609009152	47542546465318	1789561885609009152	47542546465348	1789561885609009152	47542546465479
15	0	32	16	64	1	6144	1789561885609011200	47542546470627	1789561885609011200	47542546472762	1789561885609012224	47542546474215	1789561885609016320	47542546486117	1789561885609016320	47542546487556	1789561885609017344	47542546487685
16	1	0	0	0	1	0	1789561885609018368	47542546492703	1789561885609019392	47542546493938	1789561885609019392	47542546493938	1789561885609020416	47542546496315	1789561885609020416	47542546498099	1789561885609020416	47542546498230
17	0	32	16	64	1	6144	1789561885609022464	47542546502758	1789561885609023488	47542546504903	1789561885609023488	47542546506351	1789561885609027584	47542546518870	1789561885609028608	47542546520143	1789561885609028608	47542546520400
18	4	0	0	0	1	0	1789561885609030656	47542546525776	1789561885609030656	47542546527018	1789561885609030656	47542546527018	1789561885609033728	47542546533508	1789561885609033728	47542546533538	1789561885609033728	47542546533667
19	0	32	16	64	1	6144	1789561885609034752	47542546538445	1789561885609035776	47542546540572	1789561885609036800	47542546542039	1789561885609044992	47542546566045	1789561885609046016	47542546568005	1789561885609046016	47542546568135
20	1	0	0	0	1	0	1789561885609048064	47542546573303	1789561885609048064	47542546574515	1789561885609048064	47542546574515	1789561885609049088	47542546576886	1789561885609049088	47542546578709	1789561885609049088	47542546578839
21	0	32	16	64	1	6144	1789561885609051136	47542546583320	1789561885609052160	47542546585443	1789561885609052160	47542546586896	1789561885609057280	47542546598925	1789561885609057280	47542546600468	1789561885609057280	47542546600725
22	2	0	0	0	1	0	1789561885609059328	47542546605869	1789561885609059328	47542546607086	1789561885609059328	47542546607086	1789561885609060352	47542546608639	1789561885609060352	47542546608669	1789561885609060352	47542546609027
23	3	0	0	0	1	0	1789561885609061376	47542546611612	1789561885609061376	47542546612716	1789561885609061376	47542546612716	1789561885609062400	47542546613544	1789561885609062400	47542546613574	1789561885609062400	47542546613704
