slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794424227810304	1104422016901	1789794424227811328	1104422018117	1789794424227811328	1104422018117	1789794424227812352	1104422021946	1789794424227813376	1104422023240	1789794424227813376	1104422023360	0	0	0	0	93	8
1	0	32	16	16	1	1536	1789794424227815424	1104422028637	1789794424227816448	1104422030986	1789794424227816448	1104422031638	1789794424227826688	1104422057147	1789794424227827712	1104422059168	1789794424227827712	1104422059495	1104422031696	1104422057040	13769	32	0	0
2	2	0	0	0	1	0	1789794424227830784	1104422067318	1789794424227831808	1104422069452	1789794424227831808	1104422069452	1789794424227832832	1104422071238	1789794424227832832	1104422071268	1789794424227832832	1104422071390	0	0	0	0	0	0
3	2	0	0	0	1	0	1789794424227835904	1104422077881	1789794424227835904	1104422079209	1789794424227835904	1104422079209	1789794424227836928	1104422081138	1789794424227836928	1104422081168	1789794424227836928	1104422081288	0	0	0	0	0	0
4	3	0	0	0	1	0	1789794424227838976	1104422087325	1789794424227840000	1104422088734	1789794424227840000	1104422088734	1789794424227840000	1104422089875	1789794424227840000	1104422089911	1789794424227840000	1104422090041	0	0	0	0	0	0
5	5	0	0	0	1	0	1789794424227844096	1104422100591	1789794424227845120	1104422102566	1789794424227845120	1104422102566	1789794424227870720	1104422167165	1789794424227870720	1104422167195	1789794424227870720	1104422167312	0	0	0	0	53	2
6	0	32	16	16	1	1536	1789794424227876864	1104422180586	1789794424227877888	1104422183305	1789794424227877888	1104422183937	1789794424227887104	1104422208421	1789794424227889152	1104422211899	1789794424227889152	1104422212018	1104422184209	1104422208296	10626	32	0	0
7	1	0	0	0	1	0	1789794424227891200	1104422217653	1789794424227892224	1104422219427	1789794424227892224	1104422219427	1789794424227893248	1104422223311	1789794424227894272	1104422224681	1789794424227894272	1104422224804	0	0	0	0	96	8
8	0	32	16	16	1	1536	1789794424227895296	1104422229594	1789794424227896320	1104422231955	1789794424227897344	1104422232638	1789794424227905536	1104422254983	1789794424227907584	1104422257838	1789794424227907584	1104422257965	1104422232647	1104422254888	12991	32	0	0
9	4	0	0	0	1	0	1789794424227912704	1104422272523	1789794424227913728	1104422274163	1789794424227913728	1104422274163	1789794424227916800	1104422281195	1789794424227916800	1104422281231	1789794424227916800	1104422281353	0	0	0	0	0	0
