wait_index	producer	group	event_index
312	40	18	5624
313	40	19	5625
314	40	20	5626
315	40	21	5627
316	40	22	5628
317	40	23	5629
318	40	24	5630
319	40	25	5631
320	40	26	5632
321	40	27	5633
322	40	28	5634
323	40	29	5635
324	40	30	5636
325	40	31	5637
326	40	32	5638
327	40	33	5639
328	40	34	5640
329	40	35	5641
330	40	36	5642
331	40	37	5643
332	40	38	5644
333	40	39	5645
334	40	40	5646
335	40	41	5647
336	40	42	5648
337	40	43	5649
338	40	44	5650
339	40	45	5651
340	40	46	5652
341	40	47	5653
342	40	48	5654
343	40	49	5655
344	40	50	5656
345	40	51	5657
346	40	52	5658
347	40	53	5659
348	40	54	5660
349	40	55	5661
350	41	0	5662
351	41	1	5663
352	42	0	5664
353	42	1	5665
354	42	2	5666
355	42	3	5667
356	42	4	5668
357	42	5	5669
358	42	6	5670
359	42	7	5671
360	43	0	5920
361	43	1	5921
362	43	2	5922
363	43	3	5923
364	43	4	5924
365	43	5	5925
366	43	6	5926
367	43	7	5927
368	43	8	5928
369	43	9	5929
370	43	10	5930
371	43	11	5931
372	43	12	5932
373	43	13	5933
374	43	14	5934
375	43	15	5935
376	44	0	5936
377	44	1	5937
378	45	0	5938
379	45	1	5939
380	45	2	5940
381	45	3	5941
382	45	4	5942
383	45	5	5943
384	45	6	5944
385	45	7	5945
386	46	4294967295	6194
387	52	0	6389
388	51	0	6325
389	53	4294967295	6405
390	54	4294967295	6406
391	55	4294967295	6407
392	56	0	6408
393	56	1	6409
394	56	2	6410
395	56	3	6411
396	56	4	6412
397	56	5	6413
398	56	6	6414
399	56	7	6415
400	57	0	6664
401	57	1	6665
402	57	2	6666
403	57	3	6667
404	57	4	6668
405	57	5	6669
406	57	6	6670
407	57	7	6671
408	57	8	6672
409	57	9	6673
410	57	10	6674
411	57	11	6675
412	57	12	6676
413	57	13	6677
414	57	14	6678
415	57	15	6679
416	58	0	6680
417	58	1	6681
418	59	0	6682
419	59	1	6683
420	59	2	6684
421	59	3	6685
422	59	4	6686
423	59	5	6687
424	59	6	6688
425	59	7	6689
426	60	0	7578
427	60	1	7579
428	60	2	7580
429	60	3	7581
430	60	4	7582
431	60	5	7583
432	60	6	7584
433	60	7	7585
434	60	8	7586
435	60	9	7587
436	60	10	7588
437	60	11	7589
438	60	12	7590
439	60	13	7591
440	60	14	7592
441	60	15	7593
442	60	16	7594
443	60	17	7595
444	60	18	7596
445	60	19	7597
446	60	20	7598
447	60	21	7599
448	60	22	7600
449	60	23	7601
450	60	24	7602
451	60	25	7603
452	60	26	7604
453	60	27	7605
454	60	28	7606
455	60	29	7607
456	60	30	7608
457	60	31	7609
458	60	32	7610
459	60	33	7611
460	60	34	7612
461	60	35	7613
462	60	36	7614
463	60	37	7615
464	60	38	7616
465	60	39	7617
466	60	40	7618
467	60	41	7619
468	60	42	7620
469	60	43	7621
470	60	44	7622
471	60	45	7623
472	60	46	7624
473	60	47	7625
474	60	48	7626
475	60	49	7627
476	60	50	7628
477	60	51	7629
478	60	52	7630
479	60	53	7631
480	60	54	7632
481	60	55	7633
482	62	0	8530
483	62	1	8531
484	62	2	8532
485	62	3	8533
486	62	4	8534
487	62	5	8535
488	62	6	8536
489	62	7	8537
490	62	8	8538
491	62	9	8539
492	62	10	8540
493	62	11	8541
494	62	12	8542
495	62	13	8543
496	62	14	8544
497	62	15	8545
498	62	16	8546
499	62	17	8547
500	62	18	8548
501	62	19	8549
502	62	20	8550
503	62	21	8551
504	62	22	8552
505	62	23	8553
506	62	24	8554
507	62	25	8555
508	62	26	8556
509	62	27	8557
510	62	28	8558
511	62	29	8559
512	62	30	8560
513	62	31	8561
514	62	32	8562
515	62	33	8563
516	62	34	8564
517	62	35	8565
518	62	36	8566
519	62	37	8567
520	62	38	8568
521	62	39	8569
522	62	40	8570
523	62	41	8571
524	62	42	8572
525	62	43	8573
526	62	44	8574
527	62	45	8575
528	62	46	8576
529	62	47	8577
530	62	48	8578
531	62	49	8579
532	62	50	8580
533	62	51	8581
534	62	52	8582
535	62	53	8583
536	62	54	8584
537	62	55	8585
538	63	0	8586
539	63	1	8587
540	64	0	8588
541	64	1	8589
542	64	2	8590
543	64	3	8591
544	64	4	8592
545	64	5	8593
546	64	6	8594
547	64	7	8595
548	65	0	8844
549	65	1	8845
550	65	2	8846
551	65	3	8847
552	65	4	8848
553	65	5	8849
554	65	6	8850
555	65	7	8851
556	65	8	8852
557	65	9	8853
558	65	10	8854
559	65	11	8855
560	65	12	8856
561	65	13	8857
562	65	14	8858
563	65	15	8859
564	66	0	8860
565	66	1	8861
566	67	0	8862
567	67	1	8863
568	67	2	8864
569	67	3	8865
570	67	4	8866
571	67	5	8867
572	67	6	8868
573	67	7	8869
574	68	4294967295	9118
575	74	0	9313
576	73	0	9249
577	75	4294967295	9329
578	76	4294967295	9330
579	77	4294967295	9331
580	78	0	9332
581	78	1	9333
582	78	2	9334
583	78	3	9335
584	78	4	9336
585	78	5	9337
586	78	6	9338
587	78	7	9339
588	79	0	9588
589	79	1	9589
590	79	2	9590
591	79	3	9591
592	79	4	9592
593	79	5	9593
594	79	6	9594
595	79	7	9595
596	79	8	9596
597	79	9	9597
598	79	10	9598
599	79	11	9599
600	79	12	9600
601	79	13	9601
602	79	14	9602
603	79	15	9603
604	80	0	9604
605	80	1	9605
606	81	0	9606
607	81	1	9607
608	81	2	9608
609	81	3	9609
610	81	4	9610
611	81	5	9611
612	81	6	9612
613	81	7	9613
614	82	0	10502
615	82	1	10503
616	82	2	10504
617	82	3	10505
618	82	4	10506
619	82	5	10507
620	82	6	10508
621	82	7	10509
622	82	8	10510
623	82	9	10511
624	82	10	10512
625	82	11	10513
626	82	12	10514
627	82	13	10515
628	82	14	10516
629	82	15	10517
630	82	16	10518
631	82	17	10519
632	82	18	10520
633	82	19	10521
634	82	20	10522
635	82	21	10523
636	82	22	10524
637	82	23	10525
638	82	24	10526
639	82	25	10527
640	82	26	10528
641	82	27	10529
642	82	28	10530
643	82	29	10531
644	82	30	10532
645	82	31	10533
646	82	32	10534
647	82	33	10535
648	82	34	10536
649	82	35	10537
650	82	36	10538
651	82	37	10539
652	82	38	10540
653	82	39	10541
654	82	40	10542
655	82	41	10543
656	82	42	10544
657	82	43	10545
658	82	44	10546
659	82	45	10547
660	82	46	10548
661	82	47	10549
662	82	48	10550
663	82	49	10551
664	82	50	10552
665	82	51	10553
666	82	52	10554
667	82	53	10555
668	82	54	10556
669	82	55	10557
670	84	0	11454
671	84	1	11455
672	84	2	11456
673	84	3	11457
674	84	4	11458
675	84	5	11459
676	84	6	11460
677	84	7	11461
678	84	8	11462
679	84	9	11463
680	84	10	11464
681	84	11	11465
682	84	12	11466
683	84	13	11467
684	84	14	11468
685	84	15	11469
686	84	16	11470
687	84	17	11471
688	84	18	11472
689	84	19	11473
690	84	20	11474
691	84	21	11475
692	84	22	11476
693	84	23	11477
694	84	24	11478
695	84	25	11479
696	84	26	11480
697	84	27	11481
698	84	28	11482
699	84	29	11483
700	84	30	11484
701	84	31	11485
702	84	32	11486
703	84	33	11487
704	84	34	11488
705	84	35	11489
706	84	36	11490
707	84	37	11491
708	84	38	11492
709	84	39	11493
710	84	40	11494
711	84	41	11495
712	84	42	11496
713	84	43	11497
714	84	44	11498
715	84	45	11499
716	84	46	11500
717	84	47	11501
718	84	48	11502
719	84	49	11503
720	84	50	11504
721	84	51	11505
722	84	52	11506
723	84	53	11507
724	84	54	11508
725	84	55	11509
726	85	0	11510
727	85	1	11511
728	86	0	11512
729	86	1	11513
730	86	2	11514
731	86	3	11515
732	86	4	11516
733	86	5	11517
734	86	6	11518
735	86	7	11519
736	0	0	88
737	0	1	89
738	1	8	98
739	1	9	99
740	1	10	100
741	1	11	101
742	1	12	102
743	1	13	103
744	1	14	104
745	1	15	105
746	2	4294967295	346
747	8	0	541
