model	layers	hidden	parameters	processes	passes	l05_l0_mismatch	l05_ms	l1_ms	l2_ms	hash
llama32_1b_shape	16	2048	973144576	50	0	198	12.608512	12.523696	13.266928	621738651f623f5b
llama3_width4	4	4096	872448256	50	50	0	5.843968	5.802976	6.132224	451f7525006a532e
