layers	hidden	parameters	fx_tasks	fx_couplings	cg_tasks	cg_couplings	stages	export_s	bridge_s	codegen_s	cu_bytes
1	2048	60821536	93	110	17	20	15	4	3	71	7809
2	2048	121643072	183	223	34	42	30	7	3	135	13691
4	2048	243286144	363	449	68	86	60	9	4	267	25461
8	2048	486572288	723	901	136	174	120	18	6	499	49311
16	2048	973144576	1443	1805	272	350	240	19	3	1353	97516
