round	order	control_l1_ms	candidate_l1_ms	control_l2_ms	candidate_l2_ms
1	control-first	5.806080	4.178752	6.124576	4.023328
2	candidate-first	5.806080	4.173824	6.136704	4.023296
3	control-first	5.801984	4.167360	6.117376	4.020224
4	candidate-first	5.809888	4.181664	6.142080	4.023104
5	control-first	5.687232	4.175584	5.899936	4.019200
6	candidate-first	5.693600	4.173600	6.040576	3.904512
7	control-first	5.803840	4.168704	6.148096	4.023328
8	candidate-first	5.802112	4.170752	6.128544	4.015104
9	control-first	5.801984	4.172608	6.132704	4.029440
10	candidate-first	5.804160	4.176640	6.131552	4.025088
11	control-first	5.749760	4.171776	6.133824	4.018176
12	candidate-first	5.807264	4.170752	6.156000	4.013248
13	control-first	5.615744	4.007648	5.665792	3.890016
14	candidate-first	5.808032	4.180992	6.160256	4.026368
15	control-first	5.800000	4.171680	6.139584	4.019968
16	candidate-first	5.805216	4.176896	6.150144	4.025344
17	control-first	5.806080	4.180928	6.141888	4.029664
18	candidate-first	5.802112	4.177920	6.134784	4.031264
19	control-first	5.805184	4.166400	6.118368	4.029280
20	candidate-first	5.805024	4.177728	6.133600	4.023200
21	control-first	5.804224	4.169728	6.157184	4.019200
22	candidate-first	5.806208	4.177920	6.127616	4.025184
23	control-first	5.816448	4.175872	6.160384	4.020224
24	candidate-first	5.798784	4.166656	6.127584	4.029120
25	control-first	5.804736	4.179712	6.132736	4.032512
