model	model_json_bytes	generated_cu_bytes	generated_cu_lines	dependency_rows	map_all	map_identity	map_window	max_registers	smem_union	ctas_per_sm	grid	codegen_s	nvcc_s
llama32_1b_shape	1015329	97516	1265	318	80	63	175	212	24576	2	256	1353	26
llama3_width4	254803	25573	365	78	20	15	43	212	24576	2	256	252	23
