wait_index	producer	group
0	0	1
1	0	2
2	0	3
3	2	4294967295
4	1	4294967295
5	3	4294967295
6	6	4294967295
7	7	4294967295
8	8	1
9	8	2
10	8	3
11	8	4
12	8	5
13	8	6
14	8	7
15	8	8
16	8	9
17	8	10
18	8	11
19	8	12
20	8	13
21	8	14
22	8	15
23	9	1
24	9	2
25	9	3
26	10	1
27	10	2
28	10	3
29	11	1
30	11	2
31	11	3
32	11	4
33	11	5
34	11	6
35	11	7
36	12	1
37	12	2
38	12	3
39	12	4
40	12	5
41	12	6
42	12	7
43	13	1
44	13	2
45	13	3
46	14	1
47	14	2
48	14	3
49	15	1
50	15	2
51	15	3
52	17	4294967295
53	16	4294967295
54	18	4294967295
55	21	4294967295
56	22	4294967295
57	23	1
58	23	2
59	23	3
60	23	4
61	23	5
62	23	6
63	23	7
64	23	8
65	23	9
66	23	10
67	23	11
68	23	12
69	23	13
70	23	14
71	23	15
72	24	1
73	24	2
74	24	3
75	25	1
76	25	2
77	25	3
78	26	1
79	26	2
80	26	3
81	26	4
82	26	5
83	26	6
84	26	7
85	27	1
86	27	2
87	27	3
88	27	4
89	27	5
90	27	6
91	27	7
92	28	1
93	28	2
94	28	3
95	29	1
96	29	2
97	29	3
98	30	1
99	30	2
100	30	3
101	32	4294967295
102	31	4294967295
103	33	4294967295
104	36	4294967295
105	37	4294967295
106	38	1
107	38	2
108	38	3
109	38	4
110	38	5
111	38	6
112	38	7
113	38	8
114	38	9
115	38	10
116	38	11
117	38	12
118	38	13
119	38	14
120	38	15
121	39	1
122	39	2
123	39	3
124	40	1
125	40	2
126	40	3
127	41	1
128	41	2
129	41	3
130	41	4
131	41	5
132	41	6
133	41	7
134	42	1
135	42	2
136	42	3
137	42	4
138	42	5
139	42	6
140	42	7
141	43	1
142	43	2
143	43	3
144	44	1
145	44	2
146	44	3
147	45	1
148	45	2
149	45	3
150	47	4294967295
151	46	4294967295
152	48	4294967295
153	51	4294967295
154	52	4294967295
155	53	1
156	53	2
157	53	3
158	53	4
159	53	5
160	53	6
161	53	7
162	53	8
163	53	9
164	53	10
165	53	11
166	53	12
167	53	13
168	53	14
169	53	15
170	54	1
171	54	2
172	54	3
173	55	1
174	55	2
175	55	3
176	56	1
177	56	2
178	56	3
179	56	4
180	56	5
181	56	6
182	56	7
183	57	1
184	57	2
185	57	3
186	57	4
187	57	5
188	57	6
189	57	7
190	58	1
191	58	2
192	58	3
193	0	0
194	0	2
195	0	3
196	2	4294967295
197	1	4294967295
198	3	4294967295
199	6	4294967295
200	7	4294967295
201	8	0
202	8	2
203	8	3
204	8	4
205	8	5
206	8	6
207	8	7
208	8	8
209	8	9
210	8	10
211	8	11
212	8	12
213	8	13
214	8	14
215	8	15
216	9	0
217	9	2
218	9	3
219	10	0
220	10	2
221	10	3
222	11	0
223	11	2
224	11	3
225	11	4
226	11	5
227	11	6
228	11	7
229	12	0
230	12	2
231	12	3
232	12	4
233	12	5
234	12	6
235	12	7
236	13	0
237	13	2
