tile_m	tile_n	tile_k	stages	split_k	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
128	128	16	3	1	1.105920	1.082560	1.117184	25/25	5245714bc5d3ab4d	49536	1	128
16	64	32	5	16	0.181408	0.160448	0.193536	25/25	8a737188b958a2ae	52480	1	128
32	32	16	3	16	0.189440	0.182144	0.195520	25/25	8a737188b958a2ae	12672	2	256
32	32	16	3	8	0.185344	0.164864	0.194400	25/25	b37a2e7f0ec44cb5	12672	2	256
32	32	16	4	8	0.187200	0.166016	0.193696	25/25	b37a2e7f0ec44cb5	16896	2	256
32	32	16	5	8	0.187392	0.167936	0.195584	25/25	b37a2e7f0ec44cb5	21120	2	256
32	32	32	2	8	0.187360	0.165888	0.194560	25/25	b37a2e7f0ec44cb5	16896	2	256
32	32	32	3	8	0.188416	0.168256	0.195648	25/25	b37a2e7f0ec44cb5	25344	2	256
32	32	32	4	8	0.190464	0.167936	0.196608	25/25	b37a2e7f0ec44cb5	33792	2	256
