cell	rounds	passing	block	reg	task_smem	driver_ctas	regs_per_sm	smem_per_sm	threads_per_sm	l05_ms	l1_ms	l2_ms
gqa2_s4	50	50	128	96	16384	4	65536	102400	1536	0.18432	0.196608	0.155648
gqa2_s128	50	50	128	96	16384	4	65536	102400	1536	0.311296	0.325632	0.305152
mha4_s4	50	50	128	96	16384	4	65536	102400	1536	0.3584	0.38496	0.34304
mha4_s128	50	50	128	96	16384	4	65536	102400	1536	0.631808	0.654336	0.65536
