family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	256	81	81	1	1	1	1	1	1	65	PASS
wavefront	256	82	82	1	1	1	1	1	1	65	PASS
wavefront	256	83	83	1	1	1	1	1	1	65	PASS
wavefront	256	84	84	1	1	1	1	1	1	65	PASS
wavefront	256	85	85	1	1	1	1	1	1	65	PASS
wavefront	256	86	86	1	1	1	1	1	1	65	PASS
wavefront	256	87	87	1	1	1	1	1	1	65	PASS
wavefront	256	88	88	1	1	1	1	1	1	61	PASS
wavefront	256	89	89	1	1	1	1	1	1	65	PASS
wavefront	256	90	90	1	1	1	1	1	1	65	PASS
wavefront	256	91	91	1	1	1	1	1	1	65	PASS
wavefront	256	92	92	1	1	1	1	1	1	65	PASS
wavefront	256	93	93	1	1	1	1	1	1	65	PASS
wavefront	256	94	94	1	1	1	1	1	1	65	PASS
wavefront	256	95	95	1	1	1	1	1	1	65	PASS
wavefront	256	96	96	1	1	1	1	1	1	53	PASS
