seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	0	2	1	44	226	207	44
1	3	2	1	44	226	207	44
1	512	2	1	44	226	207	44
4	0	2	1	44	328	588	44
4	3	2	1	44	328	588	44
4	512	2	1	44	328	588	44
128	0	2	1	44	4544	16356	48
128	3	2	1	44	4544	16356	48
128	512	2	1	44	4544	16356	48
512	0	2	1	44	18176	61024	96
512	3	2	1	44	18176	61024	96
512	512	2	1	44	18176	61024	96
2048	0	2	1	44	72704	239464	300
2048	3	2	1	44	72704	239464	300
2048	512	2	1	44	72704	239464	300
