index	stage	logical_task	begin_ns	end_ns	wall_ns	task_fixed_plus_mainloop_ns	publish_ns	wait_hop_ns	barrier_ns	idle_ns	category	name
0	0	0	1790328487625994240	1790328487625999360	5120	5120	0	0	0	0	embed	l0.s00.embed
1	1	0	1790328487625999360	1790328487626006528	7168	5120	1024	0	0	1024	norm	l0.s01.norm
2	2	113	1790328487626006528	1790328487626020864	14336	12288	1024	1024	0	0	proj	l0.s02.proj
3	2	497	1790328487626020864	1790328487626031104	10240	5120	4096	0	0	1024	proj	l0.s02.proj
4	15	369	1790328487626031104	1790328487626074112	43008	11264	2048	29696	0	0	proj	l0.s12.proj
5	18	369	1790328487626074112	1790328487626114048	39936	11264	2048	25600	0	1024	proj	l0.s14.proj
6	18	753	1790328487626114048	1790328487626125312	11264	6144	4096	1024	0	0	proj	l0.s14.proj
7	18	1137	1790328487626125312	1790328487626134528	9216	6144	1024	1024	0	1024	proj	l0.s14.proj
8	18	1521	1790328487626134528	1790328487626144768	10240	8192	2048	0	0	0	proj	l0.s14.proj
9	20	369	1790328487626144768	1790328487626156032	11264	7168	3072	0	0	1024	proj	l0.s15.proj
10	20	753	1790328487626156032	1790328487626167296	11264	7168	3072	0	0	1024	proj	l0.s15.proj
11	20	1137	1790328487626167296	1790328487626177536	10240	7168	2048	0	0	1024	proj	l0.s15.proj
12	20	1521	1790328487626177536	1790328487626187776	10240	6144	3072	0	0	1024	proj	l0.s15.proj
13	23	369	1790328487626187776	1790328487626249216	61440	27648	2048	31744	0	0	proj	l0.s17.proj
14	26	113	1790328487626249216	1790328487626296320	47104	12288	2048	32768	0	0	proj	l0.s19.proj
15	26	497	1790328487626296320	1790328487626308608	12288	7168	5120	0	0	0	proj	l0.s19.proj
16	39	369	1790328487626308608	1790328487626352640	44032	11264	2048	29696	0	1024	proj	l0.s29.proj
17	42	369	1790328487626352640	1790328487626396672	44032	12288	2048	28672	0	1024	proj	l0.s31.proj
18	42	753	1790328487626396672	1790328487626407936	11264	6144	5120	0	0	0	proj	l0.s31.proj
19	42	1137	1790328487626407936	1790328487626417152	9216	5120	2048	0	1024	1024	proj	l0.s31.proj
20	42	1521	1790328487626417152	1790328487626424320	7168	5120	2048	0	0	0	proj	l0.s31.proj
21	44	369	1790328487626424320	1790328487626434560	10240	7168	3072	0	0	0	proj	l0.s32.proj
22	44	753	1790328487626434560	1790328487626442752	8192	6144	1024	0	0	1024	proj	l0.s32.proj
23	44	1137	1790328487626442752	1790328487626451968	9216	6144	2048	1024	0	0	proj	l0.s32.proj
24	44	1521	1790328487626451968	1790328487626459136	7168	5120	2048	0	0	0	proj	l0.s32.proj
25	47	369	1790328487626459136	1790328487626517504	58368	25600	2048	30720	0	0	proj	l0.s34.proj
26	50	113	1790328487626517504	1790328487626565632	48128	12288	1024	33792	0	1024	proj	l0.s36.proj
27	50	497	1790328487626565632	1790328487626575872	10240	5120	4096	0	0	1024	proj	l0.s36.proj
28	63	369	1790328487626575872	1790328487626621952	46080	11264	4096	30720	0	0	proj	l0.s46.proj
29	66	369	1790328487626621952	1790328487626663936	41984	11264	2048	28672	0	0	proj	l0.s48.proj
30	66	753	1790328487626663936	1790328487626675200	11264	5120	4096	0	1024	1024	proj	l0.s48.proj
31	66	1137	1790328487626675200	1790328487626684416	9216	6144	2048	1024	0	0	proj	l0.s48.proj
32	66	1521	1790328487626684416	1790328487626693632	9216	7168	2048	0	0	0	proj	l0.s48.proj
33	68	369	1790328487626693632	1790328487626701824	8192	6144	2048	0	0	0	proj	l0.s49.proj
34	68	753	1790328487626701824	1790328487626710016	8192	5120	2048	0	0	1024	proj	l0.s49.proj
35	68	1137	1790328487626710016	1790328487626719232	9216	5120	3072	0	1024	0	proj	l0.s49.proj
36	68	1521	1790328487626719232	1790328487626727424	8192	5120	2048	0	1024	0	proj	l0.s49.proj
37	71	369	1790328487626727424	1790328487626786816	59392	25600	2048	31744	0	0	proj	l0.s51.proj
38	74	113	1790328487626786816	1790328487626833920	47104	11264	1024	33792	0	1024	proj	l0.s53.proj
39	74	497	1790328487626833920	1790328487626845184	11264	6144	5120	0	0	0	proj	l0.s53.proj
40	87	369	1790328487626845184	1790328487626891264	46080	12288	2048	30720	0	1024	proj	l0.s63.proj
41	90	369	1790328487626891264	1790328487626933248	41984	11264	1024	28672	0	1024	proj	l0.s65.proj
42	90	753	1790328487626933248	1790328487626943488	10240	4096	4096	1024	0	1024	proj	l0.s65.proj
43	90	1137	1790328487626943488	1790328487626953728	10240	6144	3072	0	1024	0	proj	l0.s65.proj
44	90	1521	1790328487626953728	1790328487626962944	9216	6144	2048	1024	0	0	proj	l0.s65.proj
45	92	369	1790328487626962944	1790328487626971136	8192	6144	2048	0	0	0	proj	l0.s66.proj
46	92	753	1790328487626971136	1790328487626980352	9216	6144	2048	0	1024	0	proj	l0.s66.proj
47	92	1137	1790328487626980352	1790328487626989568	9216	6144	2048	0	1024	0	proj	l0.s66.proj
48	92	1521	1790328487626989568	1790328487626997760	8192	6144	2048	0	0	0	proj	l0.s66.proj
49	95	369	1790328487626997760	1790328487627055104	57344	24576	1024	30720	0	1024	proj	l0.s68.proj
50	98	113	1790328487627055104	1790328487627104256	49152	12288	1024	34816	0	1024	proj	l0.s70.proj
51	98	497	1790328487627104256	1790328487627115520	11264	6144	4096	0	0	1024	proj	l0.s70.proj
52	111	369	1790328487627115520	1790328487627159552	44032	11264	2048	30720	0	0	proj	l0.s80.proj
53	114	369	1790328487627159552	1790328487627201536	41984	11264	2048	27648	0	1024	proj	l0.s82.proj
54	114	753	1790328487627201536	1790328487627211776	10240	5120	3072	1024	0	1024	proj	l0.s82.proj
55	114	1137	1790328487627211776	1790328487627222016	10240	5120	4096	0	1024	0	proj	l0.s82.proj
56	114	1521	1790328487627222016	1790328487627230208	8192	5120	3072	0	0	0	proj	l0.s82.proj
57	116	369	1790328487627230208	1790328487627239424	9216	5120	3072	1024	0	0	proj	l0.s83.proj
58	116	753	1790328487627239424	1790328487627248640	9216	5120	3072	1024	0	0	proj	l0.s83.proj
59	116	1137	1790328487627248640	1790328487627257856	9216	5120	3072	0	0	1024	proj	l0.s83.proj
60	116	1521	1790328487627257856	1790328487627267072	9216	5120	3072	1024	0	0	proj	l0.s83.proj
61	119	369	1790328487627267072	1790328487627324416	57344	25600	1024	30720	0	0	proj	l0.s85.proj
62	122	113	1790328487627324416	1790328487627371520	47104	11264	1024	33792	0	1024	proj	l0.s87.proj
63	122	497	1790328487627371520	1790328487627383808	12288	7168	5120	0	0	0	proj	l0.s87.proj
64	135	369	1790328487627383808	1790328487627427840	44032	11264	2048	30720	0	0	proj	l0.s97.proj
65	138	369	1790328487627427840	1790328487627470848	43008	12288	2048	27648	0	1024	proj	l0.s99.proj
66	138	753	1790328487627470848	1790328487627483136	12288	7168	5120	0	0	0	proj	l0.s99.proj
67	138	1137	1790328487627483136	1790328487627492352	9216	6144	2048	0	0	1024	proj	l0.s99.proj
68	138	1521	1790328487627492352	1790328487627500544	8192	5120	2048	1024	0	0	proj	l0.s99.proj
69	140	369	1790328487627500544	1790328487627509760	9216	6144	2048	0	0	1024	proj	l0.s100.proj
70	140	753	1790328487627509760	1790328487627517952	8192	6144	1024	0	0	1024	proj	l0.s100.proj
71	140	1137	1790328487627517952	1790328487627527168	9216	6144	2048	0	0	1024	proj	l0.s100.proj
72	140	1521	1790328487627527168	1790328487627534336	7168	5120	2048	0	0	0	proj	l0.s100.proj
73	143	369	1790328487627534336	1790328487627591680	57344	25600	1024	29696	0	1024	proj	l0.s102.proj
74	146	113	1790328487627591680	1790328487627639808	48128	12288	2048	33792	0	0	proj	l0.s104.proj
75	146	497	1790328487627639808	1790328487627650048	10240	6144	3072	0	0	1024	proj	l0.s104.proj
76	159	369	1790328487627650048	1790328487627695104	45056	11264	3072	30720	0	0	proj	l0.s114.proj
77	162	369	1790328487627695104	1790328487627737088	41984	11264	2048	27648	0	1024	proj	l0.s116.proj
78	162	753	1790328487627737088	1790328487627747328	10240	7168	1024	0	0	2048	proj	l0.s116.proj
79	162	1137	1790328487627747328	1790328487627755520	8192	4096	3072	1024	0	0	proj	l0.s116.proj
80	162	1521	1790328487627755520	1790328487627764736	9216	5120	4096	0	0	0	proj	l0.s116.proj
81	164	369	1790328487627764736	1790328487627773952	9216	5120	3072	0	0	1024	proj	l0.s117.proj
82	164	753	1790328487627773952	1790328487627782144	8192	5120	3072	0	0	0	proj	l0.s117.proj
83	164	1137	1790328487627782144	1790328487627792384	10240	6144	4096	0	0	0	proj	l0.s117.proj
84	164	1521	1790328487627792384	1790328487627800576	8192	5120	2048	0	0	1024	proj	l0.s117.proj
85	167	369	1790328487627800576	1790328487627858944	58368	25600	1024	30720	0	1024	proj	l0.s119.proj
86	170	113	1790328487627858944	1790328487627906048	47104	12288	1024	32768	0	1024	proj	l0.s121.proj
87	170	497	1790328487627906048	1790328487627915264	9216	4096	4096	0	1024	0	proj	l0.s121.proj
88	183	369	1790328487627915264	1790328487627962368	47104	11264	4096	30720	0	1024	proj	l0.s131.proj
89	186	369	1790328487627962368	1790328487628004352	41984	10240	2048	28672	0	1024	proj	l0.s133.proj
90	186	753	1790328487628004352	1790328487628014592	10240	5120	2048	0	0	3072	proj	l0.s133.proj
91	186	1137	1790328487628014592	1790328487628025856	11264	6144	4096	0	0	1024	proj	l0.s133.proj
92	186	1521	1790328487628025856	1790328487628034048	8192	5120	3072	0	0	0	proj	l0.s133.proj
93	188	369	1790328487628034048	1790328487628043264	9216	5120	3072	0	0	1024	proj	l0.s134.proj
94	188	753	1790328487628043264	1790328487628052480	9216	5120	3072	0	0	1024	proj	l0.s134.proj
95	188	1137	1790328487628052480	1790328487628062720	10240	6144	4096	0	0	0	proj	l0.s134.proj
96	188	1521	1790328487628062720	1790328487628070912	8192	6144	2048	0	0	0	proj	l0.s134.proj
97	191	369	1790328487628070912	1790328487628128256	57344	25600	2048	29696	0	0	proj	l0.s136.proj
98	194	113	1790328487628128256	1790328487628175360	47104	12288	1024	32768	0	1024	proj	l0.s138.proj
