config	round	barrier_ms	nonpositive	zero	full_l1_ms	l1nosync_l1_ms	start_separation_s
eft	0	0.2743039999999999	0	0	6.542208	6.267904	160.591410356
eft	1	0.1351040000000001	0	0	6.526976	6.391872	1874.399454345
eft	2	0.4791040000000004	0	0	6.595456	6.116352	1550.555117484
eft	3	0.5105919999999999	0	0	6.67136	6.160768	1355.778334628
eft	4	0.29696000000000033	0	0	6.674432	6.377472	1261.863770499
eft	5	0.27967999999999993	0	0	6.672256	6.392576	112.459525424
eft	6	0.4800639999999996	0	0	6.673216	6.193152	108.540447897
eft	7	0.32665599999999984	0	0	6.669312	6.342656	108.345576119
eft	8	0.3353920000000006	0	0	6.668064	6.332672	110.056137747
eft	9	0.3504000000000005	0	0	6.671584	6.321184	105.895072733
eft	10	0.3174400000000004	0	0	6.672384	6.354944	105.038888392
eft	11	0.28364800000000034	0	0	6.672384	6.388736	99.731243478
eft	12	0.60928	0	0	6.67136	6.06208	52.707172688
eft	13	-0.013440000000000119	1	0	6.33744	6.35088	54.127637624
eft	14	0.2908159999999995	0	0	6.670336	6.37952	52.701061211
eft	15	0.3171520000000001	0	0	6.667264	6.350112	53.24741828
eft	16	0.2745280000000001	0	0	6.670336	6.395808	54.009619697
eft	17	0.3822720000000004	0	0	6.67344	6.291168	54.196658691
eft	18	0.3002560000000001	0	0	6.671584	6.371328	52.591337749
eft	19	-0.009215999999999447	1	0	6.339584	6.3488	55.059337557
eft	20	0.3226560000000003	0	0	6.674432	6.351776	54.070846916
eft	21	0.173184	0	0	6.524032	6.350848	55.779056499
eft	22	0.30585600000000035	0	0	6.673088	6.367232	55.63464885
eft	23	-0.03481600000000018	1	0	6.341696	6.376512	57.58310903
eft	24	0.2825280000000001	0	0	6.667168	6.38464	57.360759783
wavefront	0	0.4616959999999999	0	0	6.673408	6.211712	161.731668526
wavefront	1	0.5644479999999996	0	0	6.654976	6.090528	164.486234498
wavefront	2	0.2909119999999996	0	0	6.669344	6.378432	161.758492518
