config	arm	round	started_ns	l05_ms	l1_ms	l2_ms	log
eft	full	0	1789689404373696958	6.603776	6.542208	6.50336	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__full/r0.log
eft	nofence	0	1789689443841257597	6.648576	6.671616	6.41024	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nofence/r0.log
eft	nowait	0	1789689484372699994	6.651904	6.6816	6.05184	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nowait/r0.log
eft	neither	0	1789689524641932015	6.6496	6.679584	5.92896	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__neither/r0.log
eft	l1nosync	0	1789689564965107314	6.523744	6.267904	6.502528	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__l1nosync/r0.log
eft	full	1	1789693425336587397	6.3232	6.526976	6.566656	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__full/r1.log
eft	nofence	1	1789691428114070962	6.491136	6.336512	6.10816	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nofence/r1.log
eft	nowait	1	1789691468302516890	6.6488	6.67136	6.05376	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nowait/r1.log
eft	neither	1	1789691509454466478	6.646784	6.657024	5.93168	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__neither/r1.log
eft	l1nosync	1	1789691550937133052	6.651904	6.391872	6.578208	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__l1nosync/r1.log
eft	full	2	1789695097331084139	6.615008	6.595456	6.578176	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__full/r2.log
eft	nofence	2	1789695129898388674	6.65088	6.670048	6.413184	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nofence/r2.log
eft	nowait	2	1789693466675993266	6.653728	6.67344	6.064992	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nowait/r2.log
eft	neither	2	1789693506452560855	6.652736	6.673408	5.91872	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__neither/r2.log
eft	l1nosync	2	1789693546775966655	6.319104	6.116352	6.252544	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__l1nosync/r2.log
eft	full	3	1789696550588979368	6.65088	6.67136	6.577152	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__full/r3.log
eft	nofence	3	1789696577461664819	6.654976	6.6816	6.41024	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nofence/r3.log
eft	nowait	3	1789696604472268341	6.649856	6.672576	6.055872	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nowait/r3.log
eft	neither	3	1789695162145708087	6.649856	6.674464	5.943296	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__neither/r3.log
eft	l1nosync	3	1789695194810644740	6.3232	6.160768	6.383616	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__l1nosync/r3.log
eft	full	4	1789697893099957383	6.64576	6.674432	6.578176	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__full/r4.log
eft	nofence	4	1789697920076926750	6.647584	6.67568	6.409216	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nofence/r4.log
eft	nowait	4	1789697946948538246	6.647808	6.342592	5.891872	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nowait/r4.log
eft	neither	4	1789697973925678590	6.65088	6.671616	5.732352	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__neither/r4.log
eft	l1nosync	4	1789696631236186884	6.651968	6.377472	6.576992	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__l1nosync/r4.log
eft	full	5	1789699275854297318	6.646784	6.672256	6.569984	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__full/r5.log
eft	nofence	5	1789699304109767719	6.641504	6.660064	6.408512	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nofence/r5.log
eft	nowait	5	1789699332201176666	6.647808	6.67136	6.048768	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nowait/r5.log
eft	neither	5	1789699360273683175	6.647552	6.671488	5.813536	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__neither/r5.log
eft	l1nosync	5	1789699388313822742	6.639616	6.392576	6.56896	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__l1nosync/r5.log
eft	full	6	1789700648317458456	6.649856	6.673216	6.580224	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__full/r6.log
eft	nofence	6	1789700675232811074	6.649856	6.674432	6.412288	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nofence/r6.log
eft	nowait	6	1789700702226113911	6.648832	6.675456	6.054912	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s128/measure/eft__nowait/r6.log
