seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	1	30	122	147	30
4	3	1	1	30	232	524	30
128	3	1	1	30	5440	13012	38
512	3	1	1	30	21760	40852	98
2048	3	1	1	30	87040	151108	350
