seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	1	36	162	213	36
4	3	1	1	36	392	806	36
128	3	1	1	36	10560	19132	58
512	3	1	1	36	42240	65332	178
2048	3	1	1	36	168960	249028	670
