slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794737305075712	1167550814710	1789794737305076736	1167550816088	1789794737305076736	1167550816088	1789794737305077760	1167550818906	1789794737305077760	1167550820682	1789794737305077760	1167550820811	0	0	0	0	89	8
1	0	32	16	64	1	6144	1789794737305079808	1167550825391	1789794737305080832	1167550827529	1789794737305080832	1167550828568	1789794737305084928	1167550837991	1789794737305085952	1167550838932	1789794737305085952	1167550839061	1167550828670	1167550837897	1447	8	0	0
2	2	0	0	0	1	0	1789794737305088000	1167550844110	1789794737305088000	1167550845346	1789794737305088000	1167550845346	1789794737305089024	1167550847000	1789794737305089024	1167550847030	1789794737305089024	1167550847369	0	0	0	0	0	0
3	3	0	0	0	1	0	1789794737305090048	1167550850240	1789794737305090048	1167550851358	1789794737305090048	1167550851358	1789794737305091072	1167550852271	1789794737305091072	1167550852301	1789794737305091072	1167550852430	0	0	0	0	0	0
4	5	0	0	0	1	0	1789794737305093120	1167550857591	1789794737305093120	1167550859221	1789794737305093120	1167550859221	1789794737305097216	1167550867976	1789794737305097216	1167550868006	1789794737305097216	1167550868135	0	0	0	0	52	2
5	0	32	16	64	1	6144	1789794737305099264	1167550873311	1789794737305100288	1167550875462	1789794737305100288	1167550876565	1789794737305104384	1167550885923	1789794737305104384	1167550887540	1789794737305104384	1167550887670	1167550876591	1167550885829	1703	8	0	0
6	1	0	0	0	1	0	1789794737305106432	1167550892867	1789794737305107456	1167550894177	1789794737305107456	1167550894177	1789794737305108480	1167550897093	1789794737305109504	1167550898811	1789794737305109504	1167550898942	0	0	0	0	89	8
7	0	32	16	64	1	6144	1789794737305111552	1167550903508	1789794737305111552	1167550905681	1789794737305112576	1167550906788	1789794737305116672	1167550916263	1789794737305116672	1167550917754	1789794737305116672	1167550917886	1167550906814	1167550916169	1986	8	0	0
8	4	0	0	0	1	0	1789794737305118720	1167550922886	1789794737305119744	1167550924227	1789794737305119744	1167550924227	1789794737305121792	1167550930616	1789794737305121792	1167550930646	1789794737305121792	1167550930777	0	0	0	0	0	0
9	0	32	16	64	1	6144	1789794737305123840	1167550935621	1789794737305124864	1167550937782	1789794737305124864	1167550938890	1789794737305132032	1167550957159	1789794737305133056	1167550959362	1789794737305133056	1167550959493	1167550938916	1167550957065	3267	16	0	0
10	1	0	0	0	1	0	1789794737305135104	1167550964713	1789794737305136128	1167550965952	1789794737305136128	1167550965952	1789794737305137152	1167550968865	1789794737305138176	1167550970570	1789794737305138176	1167550970701	0	0	0	0	89	8
11	0	32	16	64	1	6144	1789794737305139200	1167550975293	1789794737305140224	1167550977450	1789794737305141248	1167550978554	1789794737305144320	1167550987962	1789794737305145344	1167550988934	1789794737305145344	1167550989063	1167550978580	1167550987868	1306	8	0	0
12	2	0	0	0	1	0	1789794737305147392	1167550994216	1789794737305147392	1167550995441	1789794737305147392	1167550995441	1789794737305148416	1167550996986	1789794737305148416	1167550997016	1789794737305148416	1167550997145	0	0	0	0	0	0
13	3	0	0	0	1	0	1789794737305149440	1167551000430	1789794737305150464	1167551001566	1789794737305150464	1167551001566	1789794737305150464	1167551002478	1789794737305150464	1167551002508	1789794737305150464	1167551002638	0	0	0	0	0	0
