logical_stage	op	tensor	no_producer_read_bytes	external_write_bytes
0	l0.s00.embed	embed.hidden	0	0
0	l0.s00.embed	input_ids	512	0
0	l0.s00.embed	p_embed_weight	262144	0
1	l0.s01.norm	embed.hidden	0	0
1	l0.s01.norm	l0.norm	0	0
1	l0.s01.norm	p_layers_0_input_norm_weight	4096	0
2	l0.s02.proj	l0.norm	0	0
2	l0.s02.proj	l0.q	0	0
2	l0.s02.proj	p_layers_0_q_proj_weight	8388608	0
3	l0.s03.proj	l0.k	0	0
3	l0.s03.proj	l0.norm	0	0
3	l0.s03.proj	p_layers_0_k_proj_weight	2097152	0
4	l0.s04.proj	l0.norm	0	0
4	l0.s04.proj	l0.v	0	0
4	l0.s04.proj	p_layers_0_v_proj_weight	2097152	0
5	l0.s05.rope	b_inv_freq	64	0
5	l0.s05.rope	l0.q	0	0
5	l0.s05.rope	l0.q_rot	0	0
6	l0.s06.rope	b_inv_freq	64	0
6	l0.s06.rope	l0.k	0	0
6	l0.s06.rope	l0.k_rot	0	0
7	l0.s07.append	l0.full_k	0	65536
7	l0.s07.append	l0.k_rot	0	0
8	l0.s08.append	l0.full_v	0	65536
8	l0.s08.append	l0.v	0	0
9	l0.s09.attn	l0.context	0	0
9	l0.s09.attn	l0.full_k	3072	0
9	l0.s09.attn	l0.full_v	3072	0
9	l0.s09.attn	l0.q_rot	0	0
10	l0.s10.proj	l0.context	0	0
10	l0.s10.proj	l0.s10.proj	0	0
10	l0.s10.proj	p_layers_0_o_proj_weight	8388608	0
10	l0.s10.add	embed.hidden	0	0
10	l0.s10.add	l0.hidden	0	0
10	l0.s10.add	l0.s10.proj	0	0
11	l0.s11.norm	l0.hidden	0	0
11	l0.s11.norm	l0.norm	0	0
11	l0.s11.norm	p_layers_0_post_norm_weight	4096	0
12	l0.s12.proj	l0.gate	0	0
12	l0.s12.proj	l0.norm	0	0
12	l0.s12.proj	p_layers_0_gate_proj_weight	33554432	0
13	l0.s13.proj	l0.norm	0	0
13	l0.s13.proj	l0.up	0	0
13	l0.s13.proj	p_layers_0_up_proj_weight	33554432	0
14	l0.s14.act	l0.gate	0	0
14	l0.s14.act	l0.up	0	0
15	l0.s15.proj	l0.gate	0	0
15	l0.s15.proj	l0.s15.proj	0	0
15	l0.s15.proj	p_layers_0_down_proj_weight	33554432	0
15	l0.s15.add	l0.hidden	0	0
15	l0.s15.add	l0.s15.proj	0	0
16	l0.s16.norm	l0.hidden	0	0
16	l0.s16.norm	l1.norm	0	0
16	l0.s16.norm	p_layers_1_input_norm_weight	4096	0
17	l0.s17.proj	l1.norm	0	0
17	l0.s17.proj	l1.q	0	0
17	l0.s17.proj	p_layers_1_q_proj_weight	8388608	0
18	l0.s18.proj	l1.k	0	0
18	l0.s18.proj	l1.norm	0	0
18	l0.s18.proj	p_layers_1_k_proj_weight	2097152	0
19	l0.s19.proj	l1.norm	0	0
19	l0.s19.proj	l1.v	0	0
19	l0.s19.proj	p_layers_1_v_proj_weight	2097152	0
20	l0.s20.rope	b_inv_freq	64	0
20	l0.s20.rope	l1.q	0	0
20	l0.s20.rope	l1.q_rot	0	0
21	l0.s21.rope	b_inv_freq	64	0
21	l0.s21.rope	l1.k	0	0
21	l0.s21.rope	l1.k_rot	0	0
22	l0.s22.append	l1.full_k	0	65536
22	l0.s22.append	l1.k_rot	0	0
23	l0.s23.append	l1.full_v	0	65536
23	l0.s23.append	l1.v	0	0
24	l0.s24.attn	l1.context	0	0
24	l0.s24.attn	l1.full_k	3072	0
24	l0.s24.attn	l1.full_v	3072	0
24	l0.s24.attn	l1.q_rot	0	0
25	l0.s25.proj	l0.s25.proj	0	0
25	l0.s25.proj	l1.context	0	0
25	l0.s25.proj	p_layers_1_o_proj_weight	8388608	0
25	l0.s25.add	l0.hidden	0	0
25	l0.s25.add	l0.s25.proj	0	0
25	l0.s25.add	l1.hidden	0	0
26	l0.s26.norm	l1.hidden	0	0
26	l0.s26.norm	l1.norm	0	0
26	l0.s26.norm	p_layers_1_post_norm_weight	4096	0
27	l0.s27.proj	l1.gate	0	0
27	l0.s27.proj	l1.norm	0	0
27	l0.s27.proj	p_layers_1_gate_proj_weight	33554432	0
28	l0.s28.proj	l1.norm	0	0
28	l0.s28.proj	l1.up	0	0
28	l0.s28.proj	p_layers_1_up_proj_weight	33554432	0
29	l0.s29.act	l1.gate	0	0
29	l0.s29.act	l1.up	0	0
30	l0.s30.proj	l0.s30.proj	0	0
30	l0.s30.proj	l1.gate	0	0
