model	v2	variant	kernel	bar_sync	membar	nanosleep	atomics
gqa2	0	plain	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
gqa2	0	plain	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	4	1	9
gqa2	0	plain	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
gqa2	0	plain	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
gqa2	0	trace	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
gqa2	0	trace	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	4	1	9
gqa2	0	trace	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
gqa2	0	trace	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
gqa2	1	plain	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
gqa2	1	plain	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	6	1	11
gqa2	1	plain	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
gqa2	1	plain	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
gqa2	1	trace	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
gqa2	1	trace	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	6	1	11
gqa2	1	trace	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
gqa2	1	trace	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
mha4	0	plain	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
mha4	0	plain	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	4	1	9
mha4	0	plain	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
mha4	0	plain	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
mha4	0	trace	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
mha4	0	trace	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	4	1	9
mha4	0	trace	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
mha4	0	trace	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
mha4	1	plain	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
mha4	1	plain	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	6	1	11
mha4	1	plain	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
mha4	1	plain	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
mha4	1	trace	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	0	0	0	0
mha4	1	trace	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	6	1	11
mha4	1	trace	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	11	3	1	4
mha4	1	trace	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	9	0	0	0
