model	seq	v2	n	l1	l2	gap	wait	notify	barrier	loop	closure_us
gqa2	4	0	25	0.373824	0.416768	0.042880	0.029696	0.059392	0.041088	-0.005376	0.000000
gqa2	4	1	25	0.373760	0.414784	0.040896	0.029696	0.057344	0.040992	-0.006848	0.000000
gqa2	128	0	25	0.520192	0.572416	0.049152	0.023520	0.066240	0.038912	-0.004032	0.000000
gqa2	128	1	25	0.522080	0.570368	0.047104	0.023296	0.063264	0.038080	-0.004768	0.000000
mha4	4	0	25	0.738304	0.828416	0.077088	0.041952	0.117760	0.072704	-0.009216	0.000000
mha4	4	1	25	0.739328	0.823264	0.074784	0.044160	0.117696	0.072704	-0.009376	0.000000
mha4	128	0	25	1.033216	1.152000	0.118848	0.042784	0.147456	0.069792	-0.003840	0.000000
mha4	128	1	25	1.034240	1.147904	0.109632	0.044032	0.141312	0.070656	-0.004096	0.000000

model	seq	n	ratio_on_over_off	ci95_low	ci95_high	delta_ms	p
gqa2	4	25	0.995110	0.995016	0.995775	-0.002048	3.072e-03
gqa2	128	25	0.995017	0.993355	0.996370	-0.003040	2.571e-03
mha4	4	25	0.995412	0.993103	0.997693	-0.004064	2.126e-03
mha4	128	25	0.995425	0.994517	0.995891	-0.005248	1.639e-03
