index	key	placement	tile_m	tile_n	tile_k	stages	split_k	kappa	residency	floor_ns	predicted_ns	source	cg
0	64x128x16s2split8kappa1r2	wavefront	64	128	16	2	8	1	2	4.85874e+06	5.26218e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand0.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand0.mlir
1	64x128x16s2split8kappa2r2	wavefront	64	128	16	2	8	2	2	4.85874e+06	5.48221e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand1.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand1.mlir
2	64x128x16s2split8kappa4r2	wavefront	64	128	16	2	8	4	2	4.85874e+06	5.48221e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand2.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand2.mlir
3	64x128x16s2split16kappa1r3	eft	64	128	16	2	16	1	3	5.89804e+06	6.40198e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand3.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand3.mlir
4	64x128x16s2split16kappa2r3	eft	64	128	16	2	16	2	3	5.89804e+06	6.40253e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand4.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand4.mlir
5	64x128x16s2split16kappa4r3	eft	64	128	16	2	16	4	3	5.89804e+06	6.40253e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand5.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand5.mlir
6	64x128x16s2split4kappa1r2	eft	64	128	16	2	4	1	2	4.4245e+06	4.9284e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand6.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand6.mlir
7	64x128x16s2split4kappa2r2	eft	64	128	16	2	4	2	2	4.4245e+06	4.95411e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand7.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand7.mlir
8	64x128x16s2split4kappa4r2	eft	64	128	16	2	4	4	2	4.4245e+06	4.95411e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand8.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand8.mlir
9	32x16x64s2split1kappa1r4	eft	32	16	64	2	1	1	4	1.22045e+07	1.26001e+07	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand9.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand9.mlir
10	32x16x64s2split1kappa2r4	eft	32	16	64	2	1	2	4	1.22045e+07	1.26072e+07	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand10.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand10.mlir
11	32x16x64s2split1kappa4r4	eft	32	16	64	2	1	4	4	1.22045e+07	1.26072e+07	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand11.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s128/auto.cu.cand11.mlir
