configuration	model	seq	placement	evidence	l2_ms	l2_ms_ci_low	l2_ms_ci_high	l1_ms	l1_ms_ci_low	l1_ms_ci_high	nofence_ms	nofence_ms_ci_low	nofence_ms_ci_high	nowait_ms	nowait_ms_ci_low	nowait_ms_ci_high	neither_ms	neither_ms_ci_low	neither_ms_ci_high	l1nosync_ms	l1nosync_ms_ci_low	l1nosync_ms_ci_high	fence_ms	fence_ms_ci_low	fence_ms_ci_high	wait_ms	wait_ms_ci_low	wait_ms_ci_high	notify_ms	notify_ms_ci_low	notify_ms_ci_high	barrier_ms	barrier_ms_ci_low	barrier_ms_ci_high	protocol_ms	protocol_ms_ci_low	protocol_ms_ci_high	protocol_over_barrier	protocol_over_barrier_ci_low	protocol_over_barrier_ci_high	l2_over_l1	l2_over_l1_ci_low	l2_over_l1_ci_high
baseline	gqa2	4	0	docs/experiments/SYNC_V3/ablation/baseline/paired/gqa2_s4_p0	0.422912	0.421888	0.423936	0.39136	0.390336	0.392192	0.408576	0.407264	0.409472	0.38912	0.387072	0.390144	0.35328	0.352256	0.355104	0.364544	0.36352	0.365568	0.01516799999999996	0.01433599999999996	0.015519999999999978	0.03481599999999996	0.03379199999999999	0.035744	0.034816000000000014	0.033792000000000044	0.03583999999999998	0.02678400000000003	0.025695999999999997	0.027903999999999984	0.06947200000000003	0.068608	0.06963200000000003	2.576923076923079	2.4791914387633778	2.6570397111913353	1.0810081008100811	1.0809215380831352	1.0828927031644024
baseline	gqa2	4	5	docs/experiments/SYNC_V3/ablation/baseline/paired/gqa2_s4_p5	0.284576	0.282784	0.284672	0.392352	0.392096	0.393216	0.270336	0.269312	0.271104	0.062464	0.061248	0.062464	0.059392	0.058368	0.059392	0.365568	0.364544	0.366592	0.014272000000000007	0.013471999999999984	0.01433599999999996	0.222208	0.222208	0.22236799999999998	0.0030719999999999983	0.0028479999999999964	0.0030719999999999983	0.02668799999999999	0.02585599999999999	0.02774399999999999	0.22527999999999998	0.22512	0.22527999999999998	8.441247002398086	8.144675925925924	8.68634686346864	0.7239980528963167	0.7225130890052356	0.7254933942260642
baseline	gqa2	128	0	docs/experiments/SYNC_V3/ablation/baseline/paired/gqa2_s128_p0	0.596896	0.595968	0.596992	0.558304	0.55808	0.559104	0.574272	0.57344	0.574464	0.551936	0.551008	0.55296	0.518944	0.518144	0.519168	0.526336	0.525536	0.526336	0.022527999999999992	0.02156800000000003	0.022751999999999994	0.04403200000000007	0.04403199999999996	0.045055999999999985	0.03379199999999993	0.03276800000000002	0.033792000000000044	0.03260799999999997	0.031743999999999994	0.03379199999999993	0.077824	0.07772800000000002	0.07868799999999998	2.404809619238474	2.330097087378644	2.45665322580645	1.0677655677655675	1.0663008687700044	1.0681295955882353
baseline	gqa2	128	5	docs/experiments/SYNC_V3/ablation/baseline/paired/gqa2_s128_p5	0.444416	0.444416	0.444544	0.55808	0.557856	0.558272	0.427808	0.427008	0.428032	0.172192	0.172032	0.173056	0.156672	0.156672	0.1568	0.526336	0.526336	0.526368	0.017247999999999986	0.016448000000000018	0.01740799999999998	0.272288	0.27152	0.27238399999999996	0.015359999999999985	0.015359999999999985	0.015615999999999991	0.031743999999999994	0.03094399999999997	0.031967999999999996	0.287744	0.287072	0.287872	9.062500000000004	8.972972972972974	9.242236024844736	0.7963302752293577	0.7961020349670392	0.7968749999999999
baseline	mha4	4	0	docs/experiments/SYNC_V3/ablation/baseline/paired/mha4_s4_p0	0.8448	0.844736	0.846848	0.781504	0.781312	0.782336	0.816096	0.814944	0.818144	0.779264	0.777216	0.781152	0.710656	0.709632	0.712704	0.728064	0.726016	0.728992	0.029920000000000058	0.027680000000000038	0.03200000000000003	0.06656000000000006	0.06528	0.06991999999999998	0.06755199999999995	0.06451200000000001	0.07065599999999994	0.053503999999999996	0.052512	0.05558400000000008	0.13596799999999998	0.13308799999999998	0.13737600000000005	2.4797416324133894	2.444183313748533	2.5694189602446467	1.0812581913499344	1.0797706797706796	1.0850785340314135
baseline	mha4	4	5	docs/experiments/SYNC_V3/ablation/baseline/paired/mha4_s4_p5	0.562176	0.561152	0.562176	0.78256	0.780288	0.78336	0.5376	0.537376	0.5376	0.142144	0.141312	0.142336	0.135168	0.135168	0.135168	0.728064	0.727072	0.729088	0.02457599999999993	0.023552000000000073	0.02470400000000006	0.420096	0.41884799999999994	0.420864	0.006879999999999997	0.006143999999999983	0.00716799999999998	0.05343999999999993	0.05132799999999993	0.05465599999999993	0.427008	0.42598400000000003	0.427072	7.859835100117778	7.731170336037086	8.146520146520144	0.7189836186118714	0.7184100760611761	0.7204724409448819
baseline	mha4	128	0	docs/experiments/SYNC_V3/ablation/baseline/paired/mha4_s128_p0	1.211392	1.199104	1.212416	1.118208	1.118208	1.119232	1.139712	1.099584	1.15712	1.065984	1.05472	1.0832	0.997088	0.965728	1.019904	1.038336	0.99328	1.057664	0.05529600000000001	0.054271999999999876	0.07065600000000005	0.13504000000000005	0.09523199999999998	0.1564160000000001	0.07353600000000005	0.07164800000000004	0.07705600000000001	0.06265600000000004	0.0613760000000001	0.11366399999999999	0.20393600000000012	0.1730560000000001	0.22630399999999995	2.247933884297524	1.5528371710526312	3.316666666666673	1.0832570905763952	1.0811309867282168	1.0841710341667383
baseline	mha4	128	5	docs/experiments/SYNC_V3/ablation/baseline/paired/mha4_s128_p5	0.8704	0.859136	0.905216	1.06512	1.052672	1.1184	0.861184	0.8184	0.863008	0.328768	0.327744	0.329728	0.288768	0.288768	0.289792	1.056768	1.055872	1.056832	0.045056000000000096	0.043008000000000046	0.05097600000000002	0.541408	0.537312	0.575616	0.03993599999999997	0.039039999999999964	0.04092800000000002	0.009184000000000081	-0.006143999999999927	0.0618240000000001	0.5816319999999999	0.575488	0.615264	9.882864450127887	-14.346023688663337	10.182585751978888	0.8151425762045231	0.8103004291845494	0.816147859922179
c1	gqa2	4	0	docs/experiments/SYNC_V3/ablation/c1/paired/gqa2_s4_p0	0.427008	0.425952	0.427168	0.39136	0.390336	0.392192	0.408576	0.407552	0.4096	0.390144	0.38912	0.391168	0.354176	0.352256	0.354304	0.364544	0.36352	0.365568	0.01811199999999996	0.017311999999999994	0.019360000000000044	0.035936000000000023	0.03497600000000001	0.03788799999999998	0.03686400000000001	0.03584000000000004	0.03715200000000002	0.026463999999999988	0.02579199999999998	0.027424000000000004	0.07273600000000002	0.072608	0.07372800000000002	2.7847642079806536	2.6800458715596354	2.837499999999998	1.089506932480105	1.0887030660764059	1.0915843604603706
c1	gqa2	4	5	docs/experiments/SYNC_V3/ablation/c1/paired/gqa2_s4_p5	0.283648	0.282624	0.28464	0.392192	0.391328	0.392416	0.270272	0.268512	0.270336	0.061536	0.061184	0.062464	0.05936	0.058368	0.059392	0.365568	0.364384	0.366432	0.013471999999999984	0.01331199999999999	0.01433599999999996	0.221568	0.22118400000000002	0.222208	0.0030719999999999983	0.0023999999999999994	0.0030719999999999983	0.02678400000000003	0.025824000000000014	0.027712000000000014	0.224352	0.22425599999999998	0.22527999999999998	8.38461538461539	8.124418604651167	8.723667905824035	0.7232375979112272	0.7210021148527738	0.7248646875512547
c1	gqa2	128	0	docs/experiments/SYNC_V3/ablation/c1/paired/gqa2_s128_p0	0.599008	0.598016	0.59904	0.558272	0.55808	0.55888	0.573504	0.57344	0.574464	0.553984	0.553888	0.553984	0.519072	0.518144	0.519168	0.526336	0.526336	0.52736	0.024576000000000042	0.02457599999999993	0.025536000000000003	0.045055999999999985	0.044096000000000024	0.045247999999999955	0.03484799999999999	0.03481599999999996	0.03571200000000008	0.031743999999999994	0.03151999999999999	0.031967999999999996	0.07987200000000005	0.07984000000000002	0.08089599999999997	2.53053053053053	2.5135951661631415	2.550403225806453	1.0729340148165165	1.0714285714285714	1.073336013323379
