model	seq	v2	n	l1	l2	gap	wait	notify	barrier	loop	closure_us
gqa2	4	0	25	0.403648	0.445440	0.041120	0.024608	0.063488	0.038720	-0.008192	0.000000
gqa2	4	1	25	0.403456	0.445440	0.041696	0.025568	0.066560	0.037152	-0.012288	0.000000
gqa2	128	0	25	0.567488	0.615264	0.047104	0.022720	0.070656	0.041120	-0.004096	0.000000
gqa2	128	1	25	0.567296	0.613376	0.046080	0.027648	0.067360	0.040832	-0.007296	0.000000
mha4	4	0	25	0.808128	0.887808	0.079808	0.043008	0.124928	0.079872	-0.009216	0.000000
mha4	4	1	25	0.807104	0.886784	0.079680	0.049152	0.126976	0.078976	-0.017408	0.000000
mha4	128	0	25	1.130656	1.242112	0.119040	0.036832	0.184320	0.088800	-0.026368	0.000000
mha4	128	1	25	1.124064	1.235968	0.115328	0.049984	0.167904	0.081952	-0.024576	0.000000

model	seq	n	ratio_on_over_off	ci95_low	ci95_high	delta_ms	p
gqa2	4	25	0.999713	0.997420	1.000503	-0.000128	1.661e-01
gqa2	128	25	0.997087	0.996724	0.998648	-0.001792	8.453e-05
mha4	4	25	1.000000	0.997507	1.001153	0.000000	5.018e-01
mha4	128	25	0.998291	0.996567	1.000649	-0.002048	2.584e-01
